time,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Paraná,Paraíba,Pará,Pernambuco,Piauí,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondônia,Roraima,Santa Catarina,Sergipe,São Paulo,Tocantins
1990,2820.6235650491085,3219.4183493837427,2331.2172471293684,2692.4608714706956,2600.061275210179,2753.2542417409904,2739.584429401368,2547.2606727820507,3172.0760212980435,2686.3616031348224,2593.090004626284,2685.1274615118946,2534.5093488028892,2646.5143716984967,3193.653902126502,2601.841967773136,2756.329084499387,3151.2030417984633,2485.1676015105936,2597.0699420700644,2756.1352159692647,2396.340330073132,2791.8069274697514,2317.4920338086827,2775.9435078082015,2559.774247285601,2832.9866583180155
1991,405.1651380117466,425.5982006441891,421.2673362100664,383.4104174112939,411.08286107327683,490.2031096655623,650.352739234609,421.43742182035345,461.1858112207119,432.233582103137,471.15186059505197,437.78291424188654,434.7180299209506,383.29280641827563,422.26682111828546,416.64267307067934,467.3101717076891,431.07164559449524,470.51848549733677,396.8214639456243,490.2287653417112,349.122068551187,336.6436074620916,388.3914462368832,480.3327323808662,397.0823618655887,499.6862283863802
1992,1048.4824953082302,979.7048716641397,1061.7523860245865,898.4685131922431,959.9370071530848,964.5948752966644,829.6324482513669,981.779330405922,885.9942542283212,953.4530685488916,1009.3813653195137,913.7016274287364,965.701084526502,960.8671024731611,832.5671971607215,822.4684171518445,880.9784221171706,862.623609951563,871.8658556877424,1077.7468016373855,945.5818838730481,903.7430352915866,865.1699416404196,1076.863771854097,952.7795698172941,970.3322894367169,876.5910649091543
1993,2066.3964166013743,1918.2961151239635,1947.144324889613,2532.0297315932444,2073.7095400258895,2086.988082501312,1999.1757622924158,2051.7658543101393,2197.1104366397035,2025.9538468979042,2355.242636335802,2160.222117870039,2073.0724771903488,2121.0283829957757,2148.313795250598,2837.276447302673,2027.1649984693547,2291.072706151841,2279.8318212885333,2193.839940383343,2044.333865695498,2337.2731136088532,1657.383963401666,1922.1002045326006,2180.964601105226,2061.6499101582945,2230.487953874595
1994,2627.376622760966,2453.1656752893446,2609.9105596219656,2102.9691243933744,2350.0062281556716,2461.9316067945156,2387.970048523711,2640.0689602520056,2547.0776998600277,2504.9644192344826,2474.180081609223,2717.226835650573,2514.381128591183,2453.0106634227636,2552.808751853317,2390.4974034817096,2386.3326319197417,2453.468038671407,2287.5705570963296,2368.9890778702165,2287.08670315146,2351.633002631143,2386.1563378712954,2450.0694912966233,2106.8529698282714,2325.351800805319,2559.603165661796
1995,125.60088292719966,95.13540165177669,141.21288549724093,71.29374715514085,76.50593486949165,108.69231511424886,359.3254387390736,120.7288967798013,112.34791533992376,123.32079440361869,89.57135737621046,67.05938186323598,75.33392690232535,88.6690615722424,82.76406782542888,32.741210470835995,79.35790993239833,122.00627915108706,89.17224881630348,60.2332443745272,99.29995207614054,105.84013600403908,321.1391567788043,89.59980943130385,87.72271508773551,120.79029660808823,177.6167249748082
1996,17.98960562279396,15.304662131908916,20.766807481144326,24.088973900682547,22.717370651812395,24.811816174101082,24.165930972085874,13.861145164274452,22.551226458077185,32.74204261908982,18.148294060374095,20.137511887783948,21.700089333365657,19.917808313890614,24.14337060955188,21.430066440106128,23.351093370595265,21.61184853750745,27.0224607584524,17.899229277719574,19.93681961963673,22.591063923117087,18.25668819019925,23.361176044959365,23.140765571917786,16.948694304905345,17.673603291496367
1997,6.553712591156895,15.748235589896412,11.575536536239788,0.6179155186826163,12.633773376676698,8.094708626492483,13.306441911716336,10.782650516663738,11.86302481009503,9.04332992221308,16.431928401980255,12.810278117936495,11.66489143898001,9.989629176904465,11.98558077996094,7.16309647726007,9.959942344050896,8.565244510826682,13.090191190667971,10.515575563842768,10.28688635010442,16.724848294828895,8.127668354272425,11.048567709288331,14.870149364850144,12.005154034815622,13.963873776383576
1998,8.938568322250347,7.4275459144941856,0.407511914857684,4.9812851243108565,3.586360035428214,3.6806547446467572,7.9588804640955635,3.723698883079593,6.53242401828687,1.416598188917697,4.950571631681388,6.440733362473735,1.3562686942323452,7.708002537501041,6.127472438744945,5.447051193479802,5.828452008776242,4.604414919306586,3.081663882488155,4.126422446410354,9.340382210012447,6.918043465929843,4.900044717414868,1.8814835137412282,3.2285111161047007,2.375885516064932,12.891319614206445
1999,10.164123606628005,3.875575583262546,4.414634592416052,5.571918635951167,10.690283710139353,7.875734033213087,2.8181212190368834,7.875808883008466,5.072022601279808,9.890109850279844,17.014656735457535,9.705686190091425,6.988774857609294,11.012669172974473,9.815312898207377,9.359755560166747,6.910113219213468,8.700600162928772,10.88428451675731,9.372490222286853,11.421832483099,12.522139201390559,16.52275554166775,9.853202026877089,6.162796444070904,8.54311951423079,8.23859633525383
