,time,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53
1,2012,43.48717328218096,33.94296390976234,34.12094789541299,42.51539794269292,39.150864084518794,37.275339939218355,27.26203628250752,39.31088459169147,41.874340576079824,48.05142775688697,33.772933218985116,31.345580978275937,39.10856314248159,35.68488549450578,26.85891393019581,32.93294461582583,31.040227918612292,35.09534019656609,38.1920248316563,37.64423792686838,33.260984792910406,35.9549418239543,33.8505103229682,30.973179499122185,21.621245205796,38.33575595442649,50.89805020457117
2,2013,35.340815012443784,29.972713495315947,40.718761360884415,37.404515769458605,43.40960537141004,46.18425058283871,32.747156552021245,39.417117828685655,35.86514468995415,38.93075238593175,42.20837928013062,33.847074802710175,47.74848117233009,41.076894107018916,36.43945250807809,42.8095396024445,34.142073975632215,33.827249094427,40.78750149917893,38.65752058071863,33.91632972127743,35.12721841222411,34.995299569960494,25.225045259022334,29.253788794595835,29.767529718772202,36.99656461547158
3,2014,24.73090479302609,35.563842621916656,36.3431383865683,45.547232149551085,39.55416581667361,44.990505897005896,32.1516202784955,35.41777598722223,34.13020514007474,39.06125614215153,30.953364091209753,41.56632901111927,41.47682971450966,33.79285423893335,43.934275260436735,35.63705098196258,31.46774040753548,34.3557814385126,45.33384664618178,33.67306452697448,37.32692603905887,36.552645895344895,37.389422835054226,31.35365550300291,26.336778236426575,36.98986349107101,35.8935879172622
4,2015,25.90460956452374,29.339595268591076,27.26871131455729,43.3843717277653,39.73965252240012,32.0820292698849,30.612720999588525,36.20197168582032,50.111152577377126,40.34963076079046,48.95997312475333,41.24959016044607,38.73855346480883,44.16612845362828,39.04773072925426,36.609014333708515,39.86808361766035,39.03008483881278,40.218162054084345,36.04898131891148,36.2502549334264,38.19481884486367,32.43140884980013,37.118718227989014,26.164445794935162,27.930806296048686,41.89337652190715
5,2016,47.22870106556978,48.3997421384451,28.994381056121483,24.341226948525662,34.57433295228699,43.427425281904775,36.919246595362324,38.236822119696,48.281958646187285,38.66892385118014,48.11390379218953,37.47572529029223,44.849465907787724,35.36180975991377,35.83166327265063,43.67570944223993,37.2839196469767,34.04983272221517,38.72997673011091,38.86589962103174,38.016568565791694,34.33902528319593,37.282145592468254,39.89203635160093,37.69904605171025,32.34793937990037,43.83866200094754
6,2017,39.7744611704649,38.59875167463259,39.98232051363272,44.5182128982023,34.868778197391876,48.258053776310874,40.85522466823805,36.11962377650327,50.52794119742024,35.17527814033571,30.804728595177078,45.66823096531923,38.07183311506217,49.93946569490472,40.99522646948935,37.69008958037342,33.58413736891805,34.21758431785367,39.90323754600195,41.19347769262867,38.56584189826871,37.38264147313753,35.97221316714613,38.60583623457723,32.96028050719616,32.164177568746645,40.23542733254161
7,2018,36.73993425837427,39.17736408789741,45.77553910933695,49.18993180814082,38.30317638094102,58.68861327203603,30.95165099859752,43.369261706933216,33.25057896867526,32.75166404724971,34.58914150075107,38.60097897605832,34.558998122618604,44.34310453301374,33.864526408421106,34.4801840782868,43.37799071141669,37.878676913149874,43.442076965076716,37.16384010904245,33.20114788809427,34.87108790227575,30.902428774841525,31.653549155214407,36.39451562625039,26.010081336529772,33.546828920431956
8,2019,36.65309825386231,45.52490194214997,35.825810841626414,47.02188324136375,36.42961701690432,38.518285466632896,30.504551934421343,40.390579421193756,52.823879668708486,39.351887007436765,38.7430924922129,36.9425357971943,45.018599563652835,40.086641215925454,42.60406289893165,35.17983896138297,36.09972067893983,37.006070710286245,41.9756120937105,35.201011167027495,34.339014611794575,35.666865255058205,38.0965600141408,29.656397776344846,30.025367071194587,31.97457845870729,35.64645449962216
9,2020,30.641985694607627,37.2399203817401,29.55396411256696,47.21716569727614,39.942057390370536,42.90768715415941,26.441379982234697,33.22850930206794,34.851650542249594,36.44605802416015,33.080253926173846,35.953049743143886,47.84029785134335,47.41239536589804,51.28129090898181,36.50412807351266,37.35840641202725,34.00103715161419,37.79668931361945,35.78316194986104,33.03217581907889,36.324852295642664,31.273939891615154,31.73142425285526,25.02625033886622,34.104904183268,36.688471434273914
10,2021,25.54175418960562,36.63293259959948,38.89739559572288,48.739478781445676,44.63069635600339,58.02441384093033,17.759152531982025,32.075233145773275,54.546280272087344,54.602607764817634,21.619628548451306,29.483296796364833,49.83533824658476,32.13225715285737,35.49369750098638,33.29414236148065,37.13703577257854,37.04773403154704,34.627713049773384,32.19842211862316,36.29570013149938,30.03335392107053,38.181697358648364,31.217597832966025,35.061912488333036,41.235356534771356,33.738270604065875
11,2022,30.445105229238653,58.554567000756556,37.95260857753139,38.84140417479409,39.03452922611831,51.496043001033556,37.714073109840214,30.686893163489827,22.775534740604343,28.490865203276837,37.38636587470524,43.05300104593289,42.51692938939238,41.73461083048418,36.71610842110266,40.58285355078351,36.64354411294264,32.018361919316334,37.838631569547566,44.81031707431853,33.26834359027242,35.69644086704266,37.71387981910527,32.488410983957195,39.699951989435455,26.06017800586071,39.86033917070818
