time,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53
2016,49.9,49.4,57.0,41.8,61.0,47.3,45.8,63.1,60.5,52.7,46.7,51.1,47.0,46.4,50.1,54.9,38.5,37.8,33.3,28.1,32.5,27.1,33.5,35.8,37.8,39.9,26.6
2017,49.4,52.2,55.9,45.6,61.8,51.6,44.8,61.6,61.1,53.7,49.0,51.9,49.2,46.9,53.3,54.6,39.4,40.3,36.4,30.8,35.5,28.0,33.9,36.2,38.8,40.4,28.6
2018,50.7,50.4,55.2,44.6,61.0,49.3,44.9,60.1,56.7,54.7,48.6,53.8,48.3,44.2,52.7,55.2,40.2,42.9,36.0,32.4,34.4,27.5,34.3,35.8,39.9,40.7,29.6
2019,49.7,50.2,57.9,50.7,63.6,54.5,47.5,60.4,60.5,53.9,47.5,54.4,50.7,46.5,54.5,54.7,39.8,41.6,37.5,31.3,33.2,27.1,33.6,39.2,39.0,41.2,30.8
2020,43.9,47.3,57.2,45.3,59.2,50.5,43.8,59.6,57.5,50.7,42.0,47.6,45.7,46.3,48.3,48.6,37.0,38.7,34.4,28.7,30.7,25.7,30.2,35.0,37.8,38.6,27.9
2021,46.9,48.3,58.7,48.6,58.6,51.2,44.0,59.6,58.6,51.8,45.3,51.0,51.2,47.6,52.9,54.3,38.1,39.9,37.2,30.2,31.9,25.8,31.2,36.2,39.1,40.1,29.8
2022,47.3,46.3,57.4,44.1,62.7,47.5,42.8,58.5,54.8,53.4,40.0,50.5,51.9,45.8,52.3,54.5,37.7,38.2,37.2,30.3,31.4,27.4,31.1,33.6,36.0,39.1,30.1
2023,46.1,45.5,54.0,45.6,56.5,41.7,44.9,56.5,54.4,53.1,44.7,49.8,50.1,45.7,51.9,53.7,37.4,39.0,37.1,31.5,31.9,26.4,31.9,34.5,34.5,38.2,29.7
