time,12,27,16,13,29,23,53,32,52,21,51,50,31,41,25,15,26,22,24,43,33,11,14,42,28,35,17
1991,6.56,6.62,7.81,6.52,5.75,6.27,9.48,9.3,8.3,6.29,8.16,8.56,8.36,9.68,6.21,6.48,7.67,5.89,7.51,10.25,8.65,7.55,7.14,9.93,6.45,9.68,6.36
2000,6.77,6.54,8.69,6.68,7.28,8.22,10.07,9.51,9.04,6.87,9.02,9.52,9.16,10.11,7.33,6.8,7.7,6.68,8.56,10.25,8.96,7.85,8.95,10.13,7.21,10.23,7.94
2010,8.69,9.07,9.44,8.54,8.63,9.82,9.87,9.36,9.72,9.26,9.29,10.08,9.38,10.43,9.24,8.49,9.13,9.23,9.54,10.0,9.17,9.2,8.69,10.24,9.01,10.33,9.8
