,Estado,Ano,Emissões_CO2e
713,Alagoas,2015,171.34262392752402
714,Sergipe,2015,400.1941465291003
715,Bahia,2015,20679.120613484003
716,Minas Gerais,2015,9485.912603503843
717,Espírito Santo,2015,-933.230977622274
718,Rio de Janeiro,2015,-163.05319174865207
719,São Paulo,2015,-7784.844159981565
720,Paraná,2015,-3580.847517171642
721,Santa Catarina,2015,-2792.8654210895156
722,Rio Grande do Sul,2015,4438.8368139003505
723,Mato Grosso do Sul,2015,20231.563244232093
724,Mato Grosso,2015,157299.5846363243
725,Goiás,2015,29074.46524764072
726,Distrito Federal,2015,-138.13299940574365
728,Rondônia,2016,78812.64527984988
729,Acre,2016,18319.260921927525
730,Amazonas,2016,-56224.51926118652
731,Roraima,2016,-5155.762692532798
732,Pará,2016,130443.5853718493
733,Amapá,2016,-12855.239657917276
734,Tocantins,2016,20476.63541998513
735,Maranhão,2016,56936.6806693128
736,Piauí,2016,13636.519500316423
737,Ceará,2016,3876.101381366654
738,Rio Grande do Norte,2016,931.5941195987646
739,Paraíba,2016,1125.9378414502303
740,Pernambuco,2016,1459.0136973508797
741,Alagoas,2016,229.58127403904518
742,Sergipe,2016,178.27005477110472
743,Bahia,2016,14681.792660762972
744,Minas Gerais,2016,-12398.072899151535
745,Espírito Santo,2016,60.57076199487543
746,Rio de Janeiro,2016,-234.6680039042056
747,São Paulo,2016,-1790.1413932700393
748,Paraná,2016,-3476.9621973663993
749,Santa Catarina,2016,-2843.593729154641
750,Rio Grande do Sul,2016,4509.088271491479
751,Mato Grosso do Sul,2016,3298.9915343014472
752,Mato Grosso,2016,131625.5083970471
753,Goiás,2016,11960.665520255141
754,Distrito Federal,2016,-226.442492561429
