PIB Estadual - preços de mercado (preços de 2010)
Sigla;Código;Estado;1939;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1975;1980;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
MA;21;Maranhão;1755951,54014188;1582570,95128987;1824864,76730507;1662187,95505697;1979875,39736522;2155416,8126544;2402402,41236239;2656963,36857796;2817114,52568663;2945577,98595405;3035593,18849109;3289776,57790478;3960296,98340029;4971229,34179826;5663310,51513673;5971236,79215949;7160465,38651308;6537089,21004481;6686031,41233285;6851096,54683754;7251699,44703912;2042467,71245858;2073769,75845218;2093922,7509833;7696327,74816247;11014443,6673678;18150538,2032868;16906893,9803239;20300646,547625;20886310,5701615;22771821,9788432;22929696,470923;22660643,7487705;23612714,4676312;22982187,2735605;24386340,4456379;24940337,5694508;25325943,4305665;26415181,1920923;27177257,3234759;25840266,3867855;26577015,3906575;27738099,4878783;28224839,9227137;30251557,6110046;32474555,5020839;34193500,5037167;36110578,9685473;40025183,6239802;38895122,1644758;44135434,7749239;44447682,4147143;46309633;48139044,2138152;51735227,7575412;53855578,103454;56684851,3630758;53818215,5389229;54119332,2552688;54792845,8602151;57494297,9327402;54692304,9327845;56420932,4433895;58340502,6666284;
MG;31;Minas Gerais;11673916,5346657;18570741,2806016;20637565,1829546;20691869,6306389;21591330,2439546;23162364,4163608;23742351,4320014;26458240,6699573;27944813,6433634;29037939,6522446;30230089,4363704;33008003,6196997;34746980,323981;37947378,0064536;41725890,3581916;44731544,4041204;50170821,6068318;45082161,5460849;52012893,4050681;52880515,4735018;57484094,2689128;18671796,2132036;19489576,187136;21139920,3046546;63003340,382406;103733097,207169;164503515,868569;178308554,07631;179887364,471564;201189657,654642;198707446,421374;201589304,236676;197253727,126771;202235049,626845;198000332,741056;206375178,400086;217823804,137913;224717889,126021;233013624,106997;239993350,283935;239355543,253639;239550812,072034;251795327,012137;251503270,713981;235703484,918821;240091306,210779;265595598,575688;270948542,574827;286487822,497394;304210313,623338;324167934,215485;311656215,843005;351123418;369396129,329014;378270155,593535;388239106,956889;381110719,672231;356153235,310715;345619102,101918;352694706,449372;360073691,82989;366267128,819012;360315041,865501;400321099,01814;
MS;50;Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;8437127,96401008;16637626,545032;15315510,8738962;15698122,317203;16963438,405592;17722945,711131;18899920,6100276;19005063,7962438;20027120,7621991;20432269,1403116;22060323,9852991;22807787,8231467;23939063,0600838;24460029,915929;25571246,9991832;26281721,1658161;26524162,0464475;27166580,6295455;28879309,7128563;31232626,2300593;36377027,0112106;36117695,9296407;34127058,23785;35926094,0335368;38077371,785245;42142148,5444637;42846455,1114004;47270656;50899075,4686163;53037878,9317305;55055571,7568233;58239958,9219596;56977358,6112769;58295005,1389129;58986735,7963571;62641549,1046888;60088107,11112;64712232,9997132;66380152,2174182;
MT;51;Mato Grosso;936299,965885438;1036750,68472604;1408177,90620081;1375871,05189385;1092627,83868788;1197158,53923781;1760786,2370241;2222403,5101495;2589142,94696125;2533154,77443381;2591355,74182674;2594337,74396708;3533658,75279813;3010108,05158952;3636815,78072966;4742286,60904521;5501891,97996443;4495987,8611954;5204705,96095979;5359435,09213119;4620412,86828633;1711807,53193142;1876875,23354087;2161755,56202651;7142796,32551341;4526277,30542623;9131278,66489522;10974296,4676162;12325081,688053;13209335,784002;14502047,5542859;16506289,2153134;16752963,2003723;18004948,8221874;20008327,7120881;21434105,1789882;23982369,183563;24450286,4312482;25155975,8092732;26520002,0967083;28254874,2964328;30418677,864191;32741516,2882169;34949328,7839056;36457362,1860218;44453714,9998728;51596180,8545016;49276282,3081726;41358234,5360715;48130348,5534424;57248521,9942139;57131961,7946998;56600955;63843109,0946035;68135480,9320463;70974581,9942659;74678712,5271125;73666632,9421807;78587690,9245434;77619318,0774473;80487073,7888878;79853978,2616435;94275679,6359836;108945617,730375;
PA;15;Pará;1916775,5921714;2279389,2188055;2239829,73832588;1973472,73567843;2163275,87238238;2375616,63607014;2534134,20740335;2501226,5541137;2737124,13196352;3071072,03485357;3753414,85568035;5023613,62387304;4984359,319369;4835198,31298078;6084683,99872079;7094552,26812519;6615023,19797803;6705317,2735167;6621527,75774584;7202483,12929923;7944145,15012062;2425948,36128264;2723196,13993491;2899513,59986427;8829401,61636807;13322677,8877651;28671904,0678596;29845957,4285689;34811200,5937823;37011773,8865326;38816637,5036277;40340721,8489188;42349504,2497605;41446579,4643364;42866753,269724;45877905,0695272;45144977,4408255;45159307,0904731;45284172,5005505;46622444,6378988;47675170,852379;48539243,7412351;50822027,0732054;52599758,589358;50309369,9902144;50403259,5757819;57598290,4271504;58289234,5945053;61946794,5968534;65621013,6045768;70925187,5638002;66859355,671288;82684518;91130002,6874327;91582803,5127721;96442117,7962334;91903861,3791138;89769844,444765;87613211,9073161;94989538,7393828;94486959,7692481;100224518,3464;113952003,961827;122722997,921857;
PB;25;Paraíba;1594279,2377296;2306189,09470453;2708074,43302568;2862717,6854933;3193671,9606385;3104103,21015838;3000939,95185384;2593573,20851413;3033377,61629108;3277927,81706533;3567171,04615667;3619952,28809622;3541851,31822085;4952083,50099894;6265591,9662422;6364036,18808607;7874367,53608408;7169001,75519814;7439814,60551264;7778938,26593307;6162166,91774867;2132095,37008176;2008038,8327405;1983483,73160268;5721471,07680119;9007829,47386828;12055512,3341469;14055186,9287982;15141891,9972125;15195434,4701519;15626249,5967475;15999043,1204497;16456709,8612092;16885135,1665124;16513578,8634714;15995622,9298818;18069072,760445;18793518,1100411;19290571,0900914;19881698,2223301;19426409,0577988;19966977,197305;20840093,1889817;21012629,5839054;24216099,4412137;24540319,6973411;24350893,5739834;25254792,7696758;28072277,5592382;28996250,7926087;31286787,355756;32776815,377721;33522492;34259249,7186761;36338906,4575317;36896107,0598764;39050201,415025;38501663,7926561;37495133,7006074;38181725,0673036;37697429,7151776;38199275,3107245;37094013,1616871;36162842,203812;
PE;26;Pernambuco;4003194,10806261;5086642,59447981;5596944,03881934;5681000,31111811;6108292,08608159;6507768,09941991;6133949,75843586;6228494,74559347;6751134,86306028;6957922,35700483;7816235,65755696;8696125,7274328;9702441,78321453;10339197,3741581;11221677,5130195;12314467,3720069;13633672,2069842;14577909,7300849;14694579,3575226;14897785,5947244;14935268,3540065;6659158,68915567;6633666,75556628;7224512,04030507;17111124,1381179;25559967,0385982;34119291,893631;37528229,9147537;41352353,6743019;47770618,1196858;46943158,6612042;44339754,2544538;50886814,3035233;55022225,0270075;59493707,5224424;56460884,8268376;58072337,63318;59729782,990915;59904874,9890418;61779455,3021031;61538923,1377635;61940667,0726144;64621925,0784965;65681553,7289993;68497294,8869844;64632814,2385382;69512643,0308514;72267053,8361906;74747929,2439193;79052867,4390658;81928632,2015665;86479493,3523604;97189760;101701431,622613;109464876,151483;112294051,650583;114445677,331082;107644441,129397;106161028,013576;111130165,391753;109128447,461215;111167702,629495;102010764,990076;103074873,47926;
PI;22;Piauí;1205765,1274144;1361774,8929077;1068737,28427623;1049985,02558071;1065119,74264739;1081574,78281561;1233499,32877868;1118073,93341327;1129244,39786816;1238424,40332623;1407026,03666463;1547949,75705801;1500016,37307884;1947077,37197895;2077937,25881055;2531160,58698754;3191516,88359929;2534012,19419828;3010480,51222481;3061629,94586015;3171824,52106929;982313,816783632;966287,165878667;940719,980594438;3393809,20526902;5346576,70174791;7967745,46106365;8865506,42389017;9513734,01847399;9669815,34468097;10357555,305997;10680870,7136137;10733695,7422889;11222713,253966;10953170,5646127;11543967,3633584;12426026,3851094;12672406,6172037;13098311,8216655;13259139,0446314;13280317,2206896;13491973,3000544;13924641,5088245;14213591,4450341;13531195,8334005;14011771,0478463;14535992,6872444;15408194,2018157;17998788,6917879;17385344,8886414;18853049,5829374;20542372,5019243;22269149;23949131,4174343;24492882,8930317;24888098,7343743;27827881,1217793;26848544,7846529;26274246,5839546;27760001,7986745;29501799,1727328;29655893,0190785;29758393,8083522;29888156,9302028;
PR;41;Paraná;2692342,604331;4963946,75413549;5884672,99753543;6583970,07683301;7998951,5750858;8187855,27683842;9625142,64680689;10354806,9426961;9542882,32736391;12842038,3444427;10479551,8463329;12675541,6416297;16142378,7930312;19597103,4558696;21360860,841552;22028863,4463186;24993421,6451272;21523735,9320512;22702427,3449143;26719011,7670172;26729636,7709939;11895469,8389161;11926605,0459976;14611302,3076466;32918266,8032068;64253820,2163272;80095066,3313342;87445743,6314668;90192337,7194757;105317052,382232;105476486,941968;110153209,891838;110069727,870636;110034222,565175;109888465,754783;120885030,291938;127549246,654418;129824723,368603;136781105,236404;138882636,442713;143321974,127547;144039631,419511;151788375,437324;157596624,116639;167625427,831851;183228189,518471;190772123,257528;183348423,593448;185435196,515462;209099867,153193;216048481,391995;213242264,223123;225205255;237375933,099808;244281692,443717;265305581,651983;256774855,404278;258518119,624667;254904519,517259;257922232,85373;257682944,26005;262042853,022571;257487269,123921;256725236,45715;
RJ;33;Rio de Janeiro;26711209,8717784;33228775,0612224;36552425,7166972;40490465,5705109;42482831,303924;43889878,8552159;46668149,1607449;47955433,1698437;51465374,9538972;55652233,1710183;59825731,2182152;61696819,0322324;69036182,4245213;72378587,1013038;77840625,8038551;85453918,3507554;84169770,274881;92806057,6489382;92829628,9589148;91455245,4039198;97383673,192519;30761391,5132855;31782815,210683;34737421,7067614;138546913,525579;205458521,947462;261885327,252887;257185785,27677;278330479,359526;279567990,346143;281531004,558365;290003613,150493;277917370,31159;279681128,251197;274836450,449786;278566009,903924;285200274,693332;292435205,651203;295327506,466527;298142208,857138;300473701,34546;301801469,416888;309571940,208782;312276808,60382;350143884,264495;337420052,882729;372741605,975092;388130919,632976;403797245,777992;409695072,647852;440146349,081186;424640930,528182;449858101;473388634,856083;491680466,513012;499794011,281884;495040177,171561;452032276,123011;406260347,043672;410967755,276631;444390834,285535;438217409,406562;397802497,185184;443129821,520038;
RN;24;Rio Grande do Norte;631357,747096169;970473,597591963;1021288,669199;1110088,97195759;1196180,86757735;1313373,89159891;1243576,42185871;996859,906994348;1095356,55899962;1241915,06598273;1460979,0802584;1450161,45064536;1290671,17561604;2092335,24821014;2400373,17535367;2483520,47953358;2901264,86980149;2952953,49343154;2923383,60518032;3043387,38522517;3126773,7680916;1783957,68332305;1666668,10667335;1642940,48344326;2640357,43626085;4655864,69720504;7168783,19898427;9367111,10803567;10357249,0149917;12805735,2027942;11242856,2338233;12276306,624979;10615672,105077;12750125,6551387;15313745,8102232;17336124,2624076;18545072,4612942;19838327,6093852;20377643,6283578;21304941,9213836;21508204,656577;22070705,486732;23093896,1535391;23539171,5895671;25773476,8419505;24752656,7237413;26660476,3646423;28720959,4692869;30836808,7582513;33310219,7302645;33624650,2554638;33547323,6631388;36184502;37844772,6842572;39694855,7591519;40986227,012307;39851396,7420183;39262191,441579;37858387,1152176;39350010,9888594;39217638,1721609;40081933,5295134;37772162,7621913;37428047,0983531;
RO;11;Rondônia;;;;;;;;;;;;;;;;;;;;;;;;;692646,148126453;1259689,15098389;4138117,66707001;7719191,95719446;8238464,30703871;8299842,63618749;8684584,35184945;8982985,08335375;8911364,56733956;9248781,40211984;9926946,47519474;10128419,7649809;11018115,3762068;11386556,6277658;11783480,3948281;11889204,4137432;11668033,9636907;12312451,1317201;12738807,1770026;13295771,0169139;14186598,6311775;15693717,8754286;17005692,2685109;17997344,5991;17586872,3199078;18274213,2413917;20112222,566085;21386514,3291063;23907887;25457046,1406061;25754432,4742259;24759074,1733931;25103985,4961859;25074844,3685264;25033024,5970959;26628323,8855541;26301801,6763555;26459167,3379144;27229321,2881062;27153569,1750679;
RR;14;Roraima;;;;;;;;;;;;;;;;;;;;;;;;;342059,114363957;539597,354570309;988573,17003095;1715029,78513326;1870806,69721469;2099708,70565122;2317346,37376521;2396214,37024145;2499588,924839;2668318,94996108;2760440,36847527;2870362,01988682;2971954,86513155;3112678,99533407;3223499,10621019;3304221,02650966;3253298,6502346;3430478,57790763;3566450,7594177;3826762,78275309;4544254,61405176;4319441,07857813;4362062,95968993;4593516,8160657;5122536,03940416;5319991,46344217;5633644,93738578;6149744,64458231;6639150;6742811,96827722;6595367,543308;7168607,94948634;7188046,97910468;7024503,17526034;6986622,51690733;7407092,17184098;7829517,41195699;8030360,95269113;8456217,17036254;8496891,66190367;
RS;43;Rio Grande do Sul;10335254,970327;13987963,7433788;14169037,259374;15446040,0953239;15975271,596689;16432396,8245926;17885298,4933091;20359384,4420071;21295811,1656479;23606617,1084442;25532836,1976141;26167814,122322;27968192,4638171;29610216,0084537;31857347,0124071;34206556,4030651;37948907,6166108;38165859,5634793;39759719,2593864;40023875,5005685;42454132,5451772;15785846,3411784;16646468,533349;18495883,8330726;56815178,2014649;90969737,8832646;120009929,07379;126761853,405752;122519920,033929;149913510,092654;137536831,743978;126004383,858157;132519764,925644;144605371,531108;157793167,588115;162687106,640482;169520322,161307;176640547,730551;176293599,559276;186679526,506509;185082113,053714;187678312,874506;195764848,730179;199719719,194602;187784572,651338;198690414,893878;202733945,002213;196147926,363434;198872223,399009;212644831,709698;221337839,378755;221557605,668659;241249164;244700757,802082;245963847,214713;264360112,772289;263954132,102127;261967502,251603;259329579,577804;259006660,276465;267793135,3823;271081720,718056;248522087,636747;271340907,131676;
SC;42;Santa Catarina;2916108,6817346;5344749,65125878;5428723,86737678;5557399,30314865;5543875,81963384;5670331,0309731;6140438,73040735;7022732,01727199;6725148,51685086;8334029,48121262;8669048,12901782;8765882,97426114;10114466,7938466;10864580,9823762;12064656,8029101;12775180,4851996;12499538,9607188;12430031,0790721;13019507,8551021;12720746,9916379;15661012,2691591;4744563,37152543;5142083,60380316;5813593,32603897;22714691,6910072;38634446,6555013;63803701,0588619;68308054,2218253;74693011,508717;77934410,685391;77402625,7123053;80959339,9194671;78987028,4699081;81203891,5245234;84052398,193705;88744882,3801822;91711569,0047207;97007213,4398628;100494868,667607;105028058,222821;104956218,836109;106827041,18722;111294840,563232;114847146,364077;103501746,693095;106731280,167895;113764863,471873;117302656,908542;122677629,954288;131285490,30242;141342264,512951;139972941,389846;153726007;160700317,862658;164035743,494831;170658206,000443;178926846,94303;170816846,990352;162881081,352965;169666714,166131;174642953,596687;181631977,62456;184316931,852512;200055185,20999;
SE;28;Sergipe;451274,40176288;585925,696924332;627600,639525188;675268,694047399;626123,841527542;794086,612182194;818817,212266194;820827,609995202;767521,142372814;772584,081620797;901512,220999018;973589,830785291;1119008,61450329;1252682,15850972;1290180,84870026;1478220,84332441;1808083,30450819;1671758,70518173;1608242,03307551;1683753,4902487;1850253,17407444;1012870,81158754;965185,812567465;972209,902061936;2072717,65934545;3093269,80800296;4290702,2208523;10757473,6896295;11985239,2090136;12061673,0551053;12381739,2251392;12554150,212528;12752439,1850931;12927649,3024581;12832637,638182;13407162,6627843;13729473,4197961;13871073,4053724;14345130,9960842;15360990,5024188;15351413,3935478;15271225,0638436;15810864,5938477;15938369,9420044;19629111,9454298;19564382,3733313;20608786,7438354;20756675,3274104;22120202,1786827;23058537,9011901;24920895,4709397;23535717,5213037;26404893;26872830,7890088;28098259,859223;28112036,5056683;27642675,4136807;26441763,094749;24663228,7791926;24912100,675416;24605894,4746082;25109640,3156173;23963261,817487;24208693,6644017;
SP;35;São Paulo;37428269,1198241;54326508,7111054;61570216,053671;67989665,5619739;73409272,2871805;77556587,8905837;86484946,8821087;87346676,2089567;97922561,2648988;104908907,743515;103744482,82609;112800061,818107;126735023,545177;137424267,571727;149506099,289293;165055767,832526;172554993,528185;179857566,413559;177105753,414434;181488105,47587;200750696,462238;62610216,7473112;68484980,8003408;76393480,2135684;308940883,105935;507502129,657704;675601789,191446;689830906,516178;737619284,757861;759165301,238747;754296912,554229;769895536,064521;729011518,493493;725506392,638224;707365256,349322;751101865,572248;795726763,403108;832949747,16695;843549396,134294;872078159,58729;861654873,130247;850120299,648185;886359584,686207;889762802,552699;985737842,746092;984838500,382781;1009025308,9003;1068813237,905;1110778268,77819;1184227764,34872;1212990401,23952;1222032752,32794;1294695988;1326339901,18492;1333390725,20044;1364581845,67508;1370754649,80087;1330369373,27985;1293355280,70378;1297732717,48616;1294513747,49963;1319458596,54488;1254710763,06969;1269569050,53035;
TO;17;Tocantins;;;;;;;;;;;;;;;;;;;;;;;;;;;1286722,96448548;;;;;7189658,15032213;6918218,53673977;7155728,68931521;7422702,36073241;7589307,61804223;7792360,68167524;8130888,62582438;8315376,14166201;8639149,04798674;9005067,50704824;9269055,93869552;9534379,11791264;9606201,22331252;10111516,6351514;11010299,4864402;11206011,8944806;11086448,0815724;11660552,0689374;12900772,5517219;14097769,8422273;14842942,5084528;16404816;16936785,8501511;17690721,91761;18931761,5810927;19319348,0207808;19840164,5813083;20036905,2857007;20871387,947725;20886256,6530759;22112887,7859843;23034564,1582523;24171054,7357095;
