ano,mes,sigla_uf,densidade
2011,1,ES,6.5522943129807
2011,1,MG,7.2348632421471
2011,1,RJ,9.8376922123919
2011,1,DF,14.819038503439
2011,1,MA,1.1027597606525
2011,1,RN,2.4354906066141
2011,1,CE,3.2012518129507
2011,1,PA,1.566062522444
2011,1,SC,9.7870251051623
2011,1,AP,0.47914494732094
2011,1,PB,2.8788225669334
2011,1,PI,1.7636826052865
2011,1,RR,1.1513128132747
2011,1,MS,6.8328444310877
2011,1,MT,5.4646567749171
2011,1,AC,2.9819170213293
2011,1,AM,2.0156227259577
2011,1,PE,2.9343776033235
2011,1,RS,8.7191945961482
2011,1,PR,10.444753548414
2011,1,TO,3.3718001077021
2011,1,RO,3.7910687918464
2011,1,SP,14.190348398895
2011,1,SE,2.778313717924
2011,1,AL,2.0940594662255
2011,1,BA,2.8189874734208
2011,1,GO,6.7356142488709
2012,1,RS,10.108900698823
2012,1,MA,1.3704443643262
2012,1,MS,8.0925802743406
2012,1,AM,2.9244064833444
2012,1,AC,3.5814436442807
2012,1,PA,1.9445415750094
2012,1,TO,3.9552031570238
2012,1,AL,2.6671010244523
2012,1,DF,16.210746602391
2012,1,RN,4.4393873265945
2012,1,PR,11.54617166363
2012,1,SE,3.400113791719
2012,1,MT,6.2733633693579
2012,1,SP,16.887977586784
2012,1,RJ,11.644611617577
2012,1,CE,3.8395870227377
2012,1,RR,2.9502973984966
2012,1,AP,0.58380741808064
2012,1,PE,3.7207820636285
2012,1,GO,7.7089090726094
2012,1,MG,8.2502849213402
2012,1,BA,3.5990708313409
2012,1,SC,11.01387293083
2012,1,ES,7.8552573672552
2012,1,RO,4.3636130657825
2012,1,PB,3.4987075332349
2012,1,PI,2.2819457073674
2013,1,ES,9.8676464135523
2013,1,MA,1.9932788368253
2013,1,PB,4.3984135966645
2013,1,CE,4.7063068171585
2013,1,PA,2.5933156205942
2013,1,SC,12.812621115388
2013,1,SE,4.5093319474889
2013,1,PE,4.5168260585456
2013,1,RN,5.4731153417479
2013,1,DF,18.466946972889
2013,1,AP,1.6857953455616
2013,1,MT,7.6777272178667
2013,1,TO,4.899153131776
2013,1,AC,4.1930135769506
2013,1,MG,9.5241570375152
2013,1,MS,9.3875094236242
2013,1,AM,3.8897684061615
2013,1,AL,3.4875683626328
2013,1,RR,4.5867729871104
2013,1,RJ,14.014656191885
2013,1,PI,3.0162164145955
2013,1,PR,13.484997525467
2013,1,RS,11.712649255551
2013,1,GO,9.2535234791379
2013,1,BA,4.5591636913708
2013,1,RO,4.9683933004237
2013,1,SP,18.508981803131
2014,1,RR,5.8050861348326
2014,1,SE,5.120186986886
2014,1,RS,12.415957837404
2014,1,MT,8.2728048941065
2014,1,SC,13.622324355328
2014,1,BA,4.750608160508
2014,1,MS,10.17059419663
2014,1,SP,19.642082757635
2014,1,AC,4.902229726336
2014,1,TO,5.1257505933036
2014,1,MG,10.187115689157
2014,1,RN,6.0474356683054
2014,1,MA,2.3177365854118
2014,1,AP,2.0819160920604
2014,1,GO,9.9169760623483
2014,1,RJ,15.513447558977
2014,1,PA,2.8360834752646
2014,1,AL,4.0692106933339
2014,1,ES,10.369212000106
2014,1,PE,4.9833469981702
2014,1,CE,5.331878427663
2014,1,DF,19.571425652592
2014,1,RO,5.136400931829
2014,1,PB,5.0481539926339
2014,1,PR,14.293884999861
2014,1,PI,3.5338609858908
2014,1,AM,4.178815684464
2015,1,MS,11.591670207207
2015,1,MT,9.2828430598721
2015,1,PI,4.0713139626095
2015,1,RO,6.0447884538507
2015,1,GO,11.097797990012
2015,1,AL,4.4318472603132
2015,1,AP,2.7260184948436
2015,1,RJ,16.447041775212
2015,1,SC,14.946231956959
2015,1,BA,5.0965429844343
2015,1,CE,6.5335254446249
2015,1,SE,5.8785154268342
2015,1,PE,5.413384118761
2015,1,TO,5.9153038319705
2015,1,PR,15.461167843322
2015,1,SP,20.245099250365
2015,1,RS,13.337770251419
2015,1,DF,21.065625381262
2015,1,RN,6.9348190264954
2015,1,ES,11.64054816297
2015,1,MA,2.6322734409165
2015,1,MG,11.048925834581
2015,1,PB,5.8679702881803
2015,1,AM,5.044733220557
2015,1,PA,3.1830862055304
2015,1,AC,5.9350639981471
2015,1,RR,6.5491330875606
2016,1,RN,7.4223710299447
2016,1,RO,7.3397074093261
2016,1,PI,4.4920019425548
2016,1,MA,2.8432234622169
2016,1,CE,6.6931073521704
2016,1,PE,5.4048758647914
2016,1,SP,20.955666218974
2016,1,MS,12.484785392468
2016,1,DF,21.731524651523
2016,1,RS,13.755977244586
2016,1,AL,4.4107153333261
2016,1,AM,6.2215869849601
2016,1,PA,3.443824195743
2016,1,RR,6.9992979541791
2016,1,SC,15.964559144385
2016,1,SE,6.5343342233866
2016,1,GO,11.866281249995
2016,1,PB,6.2458052234
2016,1,ES,12.020323106554
2016,1,RJ,17.49274804677
2016,1,TO,6.4451405361666
2016,1,BA,5.2177679803135
2016,1,AC,6.3995230942125
2016,1,AP,6.217465197299
2016,1,MT,10.136714718728
2016,1,PR,16.027242811935
2016,1,MG,11.539831064117
2017,1,PE,5.4889644748073
2017,1,PI,4.9092827923715
2017,1,PA,3.6683707264255
2017,1,BA,5.4283469203746
2017,1,RS,14.933318566429
2017,1,PB,6.6435716223498
2017,1,ES,12.344021197389
2017,1,MA,3.1572744230832
2017,1,RN,8.3909688581116
2017,1,SE,7.1408111735522
2017,1,SP,21.402751781638
2017,1,MG,12.54561006136
2017,1,MS,13.133792079141
2017,1,DF,22.54408145059
2017,1,SC,17.171896837225
2017,1,AM,6.6778919885138
2017,1,MT,10.597117376906
2017,1,PR,16.524826732321
2017,1,CE,6.8846073307308
2017,1,TO,6.8359882105966
2017,1,AC,6.7456687813079
2017,1,RO,7.6477707173866
