,Unidade Territorial,Referência,Perc RF fam PBF
623,AMAZONAS,2015-11-01,90.3
624,RORAIMA,2015-11-01,89.2
625,PARÁ,2015-11-01,91.8
626,AMAPÁ,2015-11-01,92.8
627,TOCANTINS,2015-11-01,92.2
628,MARANHÃO,2015-11-01,90.6
629,PIAUÍ,2015-11-01,89.9
630,CEARÁ,2015-11-01,93.6
631,RIO GRANDE DO NORTE,2015-11-01,92.6
632,PARAÍBA,2015-11-01,92.9
633,PERNAMBUCO,2015-11-01,91.4
634,ALAGOAS,2015-11-01,92.2
635,SERGIPE,2015-11-01,91.4
636,BAHIA,2015-11-01,91.0
637,MINAS GERAIS,2015-11-01,92.7
638,ESPÍRITO SANTO,2015-11-01,93.3
639,RIO DE JANEIRO,2015-11-01,93.9
640,SÃO PAULO,2015-11-01,92.8
641,PARANÁ,2015-11-01,92.3
642,SANTA CATARINA,2015-11-01,93.1
643,RIO GRANDE DO SUL,2015-11-01,92.5
644,MATO GROSSO DO SUL,2015-11-01,92.5
645,MATO GROSSO,2015-11-01,93.6
646,GOIÁS,2015-11-01,94.7
647,DISTRITO FEDERAL,2015-11-01,93.9
648,RONDÔNIA,2015-12-01,93.3
649,ACRE,2015-12-01,90.5
650,AMAZONAS,2015-12-01,90.3
651,RORAIMA,2015-12-01,89.2
652,PARÁ,2015-12-01,91.8
653,AMAPÁ,2015-12-01,92.8
654,TOCANTINS,2015-12-01,92.2
655,MARANHÃO,2015-12-01,90.6
656,PIAUÍ,2015-12-01,89.9
657,CEARÁ,2015-12-01,93.6
658,RIO GRANDE DO NORTE,2015-12-01,92.6
659,PARAÍBA,2015-12-01,92.8
660,PERNAMBUCO,2015-12-01,91.4
661,ALAGOAS,2015-12-01,92.2
662,SERGIPE,2015-12-01,91.4
663,BAHIA,2015-12-01,91.0
664,MINAS GERAIS,2015-12-01,92.7
665,ESPÍRITO SANTO,2015-12-01,93.3
666,RIO DE JANEIRO,2015-12-01,93.9
667,SÃO PAULO,2015-12-01,92.8
668,PARANÁ,2015-12-01,92.3
669,SANTA CATARINA,2015-12-01,93.1
670,RIO GRANDE DO SUL,2015-12-01,92.5
671,MATO GROSSO DO SUL,2015-12-01,92.5
672,MATO GROSSO,2015-12-01,93.6
673,GOIÁS,2015-12-01,94.7
674,DISTRITO FEDERAL,2015-12-01,93.9
675,RONDÔNIA,2016-01-01,93.4
676,ACRE,2016-01-01,90.2
677,AMAZONAS,2016-01-01,90.1
678,RORAIMA,2016-01-01,89.1
679,PARÁ,2016-01-01,91.6
680,AMAPÁ,2016-01-01,92.8
681,TOCANTINS,2016-01-01,92.3
682,MARANHÃO,2016-01-01,90.3
683,PIAUÍ,2016-01-01,89.4
684,CEARÁ,2016-01-01,93.4
685,RIO GRANDE DO NORTE,2016-01-01,92.4
686,PARAÍBA,2016-01-01,92.5
687,PERNAMBUCO,2016-01-01,91.0
688,ALAGOAS,2016-01-01,92.0
689,SERGIPE,2016-01-01,91.0
690,BAHIA,2016-01-01,90.6
691,MINAS GERAIS,2016-01-01,92.5
692,ESPÍRITO SANTO,2016-01-01,93.2
693,RIO DE JANEIRO,2016-01-01,93.9
694,SÃO PAULO,2016-01-01,92.6
695,PARANÁ,2016-01-01,92.2
696,SANTA CATARINA,2016-01-01,93.0
697,RIO GRANDE DO SUL,2016-01-01,92.5
698,MATO GROSSO DO SUL,2016-01-01,92.4
699,MATO GROSSO,2016-01-01,93.7
700,GOIÁS,2016-01-01,94.6
701,DISTRITO FEDERAL,2016-01-01,93.9
702,RONDÔNIA,2016-02-01,93.4
703,ACRE,2016-02-01,90.2
704,AMAZONAS,2016-02-01,90.1
705,RORAIMA,2016-02-01,89.1
706,PARÁ,2016-02-01,91.6
707,AMAPÁ,2016-02-01,92.8
708,TOCANTINS,2016-02-01,92.3
709,MARANHÃO,2016-02-01,90.3
710,PIAUÍ,2016-02-01,89.4
711,CEARÁ,2016-02-01,93.4
712,RIO GRANDE DO NORTE,2016-02-01,92.4
713,PARAÍBA,2016-02-01,92.6
714,PERNAMBUCO,2016-02-01,91.0
715,ALAGOAS,2016-02-01,92.0
716,SERGIPE,2016-02-01,91.0
717,BAHIA,2016-02-01,90.6
718,MINAS GERAIS,2016-02-01,92.5
719,ESPÍRITO SANTO,2016-02-01,93.2
720,RIO DE JANEIRO,2016-02-01,93.9
721,SÃO PAULO,2016-02-01,92.6
722,PARANÁ,2016-02-01,92.2
723,SANTA CATARINA,2016-02-01,93.0
724,RIO GRANDE DO SUL,2016-02-01,92.5
725,MATO GROSSO DO SUL,2016-02-01,92.5
726,MATO GROSSO,2016-02-01,93.7
727,GOIÁS,2016-02-01,94.6
728,DISTRITO FEDERAL,2016-02-01,93.9
729,RONDÔNIA,2016-03-01,93.5
730,ACRE,2016-03-01,90.1
731,AMAZONAS,2016-03-01,89.9
732,RORAIMA,2016-03-01,89.1
733,PARÁ,2016-03-01,91.6
734,AMAPÁ,2016-03-01,92.8
735,TOCANTINS,2016-03-01,92.3
736,MARANHÃO,2016-03-01,90.2
737,PIAUÍ,2016-03-01,89.3
738,CEARÁ,2016-03-01,93.4
739,RIO GRANDE DO NORTE,2016-03-01,92.3
740,PARAÍBA,2016-03-01,92.4
741,PERNAMBUCO,2016-03-01,90.9
742,ALAGOAS,2016-03-01,91.9
743,SERGIPE,2016-03-01,91.0
744,BAHIA,2016-03-01,90.5
745,MINAS GERAIS,2016-03-01,92.4
746,ESPÍRITO SANTO,2016-03-01,93.2
747,RIO DE JANEIRO,2016-03-01,93.9
748,SÃO PAULO,2016-03-01,92.4
749,PARANÁ,2016-03-01,92.1
750,SANTA CATARINA,2016-03-01,92.9
751,RIO GRANDE DO SUL,2016-03-01,92.6
752,MATO GROSSO DO SUL,2016-03-01,92.5
753,MATO GROSSO,2016-03-01,93.7
754,GOIÁS,2016-03-01,94.6
755,DISTRITO FEDERAL,2016-03-01,93.9
756,RONDÔNIA,2016-04-01,93.5
757,ACRE,2016-04-01,90.1
758,AMAZONAS,2016-04-01,89.9
759,RORAIMA,2016-04-01,89.1
760,PARÁ,2016-04-01,91.6
761,AMAPÁ,2016-04-01,92.8
762,TOCANTINS,2016-04-01,92.3
763,MARANHÃO,2016-04-01,90.2
764,PIAUÍ,2016-04-01,89.3
765,CEARÁ,2016-04-01,93.4
766,RIO GRANDE DO NORTE,2016-04-01,92.3
767,PARAÍBA,2016-04-01,92.4
768,PERNAMBUCO,2016-04-01,90.9
769,ALAGOAS,2016-04-01,91.9
770,SERGIPE,2016-04-01,90.9
771,BAHIA,2016-04-01,90.5
772,MINAS GERAIS,2016-04-01,92.4
773,ESPÍRITO SANTO,2016-04-01,93.1
774,RIO DE JANEIRO,2016-04-01,93.9
775,SÃO PAULO,2016-04-01,92.3
776,PARANÁ,2016-04-01,92.1
777,SANTA CATARINA,2016-04-01,92.9
778,RIO GRANDE DO SUL,2016-04-01,92.5
779,MATO GROSSO DO SUL,2016-04-01,92.4
780,MATO GROSSO,2016-04-01,93.7
781,GOIÁS,2016-04-01,94.5
782,DISTRITO FEDERAL,2016-04-01,93.7
783,RONDÔNIA,2016-05-01,93.5
784,ACRE,2016-05-01,90.1
785,AMAZONAS,2016-05-01,89.9
786,RORAIMA,2016-05-01,89.2
787,PARÁ,2016-05-01,91.6
788,AMAPÁ,2016-05-01,92.8
789,TOCANTINS,2016-05-01,92.3
790,MARANHÃO,2016-05-01,90.2
791,PIAUÍ,2016-05-01,89.3
792,CEARÁ,2016-05-01,93.4
793,RIO GRANDE DO NORTE,2016-05-01,92.3
794,PARAÍBA,2016-05-01,92.4
795,PERNAMBUCO,2016-05-01,90.9
796,ALAGOAS,2016-05-01,91.9
797,SERGIPE,2016-05-01,90.9
798,BAHIA,2016-05-01,90.5
799,MINAS GERAIS,2016-05-01,92.4
800,ESPÍRITO SANTO,2016-05-01,93.1
801,RIO DE JANEIRO,2016-05-01,93.9
802,SÃO PAULO,2016-05-01,92.3
803,PARANÁ,2016-05-01,92.1
804,SANTA CATARINA,2016-05-01,92.9
805,RIO GRANDE DO SUL,2016-05-01,92.5
806,MATO GROSSO DO SUL,2016-05-01,92.4
807,MATO GROSSO,2016-05-01,93.7
808,GOIÁS,2016-05-01,94.6
809,DISTRITO FEDERAL,2016-05-01,93.7
810,RONDÔNIA,2016-06-01,93.5
811,ACRE,2016-06-01,90.1
812,AMAZONAS,2016-06-01,89.9
813,RORAIMA,2016-06-01,89.2
814,PARÁ,2016-06-01,91.6
815,AMAPÁ,2016-06-01,92.9
816,TOCANTINS,2016-06-01,92.3
817,MARANHÃO,2016-06-01,90.2
818,PIAUÍ,2016-06-01,89.3
819,CEARÁ,2016-06-01,93.4
820,RIO GRANDE DO NORTE,2016-06-01,92.3
821,PARAÍBA,2016-06-01,92.4
822,PERNAMBUCO,2016-06-01,90.9
823,ALAGOAS,2016-06-01,91.9
824,SERGIPE,2016-06-01,90.9
825,BAHIA,2016-06-01,90.5
826,MINAS GERAIS,2016-06-01,92.4
827,ESPÍRITO SANTO,2016-06-01,93.1
828,RIO DE JANEIRO,2016-06-01,93.9
829,SÃO PAULO,2016-06-01,92.3
830,PARANÁ,2016-06-01,92.0
831,SANTA CATARINA,2016-06-01,92.8
832,RIO GRANDE DO SUL,2016-06-01,92.5
833,MATO GROSSO DO SUL,2016-06-01,92.5
834,MATO GROSSO,2016-06-01,93.7
835,GOIÁS,2016-06-01,94.6
836,DISTRITO FEDERAL,2016-06-01,93.7
837,RONDÔNIA,2016-07-01,93.8
838,ACRE,2016-07-01,90.3
839,AMAZONAS,2016-07-01,90.1
840,RORAIMA,2016-07-01,89.4
841,PARÁ,2016-07-01,91.7
842,AMAPÁ,2016-07-01,92.9
843,TOCANTINS,2016-07-01,92.4
844,MARANHÃO,2016-07-01,90.4
845,PIAUÍ,2016-07-01,89.4
846,CEARÁ,2016-07-01,93.4
847,RIO GRANDE DO NORTE,2016-07-01,92.4
848,PARAÍBA,2016-07-01,92.4
849,PERNAMBUCO,2016-07-01,91.0
850,ALAGOAS,2016-07-01,92.1
851,SERGIPE,2016-07-01,91.1
852,BAHIA,2016-07-01,90.6
853,MINAS GERAIS,2016-07-01,92.4
854,ESPÍRITO SANTO,2016-07-01,93.2
855,RIO DE JANEIRO,2016-07-01,94.0
856,SÃO PAULO,2016-07-01,92.3
857,PARANÁ,2016-07-01,92.1
858,SANTA CATARINA,2016-07-01,92.9
859,RIO GRANDE DO SUL,2016-07-01,92.7
860,MATO GROSSO DO SUL,2016-07-01,92.8
861,MATO GROSSO,2016-07-01,94.0
862,GOIÁS,2016-07-01,94.7
863,DISTRITO FEDERAL,2016-07-01,93.6
864,RONDÔNIA,2016-08-01,93.9
865,ACRE,2016-08-01,90.3
866,AMAZONAS,2016-08-01,90.1
867,RORAIMA,2016-08-01,89.5
868,PARÁ,2016-08-01,91.7
869,AMAPÁ,2016-08-01,93.0
870,TOCANTINS,2016-08-01,92.5
871,MARANHÃO,2016-08-01,90.4
872,PIAUÍ,2016-08-01,89.4
873,CEARÁ,2016-08-01,93.5
874,RIO GRANDE DO NORTE,2016-08-01,92.4
875,PARAÍBA,2016-08-01,92.5
876,PERNAMBUCO,2016-08-01,91.0
877,ALAGOAS,2016-08-01,92.1
878,SERGIPE,2016-08-01,91.1
879,BAHIA,2016-08-01,90.7
880,MINAS GERAIS,2016-08-01,92.5
881,ESPÍRITO SANTO,2016-08-01,93.2
882,RIO DE JANEIRO,2016-08-01,94.1
883,SÃO PAULO,2016-08-01,92.3
884,PARANÁ,2016-08-01,92.2
885,SANTA CATARINA,2016-08-01,92.9
886,RIO GRANDE DO SUL,2016-08-01,92.8
887,MATO GROSSO DO SUL,2016-08-01,92.8
888,MATO GROSSO,2016-08-01,94.1
889,GOIÁS,2016-08-01,94.8
890,DISTRITO FEDERAL,2016-08-01,93.6
891,RONDÔNIA,2016-09-01,93.8
892,ACRE,2016-09-01,90.3
893,AMAZONAS,2016-09-01,90.0
894,RORAIMA,2016-09-01,89.4
895,PARÁ,2016-09-01,91.7
896,AMAPÁ,2016-09-01,93.0
897,TOCANTINS,2016-09-01,92.3
898,MARANHÃO,2016-09-01,90.3
899,PIAUÍ,2016-09-01,89.4
900,CEARÁ,2016-09-01,93.3
901,RIO GRANDE DO NORTE,2016-09-01,92.4
902,PARAÍBA,2016-09-01,92.4
903,PERNAMBUCO,2016-09-01,91.0
904,ALAGOAS,2016-09-01,92.0
905,SERGIPE,2016-09-01,90.9
906,BAHIA,2016-09-01,90.6
907,MINAS GERAIS,2016-09-01,92.3
908,ESPÍRITO SANTO,2016-09-01,93.2
909,RIO DE JANEIRO,2016-09-01,94.0
910,SÃO PAULO,2016-09-01,92.2
911,PARANÁ,2016-09-01,91.9
912,SANTA CATARINA,2016-09-01,92.8
913,RIO GRANDE DO SUL,2016-09-01,92.6
914,MATO GROSSO DO SUL,2016-09-01,92.8
915,MATO GROSSO,2016-09-01,93.9
916,GOIÁS,2016-09-01,94.8
917,DISTRITO FEDERAL,2016-09-01,93.4
918,RONDÔNIA,2016-10-01,93.9
919,ACRE,2016-10-01,90.4
920,AMAZONAS,2016-10-01,90.0
921,RORAIMA,2016-10-01,89.6
922,PARÁ,2016-10-01,91.8
923,AMAPÁ,2016-10-01,93.1
924,TOCANTINS,2016-10-01,92.3
925,MARANHÃO,2016-10-01,90.5
926,PIAUÍ,2016-10-01,89.4
927,CEARÁ,2016-10-01,93.4
928,RIO GRANDE DO NORTE,2016-10-01,92.4
929,PARAÍBA,2016-10-01,92.4
930,PERNAMBUCO,2016-10-01,91.0
931,ALAGOAS,2016-10-01,92.0
932,SERGIPE,2016-10-01,91.0
933,BAHIA,2016-10-01,90.7
934,MINAS GERAIS,2016-10-01,92.3
935,ESPÍRITO SANTO,2016-10-01,93.2
936,RIO DE JANEIRO,2016-10-01,93.9
937,SÃO PAULO,2016-10-01,92.1
938,PARANÁ,2016-10-01,91.9
939,SANTA CATARINA,2016-10-01,92.7
940,RIO GRANDE DO SUL,2016-10-01,92.6
941,MATO GROSSO DO SUL,2016-10-01,92.8
942,MATO GROSSO,2016-10-01,93.9
943,GOIÁS,2016-10-01,94.8
944,DISTRITO FEDERAL,2016-10-01,93.3
945,RONDÔNIA,2016-11-01,93.9
946,ACRE,2016-11-01,90.5
947,AMAZONAS,2016-11-01,90.1
948,RORAIMA,2016-11-01,89.8
949,PARÁ,2016-11-01,91.8
950,AMAPÁ,2016-11-01,93.1
951,TOCANTINS,2016-11-01,92.4
952,MARANHÃO,2016-11-01,90.5
953,PIAUÍ,2016-11-01,89.6
954,CEARÁ,2016-11-01,93.5
955,RIO GRANDE DO NORTE,2016-11-01,92.6
956,PARAÍBA,2016-11-01,92.5
957,PERNAMBUCO,2016-11-01,91.2
958,ALAGOAS,2016-11-01,92.2
959,SERGIPE,2016-11-01,91.2
960,BAHIA,2016-11-01,90.8
961,MINAS GERAIS,2016-11-01,92.4
962,ESPÍRITO SANTO,2016-11-01,93.4
963,RIO DE JANEIRO,2016-11-01,94.1
964,SÃO PAULO,2016-11-01,92.3
965,PARANÁ,2016-11-01,92.0
966,SANTA CATARINA,2016-11-01,92.9
967,RIO GRANDE DO SUL,2016-11-01,92.7
968,MATO GROSSO DO SUL,2016-11-01,93.0
969,MATO GROSSO,2016-11-01,94.0
970,GOIÁS,2016-11-01,94.9
971,DISTRITO FEDERAL,2016-11-01,93.4
972,RONDÔNIA,2016-12-01,93.8
973,ACRE,2016-12-01,90.4
974,AMAZONAS,2016-12-01,90.1
975,RORAIMA,2016-12-01,89.6
976,PARÁ,2016-12-01,91.8
977,AMAPÁ,2016-12-01,93.1
978,TOCANTINS,2016-12-01,92.3
979,MARANHÃO,2016-12-01,90.5
980,PIAUÍ,2016-12-01,89.5
981,CEARÁ,2016-12-01,93.3
982,RIO GRANDE DO NORTE,2016-12-01,92.5
983,PARAÍBA,2016-12-01,92.4
984,PERNAMBUCO,2016-12-01,91.1
985,ALAGOAS,2016-12-01,92.1
986,SERGIPE,2016-12-01,91.1
987,BAHIA,2016-12-01,90.7
988,MINAS GERAIS,2016-12-01,92.3
989,ESPÍRITO SANTO,2016-12-01,93.2
990,RIO DE JANEIRO,2016-12-01,94.0
991,SÃO PAULO,2016-12-01,92.0
992,PARANÁ,2016-12-01,91.8
993,SANTA CATARINA,2016-12-01,92.7
994,RIO GRANDE DO SUL,2016-12-01,92.6
995,MATO GROSSO DO SUL,2016-12-01,92.9
996,MATO GROSSO,2016-12-01,93.9
997,GOIÁS,2016-12-01,94.9
998,DISTRITO FEDERAL,2016-12-01,93.3
999,RONDÔNIA,2017-01-01,93.7
1000,ACRE,2017-01-01,90.1
1001,AMAZONAS,2017-01-01,89.7
1002,RORAIMA,2017-01-01,89.4
1003,PARÁ,2017-01-01,91.5
1004,AMAPÁ,2017-01-01,92.8
1005,TOCANTINS,2017-01-01,92.1
1006,MARANHÃO,2017-01-01,89.9
1007,PIAUÍ,2017-01-01,89.0
1008,CEARÁ,2017-01-01,93.1
1009,RIO GRANDE DO NORTE,2017-01-01,92.1
1010,PARAÍBA,2017-01-01,92.0
1011,PERNAMBUCO,2017-01-01,90.5
1012,ALAGOAS,2017-01-01,91.8
1013,SERGIPE,2017-01-01,90.4
1014,BAHIA,2017-01-01,90.2
1015,MINAS GERAIS,2017-01-01,91.9
1016,ESPÍRITO SANTO,2017-01-01,93.0
1017,RIO DE JANEIRO,2017-01-01,93.9
1018,SÃO PAULO,2017-01-01,91.7
1019,PARANÁ,2017-01-01,91.5
1020,SANTA CATARINA,2017-01-01,92.4
1021,RIO GRANDE DO SUL,2017-01-01,92.3
1022,MATO GROSSO DO SUL,2017-01-01,92.7
1023,MATO GROSSO,2017-01-01,93.7
1024,GOIÁS,2017-01-01,94.5
1025,DISTRITO FEDERAL,2017-01-01,93.1
1026,RONDÔNIA,2017-02-01,93.7
1027,ACRE,2017-02-01,90.1
1028,AMAZONAS,2017-02-01,89.6
1029,RORAIMA,2017-02-01,89.4
1030,PARÁ,2017-02-01,91.4
1031,AMAPÁ,2017-02-01,92.7
1032,TOCANTINS,2017-02-01,92.0
1033,MARANHÃO,2017-02-01,89.9
1034,PIAUÍ,2017-02-01,88.9
1035,CEARÁ,2017-02-01,93.0
1036,RIO GRANDE DO NORTE,2017-02-01,92.1
1037,PARAÍBA,2017-02-01,91.9
1038,PERNAMBUCO,2017-02-01,90.4
1039,ALAGOAS,2017-02-01,91.7
1040,SERGIPE,2017-02-01,90.4
1041,BAHIA,2017-02-01,90.1
1042,MINAS GERAIS,2017-02-01,91.9
1043,ESPÍRITO SANTO,2017-02-01,92.9
1044,RIO DE JANEIRO,2017-02-01,93.8
1045,SÃO PAULO,2017-02-01,91.6
1046,PARANÁ,2017-02-01,91.4
1047,SANTA CATARINA,2017-02-01,92.3
1048,RIO GRANDE DO SUL,2017-02-01,92.2
1049,MATO GROSSO DO SUL,2017-02-01,92.7
1050,MATO GROSSO,2017-02-01,93.7
1051,GOIÁS,2017-02-01,94.4
1052,DISTRITO FEDERAL,2017-02-01,93.0
1053,RONDÔNIA,2017-03-01,93.7
1054,ACRE,2017-03-01,90.1
1055,AMAZONAS,2017-03-01,89.6
1056,RORAIMA,2017-03-01,89.4
1057,PARÁ,2017-03-01,91.4
1058,AMAPÁ,2017-03-01,92.8
1059,TOCANTINS,2017-03-01,92.1
1060,MARANHÃO,2017-03-01,89.9
1061,PIAUÍ,2017-03-01,88.9
1062,CEARÁ,2017-03-01,93.1
1063,RIO GRANDE DO NORTE,2017-03-01,92.1
1064,PARAÍBA,2017-03-01,92.0
1065,PERNAMBUCO,2017-03-01,90.5
1066,ALAGOAS,2017-03-01,91.7
1067,SERGIPE,2017-03-01,90.4
1068,BAHIA,2017-03-01,90.1
1069,MINAS GERAIS,2017-03-01,91.9
1070,ESPÍRITO SANTO,2017-03-01,92.9
1071,RIO DE JANEIRO,2017-03-01,93.8
1072,SÃO PAULO,2017-03-01,91.7
1073,PARANÁ,2017-03-01,91.5
1074,SANTA CATARINA,2017-03-01,92.4
1075,RIO GRANDE DO SUL,2017-03-01,92.3
1076,MATO GROSSO DO SUL,2017-03-01,92.8
1077,MATO GROSSO,2017-03-01,93.8
1078,GOIÁS,2017-03-01,94.4
1079,DISTRITO FEDERAL,2017-03-01,93.0
1080,RONDÔNIA,2017-04-01,93.8
1081,ACRE,2017-04-01,90.1
1082,AMAZONAS,2017-04-01,89.7
1083,RORAIMA,2017-04-01,89.5
1084,PARÁ,2017-04-01,91.5
1085,AMAPÁ,2017-04-01,92.8
1086,TOCANTINS,2017-04-01,92.2
1087,MARANHÃO,2017-04-01,90.1
1088,PIAUÍ,2017-04-01,89.0
1089,CEARÁ,2017-04-01,93.1
1090,RIO GRANDE DO NORTE,2017-04-01,92.1
1091,PARAÍBA,2017-04-01,92.0
1092,PERNAMBUCO,2017-04-01,90.5
1093,ALAGOAS,2017-04-01,91.8
1094,SERGIPE,2017-04-01,90.4
1095,BAHIA,2017-04-01,90.2
1096,MINAS GERAIS,2017-04-01,91.9
1097,ESPÍRITO SANTO,2017-04-01,92.9
1098,RIO DE JANEIRO,2017-04-01,93.7
1099,SÃO PAULO,2017-04-01,91.5
1100,PARANÁ,2017-04-01,91.3
1101,SANTA CATARINA,2017-04-01,92.2
1102,RIO GRANDE DO SUL,2017-04-01,92.2
1103,MATO GROSSO DO SUL,2017-04-01,92.8
1104,MATO GROSSO,2017-04-01,93.8
1105,GOIÁS,2017-04-01,94.4
1106,DISTRITO FEDERAL,2017-04-01,92.8
1107,RONDÔNIA,2017-05-01,93.8
1108,ACRE,2017-05-01,90.1
1109,AMAZONAS,2017-05-01,89.8
1110,RORAIMA,2017-05-01,89.5
1111,PARÁ,2017-05-01,91.5
1112,AMAPÁ,2017-05-01,92.8
1113,TOCANTINS,2017-05-01,92.2
1114,MARANHÃO,2017-05-01,90.1
1115,PIAUÍ,2017-05-01,89.0
1116,CEARÁ,2017-05-01,93.1
1117,RIO GRANDE DO NORTE,2017-05-01,92.2
1118,PARAÍBA,2017-05-01,92.0
1119,PERNAMBUCO,2017-05-01,90.5
1120,ALAGOAS,2017-05-01,91.8
1121,SERGIPE,2017-05-01,90.4
1122,BAHIA,2017-05-01,90.2
1123,MINAS GERAIS,2017-05-01,91.8
1124,ESPÍRITO SANTO,2017-05-01,92.8
1125,RIO DE JANEIRO,2017-05-01,93.7
1126,SÃO PAULO,2017-05-01,91.5
1127,PARANÁ,2017-05-01,91.3
1128,SANTA CATARINA,2017-05-01,92.1
1129,RIO GRANDE DO SUL,2017-05-01,92.2
1130,MATO GROSSO DO SUL,2017-05-01,92.8
1131,MATO GROSSO,2017-05-01,93.7
1132,GOIÁS,2017-05-01,94.4
1133,DISTRITO FEDERAL,2017-05-01,92.7
1134,RONDÔNIA,2017-06-01,93.8
1135,ACRE,2017-06-01,90.2
1136,AMAZONAS,2017-06-01,89.8
1137,RORAIMA,2017-06-01,89.6
1138,PARÁ,2017-06-01,91.5
1139,AMAPÁ,2017-06-01,92.8
1140,TOCANTINS,2017-06-01,92.2
1141,MARANHÃO,2017-06-01,90.2
1142,PIAUÍ,2017-06-01,89.0
1143,CEARÁ,2017-06-01,93.1
1144,RIO GRANDE DO NORTE,2017-06-01,92.2
1145,PARAÍBA,2017-06-01,92.0
1146,PERNAMBUCO,2017-06-01,90.5
1147,ALAGOAS,2017-06-01,91.7
1148,SERGIPE,2017-06-01,90.4
1149,BAHIA,2017-06-01,90.2
1150,MINAS GERAIS,2017-06-01,91.8
1151,ESPÍRITO SANTO,2017-06-01,92.7
1152,RIO DE JANEIRO,2017-06-01,93.5
1153,SÃO PAULO,2017-06-01,91.5
1154,PARANÁ,2017-06-01,91.1
1155,SANTA CATARINA,2017-06-01,91.9
1156,RIO GRANDE DO SUL,2017-06-01,92.1
1157,MATO GROSSO DO SUL,2017-06-01,92.9
1158,MATO GROSSO,2017-06-01,93.7
1159,GOIÁS,2017-06-01,94.3
1160,DISTRITO FEDERAL,2017-06-01,92.8
1161,RONDÔNIA,2017-07-01,93.9
1162,ACRE,2017-07-01,90.1
1163,AMAZONAS,2017-07-01,89.7
1164,RORAIMA,2017-07-01,89.6
1165,PARÁ,2017-07-01,91.6
1166,AMAPÁ,2017-07-01,92.9
1167,TOCANTINS,2017-07-01,92.1
1168,MARANHÃO,2017-07-01,90.2
1169,PIAUÍ,2017-07-01,88.9
1170,CEARÁ,2017-07-01,93.0
1171,RIO GRANDE DO NORTE,2017-07-01,92.1
1172,PARAÍBA,2017-07-01,91.9
1173,PERNAMBUCO,2017-07-01,90.4
1174,ALAGOAS,2017-07-01,91.8
1175,SERGIPE,2017-07-01,90.4
1176,BAHIA,2017-07-01,90.1
1177,MINAS GERAIS,2017-07-01,91.5
1178,ESPÍRITO SANTO,2017-07-01,92.5
1179,RIO DE JANEIRO,2017-07-01,93.4
1180,SÃO PAULO,2017-07-01,91.3
1181,PARANÁ,2017-07-01,90.8
1182,SANTA CATARINA,2017-07-01,91.6
1183,RIO GRANDE DO SUL,2017-07-01,91.8
1184,MATO GROSSO DO SUL,2017-07-01,92.8
1185,MATO GROSSO,2017-07-01,93.5
1186,GOIÁS,2017-07-01,94.3
1187,DISTRITO FEDERAL,2017-07-01,92.2
1188,RONDÔNIA,2017-08-01,93.6
1189,ACRE,2017-08-01,89.8
1190,AMAZONAS,2017-08-01,89.2
1191,RORAIMA,2017-08-01,89.3
1192,PARÁ,2017-08-01,91.2
1193,AMAPÁ,2017-08-01,92.4
1194,TOCANTINS,2017-08-01,91.8
1195,MARANHÃO,2017-08-01,89.6
1196,PIAUÍ,2017-08-01,88.3
1197,CEARÁ,2017-08-01,92.5
1198,RIO GRANDE DO NORTE,2017-08-01,91.6
1199,PARAÍBA,2017-08-01,91.3
1200,PERNAMBUCO,2017-08-01,89.8
1201,ALAGOAS,2017-08-01,91.2
1202,SERGIPE,2017-08-01,89.6
1203,BAHIA,2017-08-01,89.5
1204,MINAS GERAIS,2017-08-01,91.1
1205,ESPÍRITO SANTO,2017-08-01,92.2
1206,RIO DE JANEIRO,2017-08-01,92.9
1207,SÃO PAULO,2017-08-01,90.4
1208,PARANÁ,2017-08-01,90.4
1209,SANTA CATARINA,2017-08-01,91.2
1210,RIO GRANDE DO SUL,2017-08-01,91.4
1211,MATO GROSSO DO SUL,2017-08-01,92.4
1212,MATO GROSSO,2017-08-01,92.9
1213,GOIÁS,2017-08-01,94.0
1214,DISTRITO FEDERAL,2017-08-01,92.0
1215,RONDÔNIA,2017-09-01,93.5
1216,ACRE,2017-09-01,89.7
1217,AMAZONAS,2017-09-01,89.1
1218,RORAIMA,2017-09-01,89.2
1219,PARÁ,2017-09-01,91.1
1220,AMAPÁ,2017-09-01,92.3
1221,TOCANTINS,2017-09-01,91.7
1222,MARANHÃO,2017-09-01,89.6
1223,PIAUÍ,2017-09-01,88.2
1224,CEARÁ,2017-09-01,92.4
1225,RIO GRANDE DO NORTE,2017-09-01,91.5
1226,PARAÍBA,2017-09-01,91.1
1227,PERNAMBUCO,2017-09-01,89.6
1228,ALAGOAS,2017-09-01,91.1
1229,SERGIPE,2017-09-01,89.4
1230,BAHIA,2017-09-01,89.3
1231,MINAS GERAIS,2017-09-01,90.9
1232,ESPÍRITO SANTO,2017-09-01,92.0
1233,RIO DE JANEIRO,2017-09-01,92.7
1234,SÃO PAULO,2017-09-01,90.2
1235,PARANÁ,2017-09-01,90.2
1236,SANTA CATARINA,2017-09-01,91.0
1237,RIO GRANDE DO SUL,2017-09-01,91.2
1238,MATO GROSSO DO SUL,2017-09-01,92.2
1239,MATO GROSSO,2017-09-01,92.7
1240,GOIÁS,2017-09-01,93.9
1241,DISTRITO FEDERAL,2017-09-01,91.8
1242,RONDÔNIA,2017-10-01,93.4
1243,ACRE,2017-10-01,89.6
