cod;nome;período;valor
22;PI;1998;10.02
21;MA;1998;9.34
17;TO;1998;16.54
16;AP;1998;78.86
11;RO;1998;83.88
27;AL;1999;33.74
50;MS;1999;45.9
51;MT;1999;45.95
52;GO;1999;29.2
53;DF;1999;61.14
11;RO;1999;51.25
12;AC;1999;19.13
13;AM;1999;44.56
14;RR;1999;98.62
15;PA;1999;22
16;AP;1999;89.64
17;TO;1999;20.72
21;MA;1999;7.3
22;PI;1999;9.51
23;CE;1999;25.84
24;RN;1999;10.95
25;PB;1999;21.67
26;PE;1999;107.82
28;SE;1999;32.34
29;BA;1999;12.23
31;MG;1999;16.5
32;ES;1999;96
33;RJ;1999;106.11
35;SP;1999;88.72
41;PR;1999;31.45
42;SC;1999;10.56
43;RS;1999;30.79
21;MA;2000;11.05
11;RO;2000;50.23
12;AC;2000;38.22
13;AM;2000;40.34
27;AL;2000;46.8
53;DF;2000;60.02
52;GO;2000;36.64
51;MT;2000;55.48
50;MS;2000;52.5
43;RS;2000;30.59
42;SC;2000;11.61
41;PR;2000;33.71
35;SP;2000;87.24
33;RJ;2000;102.25
32;ES;2000;81.24
31;MG;2000;23.08
29;BA;2000;16.49
28;SE;2000;40.44
26;PE;2000;105.19
25;PB;2000;30.25
24;RN;2000;15.17
23;CE;2000;29.35
22;PI;2000;15.02
14;RR;2000;68.19
15;PA;2000;21.94
16;AP;2000;69.63
17;TO;2000;24.7
24;RN;2001;18.98
11;RO;2001;56.18
12;AC;2001;40.03
13;AM;2001;31.78
14;RR;2001;49.18
15;PA;2001;26.4
16;AP;2001;72.36
17;TO;2001;24.89
21;MA;2001;17
22;PI;2001;15.45
25;PB;2001;28.76
26;PE;2001;115.33
27;AL;2001;55.9
28;SE;2001;54.21
29;BA;2001;21.58
31;MG;2001;24.5
32;ES;2001;84.26
33;RJ;2001;101.42
35;SP;2001;85.99
41;PR;2001;39.04
42;SC;2001;14.23
43;RS;2001;33.33
50;MS;2001;43.91
51;MT;2001;55.21
52;GO;2001;38.82
53;DF;2001;65.26
23;CE;2001;30.11
25;PB;2002;31.58
24;RN;2002;17.03
23;CE;2002;32.97
11;RO;2002;64.68
12;AC;2002;48.88
13;AM;2002;33.97
14;RR;2002;66.03
51;MT;2002;52.72
22;PI;2002;18.38
21;MA;2002;16.9
17;TO;2002;22.38
16;AP;2002;73.26
53;DF;2002;60.23
52;GO;2002;45.84
50;MS;2002;50.73
43;RS;2002;35.8
42;SC;2002;17.23
41;PR;2002;45.91
35;SP;2002;80
33;RJ;2002;116.49
32;ES;2002;99.13
15;PA;2002;31.72
31;MG;2002;31.33
29;BA;2002;24.33
28;SE;2002;57.72
27;AL;2002;64.13
26;PE;2002;107.57
35;SP;2003;77.17
33;RJ;2003;115.61
26;PE;2003;108.94
32;ES;2003;93.34
31;MG;2003;42.79
29;BA;2003;30.19
53;DF;2003;65.26
52;GO;2003;45.43
51;MT;2003;50.98
50;MS;2003;55.03
43;RS;2003;34.77
42;SC;2003;20.21
28;SE;2003;45.55
27;AL;2003;69.67
25;PB;2003;32.72
24;RN;2003;23.36
23;CE;2003;34.15
22;PI;2003;17.35
21;MA;2003;22.92
17;TO;2003;23.22
16;AP;2003;78.98
15;PA;2003;36.8
14;RR;2003;47.65
13;AM;2003;36.56
12;AC;2003;41.48
11;RO;2003;51.98
41;PR;2003;50.61
27;AL;2004;69.88
51;MT;2004;49.7
50;MS;2004;50.4
43;RS;2004;37.69
42;SC;2004;17.88
41;PR;2004;57.59
35;SP;2004;59.36
33;RJ;2004;111.46
32;ES;2004;96.73
31;MG;2004;48.69
29;BA;2004;30.89
28;SE;2004;40.58
26;PE;2004;101.84
25;PB;2004;33.35
24;RN;2004;20.77
23;CE;2004;35.92
22;PI;2004;18.96
21;MA;2004;21.36
17;TO;2004;25.91
16;AP;2004;67.07
15;PA;2004;39.26
14;RR;2004;38.29
11;RO;2004;61.89
12;AC;2004;39.1
13;AM;2004;32.28
52;GO;2004;51.3
53;DF;2004;62.19
17;TO;2005;22.64
22;PI;2005;22.82
23;CE;2005;40.37
24;RN;2005;26.58
25;PB;2005;38.06
26;PE;2005;106.48
27;AL;2005;77.5
28;SE;2005;42.67
29;BA;2005;39.96
31;MG;2005;46.34
32;ES;2005;92.56
33;RJ;2005;107.19
35;SP;2005;43.33
41;PR;2005;60.64
42;SC;2005;20.18
43;RS;2005;38.17
50;MS;2005;48.07
51;MT;2005;49.82
52;GO;2005;51.54
53;DF;2005;56.96
11;RO;2005;53.48
12;AC;2005;34.26
13;AM;2005;36.44
14;RR;2005;35.39
15;PA;2005;51.53
16;AP;2005;69.25
21;MA;2005;27.03
51;MT;2006;51.67
11;RO;2006;55.04
12;AC;2006;42.67
13;AM;2006;42.96
14;RR;2006;37.59
15;PA;2006;55.57
16;AP;2006;70.19
17;TO;2006;30.66
53;DF;2006;55.82
52;GO;2006;50.66
50;MS;2006;48.59
43;RS;2006;36.05
42;SC;2006;19.81
41;PR;2006;62.08
35;SP;2006;39.28
33;RJ;2006;104.74
21;MA;2006;27.59
22;PI;2006;26
23;CE;2006;39.76
24;RN;2006;26.16
25;PB;2006;43.01
26;PE;2006;106.16
27;AL;2006;108.6
28;SE;2006;56.66
29;BA;2006;45.62
31;MG;2006;45.18
32;ES;2006;99.81
31;MG;2007;43.92
