cod;nome;período;valor
42;SC;2009;25.96
43;RS;2009;49.35
14;RR;2009;43.68
35;SP;2009;35.27
12;AC;2009;34.56
25;PB;2010;103.67
12;AC;2010;30.05
27;AL;2010;134.49
13;AM;2010;67.2
16;AP;2010;69.49
29;BA;2010;84.78
53;DF;2010;89.5
32;ES;2010;113.78
52;GO;2010;77.53
21;MA;2010;49.14
31;MG;2010;42.11
51;MT;2010;68.67
15;PA;2010;102.23
26;PE;2010;98.92
22;PI;2010;25.03
41;PR;2010;41.42
33;RJ;2010;95.54
24;RN;2010;56.93
11;RO;2010;65.79
14;RR;2010;60.39
43;RS;2010;48.28
42;SC;2010;27.35
28;SE;2010;71.77
35;SP;2010;32.09
17;TO;2010;45.74
50;MS;2010;56.28
23;CE;2010;56.03
41;PR;2011;37.93
22;PI;2011;27.19
27;AL;2011;162.84
12;AC;2011;32.38
11;RO;2011;52.45
14;RR;2011;41.43
43;RS;2011;52.09
42;SC;2011;29.17
28;SE;2011;81.98
35;SP;2011;32.44
17;TO;2011;46.38
26;PE;2011;97.01
25;PB;2011;111.21
15;PA;2011;87.86
51;MT;2011;67.02
50;MS;2011;63.38
31;MG;2011;49.51
21;MA;2011;49.05
52;GO;2011;85.46
32;ES;2011;107.07
53;DF;2011;101.47
23;CE;2011;54.7
29;BA;2011;77.67
16;AP;2011;57.31
13;AM;2011;79.67
24;RN;2011;78.88
33;RJ;2011;74.63
26;PE;2012;96.27
25;PB;2012;96.05
15;PA;2012;87.69
51;MT;2012;72.86
50;MS;2012;61.62
31;MG;2012;51.4
21;MA;2012;54.37
52;GO;2012;100.08
32;ES;2012;110.62
53;DF;2012;103.26
27;AL;2012;148.67
12;AC;2012;55.89
13;AM;2012;77.59
16;AP;2012;65.76
29;BA;2012;86.18
23;CE;2012;61.12
17;TO;2012;47.4
35;SP;2012;36.07
28;SE;2012;94.42
42;SC;2012;34.52
43;RS;2012;51.86
14;RR;2012;55.91
11;RO;2012;58.36
24;RN;2012;82.69
33;RJ;2012;70.66
41;PR;2012;43.14
22;PI;2012;33.94
26;PE;2013;86.86
12;AC;2013;54.58
27;AL;2013;148.99
13;AM;2013;62.89
16;AP;2013;53.73
29;BA;2013;79.9
23;CE;2013;68.3
53;DF;2013;92.31
32;ES;2013;103.39
52;GO;2013;101.42
21;MA;2013;66.36
31;MG;2013;53.15
50;MS;2013;53.58
51;MT;2013;79.63
15;PA;2013;89.18
24;RN;2013;104.89
11;RO;2013;48.67
14;RR;2013;75.07
43;RS;2013;52.66
42;SC;2013;20.48
28;SE;2013;103.58
35;SP;2013;33.11
17;TO;2013;39.97
25;PB;2013;99.06
22;PI;2013;37.69
41;PR;2013;32.15
33;RJ;2013;76.12
24;RN;2014;121.25
33;RJ;2014;86.66
41;PR;2014;32.99
22;PI;2014;43.76
26;PE;2014;87.85
25;PB;2014;103.5
15;PA;2014;87.27
51;MT;2014;89.48
50;MS;2014;55.95
17;TO;2014;46.08
