cod;nome;período;valor
42;SC;2003;3.12
28;SE;2003;2.31
24;RN;2003;1.5
17;TO;2003;3.77
35;SP;2003;7.37
12;AC;2003;3.96
27;AL;2003;3.57
13;AM;2003;3.65
16;AP;2003;6.36
29;BA;2003;1.83
23;CE;2003;1.41
53;DF;2003;7.21
32;ES;2003;7.39
52;GO;2003;4.81
21;MA;2003;2.49
31;MG;2003;4.22
50;MS;2003;4.89
51;MT;2003;6.16
15;PA;2003;4.41
25;PB;2003;2.19
26;PE;2003;6.79
22;PI;2003;2.03
33;RJ;2003;8.18
17;TO;2004;3.04
15;PA;2004;2.83
35;SP;2004;5.33
28;SE;2004;2.34
42;SC;2004;2.69
43;RS;2004;4.66
14;RR;2004;2.3
11;RO;2004;2.7
24;RN;2004;1.23
12;AC;2004;2.57
27;AL;2004;4.07
13;AM;2004;2.93
16;AP;2004;6.38
29;BA;2004;2.81
23;CE;2004;1.58
53;DF;2004;6.64
32;ES;2004;7.32
52;GO;2004;3.89
21;MA;2004;1.84
31;MG;2004;4.66
50;MS;2004;5.35
51;MT;2004;7.26
33;RJ;2004;7.08
41;PR;2004;3.49
22;PI;2004;1.18
26;PE;2004;7.32
25;PB;2004;4.25
52;GO;2005;5.04
12;AC;2005;3.03
27;AL;2005;4.17
13;AM;2005;3.15
16;AP;2005;5.68
29;BA;2005;2.94
23;CE;2005;1.62
53;DF;2005;4.83
32;ES;2005;8.83
21;MA;2005;2.06
31;MG;2005;4.11
50;MS;2005;5.78
51;MT;2005;5.87
15;PA;2005;3.62
25;PB;2005;3.86
26;PE;2005;8.11
22;PI;2005;2.39
41;PR;2005;4.02
33;RJ;2005;7.19
24;RN;2005;2.51
11;RO;2005;5.94
14;RR;2005;6.86
43;RS;2005;3.05
42;SC;2005;1.97
28;SE;2005;3.28
35;SP;2005;4.37
17;TO;2005;3.27
50;MS;2006;4.47
21;MA;2006;2.4
12;AC;2006;3.11
27;AL;2006;6.16
13;AM;2006;2.65
16;AP;2006;4.38
29;BA;2006;3.45
23;CE;2006;2.29
53;DF;2006;5.58
32;ES;2006;10.06
52;GO;2006;5.53
25;PB;2006;4.3
51;MT;2006;4.62
15;PA;2006;4.21
26;PE;2006;9.04
22;PI;2006;2.34
41;PR;2006;3.79
33;RJ;2006;7.03
24;RN;2006;2.46
11;RO;2006;6.32
14;RR;2006;2.13
31;MG;2006;4.5
43;RS;2006;3.69
42;SC;2006;4.81
28;SE;2006;3.34
35;SP;2006;4.07
17;TO;2006;3.64
17;TO;2007;5.27
53;DF;2007;5.8
25;PB;2007;4.6
12;AC;2007;3.45
27;AL;2007;5.76
13;AM;2007;3.42
16;AP;2007;3.66
29;BA;2007;3.66
23;CE;2007;2.95
32;ES;2007;11.16
52;GO;2007;4.68
21;MA;2007;2.05
50;MS;2007;5.1
31;MG;2007;4.72
51;MT;2007;6.17
15;PA;2007;4.01
26;PE;2007;8.71
22;PI;2007;1.98
41;PR;2007;2.89
33;RJ;2007;5.81
24;RN;2007;2.34
11;RO;2007;3.78
14;RR;2007;6.87
43;RS;2007;3.68
42;SC;2007;1.79
28;SE;2007;2.97
35;SP;2007;2.98
26;PE;2008;8.66
12;AC;2008;1.79
27;AL;2008;5.96
13;AM;2008;4.25
16;AP;2008;5.16
29;BA;2008;4.48
23;CE;2008;2.55
53;DF;2008;7.72
32;ES;2008;12.27
52;GO;2008;5.85
21;MA;2008;2.76
50;MS;2008;3.79
51;MT;2008;6.61
15;PA;2008;4.77
25;PB;2008;6.54
22;PI;2008;2.53
33;RJ;2008;5.72
24;RN;2008;4.36
11;RO;2008;3.93
14;RR;2008;3.44
43;RS;2008;3.73
28;SE;2008;3.06
35;SP;2008;2.96
17;TO;2008;3.36
31;MG;2008;4.1
41;PR;2008;4
42;SC;2008;2.4
41;PR;2009;4.12
53;DF;2009;8.09
32;ES;2009;14.49
52;GO;2009;6.24
21;MA;2009;2.64
31;MG;2009;4.41
50;MS;2009;4.28
51;MT;2009;6.03
15;PA;2009;5.11
25;PB;2009;6.92
26;PE;2009;8.67
22;PI;2009;1.74
29;BA;2009;5.03
33;RJ;2009;4.99
24;RN;2009;3.38
11;RO;2009;6.35
14;RR;2009;8.25
43;RS;2009;4.25
42;SC;2009;2.24
28;SE;2009;2.95
35;SP;2009;3.41
17;TO;2009;4.59
12;AC;2009;2.21
23;CE;2009;2.6
27;AL;2009;7.54
13;AM;2009;4.36
16;AP;2009;4.25
32;ES;2010;12.23
21;MA;2010;3.83
31;MG;2010;4.68
51;MT;2010;5.82
15;PA;2010;6.57
25;PB;2010;8.06
16;AP;2010;5.6
52;GO;2010;6.9
14;RR;2010;6.2
24;RN;2010;4.7
26;PE;2010;6.67
22;PI;2010;2.25
41;PR;2010;3.54
50;MS;2010;6.6
33;RJ;2010;4.84
11;RO;2010;4.24
43;RS;2010;4.54
42;SC;2010;4.16
28;SE;2010;4.83
35;SP;2010;3.23
17;TO;2010;6.01
53;DF;2010;6.6
12;AC;2010;4.68
27;AL;2010;8.21
13;AM;2010;4.39
29;BA;2010;6.23
23;CE;2010;3.69
15;PA;2011;5.08
12;AC;2011;3.86
27;AL;2011;9.04
13;AM;2011;4.85
16;AP;2011;6.05
29;BA;2011;6.31
53;DF;2011;8.02
32;ES;2011;9.87
21;MA;2011;4.13
31;MG;2011;5.15
50;MS;2011;7.05
51;MT;2011;6.36
25;PB;2011;9.62
26;PE;2011;7.43
22;PI;2011;2.28
41;PR;2011;3.67
33;RJ;2011;5.19
24;RN;2011;5.35
14;RR;2011;6.22
43;RS;2011;2.54
42;SC;2011;1.37
28;SE;2011;6.41
35;SP;2011;2.53
17;TO;2011;7.23
23;CE;2011;3.6
52;GO;2011;9.9
11;RO;2011;5.8
35;SP;2012;3.46
28;SE;2012;6.38
42;SC;2012;4.25
43;RS;2012;4.39
14;RR;2012;4.42
15;PA;2012;6.46
12;AC;2012;4.88
27;AL;2012;9.04
13;AM;2012;6.46
16;AP;2012;5.23
29;BA;2012;6.05
23;CE;2012;3.59
11;RO;2012;6.52
24;RN;2012;4.23
33;RJ;2012;4.88
41;PR;2012;4.46
22;PI;2012;3.13
26;PE;2012;5.97
53;DF;2012;7.79
32;ES;2012;12.25
52;GO;2012;8.75
21;MA;2012;3.54
31;MG;2012;5.33
51;MT;2012;6.47
50;MS;2012;7.38
25;PB;2012;9.17
17;TO;2012;7.29
21;MA;2013;3.97
22;PI;2013;3
31;MG;2013;4.73
50;MS;2013;5.95
51;MT;2013;6.18
15;PA;2013;5.98
25;PB;2013;8.67
26;PE;2013;7.56
41;PR;2013;3.51
33;RJ;2013;5.53
24;RN;2013;5.81
11;RO;2013;4.99
14;RR;2013;8.54
43;RS;2013;3.82
42;SC;2013;3.24
28;SE;2013;5.99
35;SP;2013;2.89
17;TO;2013;5.27
12;AC;2013;9.59
27;AL;2013;9.44
13;AM;2013;4.67
16;AP;2013;4.97
29;BA;2013;6.14
23;CE;2013;4.08
53;DF;2013;8.94
32;ES;2013;11.12
52;GO;2013;9.33
28;SE;2014;7.86
35;SP;2014;3.05
41;PR;2014;3.84
22;PI;2014;4.14
33;RJ;2014;6.69
24;RN;2014;6.98
11;RO;2014;6.33
14;RR;2014;5.95
43;RS;2014;5.44
26;PE;2014;6.59
25;PB;2014;8.15
15;PA;2014;6.62
51;MT;2014;7.18
50;MS;2014;6.34
31;MG;2014;4.44
21;MA;2014;4.67
52;GO;2014;10.07
32;ES;2014;9.58
17;TO;2014;5
27;AL;2014;9.9
12;AC;2014;4.97
13;AM;2014;4.23
16;AP;2014;6.72
29;BA;2014;5.54
23;CE;2014;4.71
53;DF;2014;5.95
42;SC;2014;4.84
31;MG;2015;4.56
12;AC;2015;4.27
27;AL;2015;7.53
13;AM;2015;6.02
16;AP;2015;4.42
29;BA;2015;5.58
23;CE;2015;4.94
53;DF;2015;5.45
32;ES;2015;9.29
52;GO;2015;8.62
21;MA;2015;4.09
50;MS;2015;5.43
51;MT;2015;8.31
15;PA;2015;7.18
26;PE;2015;6.44
22;PI;2015;4.41
41;PR;2015;2.84
33;RJ;2015;5.35
24;RN;2015;7.57
11;RO;2015;8.37
14;RR;2015;5.96
43;RS;2015;5.99
42;SC;2015;4.02
28;SE;2015;7.72
35;SP;2015;2.56
17;TO;2015;6.59
25;PB;2015;7
14;RR;2016;6.09
43;RS;2016;4.88
42;SC;2016;5.14
28;SE;2016;5.97
17;TO;2016;5.09
24;RN;2016;6.52
41;PR;2016;2.45
22;PI;2016;3.39
26;PE;2016;7.22
25;PB;2016;6.66
15;PA;2016;8.27
51;MT;2016;7.07
50;MS;2016;6.28
12;AC;2016;5.78
27;AL;2016;7
23;CE;2016;4.6
33;RJ;2016;5.9
35;SP;2016;2.4
31;MG;2016;3.94
21;MA;2016;4.77
52;GO;2016;8.46
32;ES;2016;6.61
53;DF;2016;5.72
29;BA;2016;5.91
16;AP;2016;4.78
13;AM;2016;6.23
11;RO;2016;5.55
24;RN;2017;11.13
41;PR;2017;1.85
22;PI;2017;2.95
53;DF;2017;3.48
42;SC;2017;3.97
31;MG;2017;4.09
50;MS;2017;4.41
43;RS;2017;5.33
33;RJ;2017;5.36
25;PB;2017;5.56
51;MT;2017;6.32
13;AM;2017;6.39
29;BA;2017;6.59
28;SE;2017;6.86
16;AP;2017;7.29
12;AC;2017;7.36
26;PE;2017;7.62
27;AL;2017;7.85
15;PA;2017;8.58
52;GO;2017;8.77
14;RR;2017;9.49
32;ES;2017;9.51
23;CE;2017;9.89
35;SP;2017;1.9
21;MA;2017;3.9
17;TO;2017;5.3
11;RO;2017;6.5
25;PB;2018;5.23
33;RJ;2018;5.01
11;RO;2018;4.72
