PIB Estadual - preços de mercado
Sigla;Código;Estado;1939;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1970;1975;1980;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
MA;21;Maranhão;2,07E-10;5,15E-10;6,28E-10;6,2E-10;8,05E-10;1,03E-09;1,26E-09;1,59E-09;2,15E-09;2,51E-09;3,17E-09;3,87E-09;5,24E-09;8,93E-09;1,28E-08;1,81E-08;3,26E-08;5,32E-08;1,03E-07;1,68E-07;2,45E-07;5,82E-07;2,78E-06;3,86E-05;0,003529938;0,010243301;0,028887456;0,226972341;3,307274326;92,15262193;490,4672007;5166,841776;109844,6715;2861414,609;6390133,836;8482394,18;9249485,071;9380513,109;10308256,16;11908911,65;13419658,02;15924003;19502900;22127132;25104209;29710643;30730866;37932402;40994571;46309633;52143535;60490109;67694845;76842028;78475994;85310038;89542757;98179496;97339938;106915962;124980719,954;
MG;31;Minas Gerais;1,69E-09;7,42E-09;8,72E-09;9,47E-09;1,08E-08;1,37E-08;1,53E-08;1,95E-08;2,62E-08;3,03E-08;3,88E-08;4,77E-08;5,64E-08;8,37E-08;1,15E-07;1,67E-07;2,81E-07;4,5E-07;9,84E-07;1,59E-06;2,39E-06;5,85E-06;3,22E-05;0,000429764;0,045717811;0,120614923;0,397499195;2,838871802;40,74379624;1073,399121;5739,658633;61167,6043;1329216,374;34750782,04;60929910,78;74151755,85;82801477,67;83924488,19;89789781,72;100612292,9;111315303,9;124071066;144189094;171870934;188364436;212659547;240355239;278607619;287443848;351123418;400124687;442282830;488004903;516633984;519331213;544810468;576375545;614875820;651872684;682786116;857593213,654;
MS;50;Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;;;;3,01E-06;4,99E-05;0,004511548;0,013793448;0,040304152;0,283873274;3,979650229;110,8383314;596,0696087;6042,367324;136570,9227;3847512,684;6427630,907;7721995,845;8711204,989;9272270,475;10172207,95;11320383,16;13151446,2;16440424;21846566;23372308;23725258;26667894;30084765;36219263;39517742;47270656;55133162;62013201;69203201;78950133;83082555;91892285;96396434;106969142;106943246;122627726;142203766,433;
MT;51;Mato Grosso;1,57E-10;4,81E-10;6,91E-10;7,31E-10;6,33E-10;8,2E-10;1,32E-09;1,9E-09;2,82E-09;3,07E-09;3,86E-09;4,36E-09;6,66E-09;7,71E-09;1,17E-08;2,05E-08;3,58E-08;5,21E-08;1,14E-07;1,87E-07;2,23E-07;7,7E-07;1,63E-06;2,77E-05;0,003266941;0,010370851;0,031630372;0,252934576;3,579948446;96,41123377;550,6545555;6108,859026;149987,3114;3860943,495;7319242,991;8647560,732;10068521,72;10566971,1;12364904,96;14870532,68;16309976,23;19190653;26697097;33388670;34257055;30700165;38027578;49202505;52693417;56600955;69153957;79665691;89212919;101234520;107418319;123880296;126845898;137442853;142122028;178649564;233390202,645;
PA;15;Pará;2,63E-10;8,62E-10;8,96E-10;8,55E-10;1,02E-09;1,33E-09;1,55E-09;1,74E-09;2,43E-09;3,04E-09;4,55E-09;6,87E-09;7,66E-09;1,01E-08;1,59E-08;2,5E-08;3,5E-08;6,34E-08;1,19E-07;2,05E-07;3,12E-07;7,76E-07;3,91E-06;7,09E-05;0,007240986;0,022127864;0,071159357;0,494816773;8,796031579;237,6548727;1227,826487;11326,31156;332685,0818;8285513,324;10998290,68;13355231,68;14311879,81;15091455,23;16503978,55;19050189,09;22321475,27;26482159;30270152;37272726;40522893;45983027;51846876;60956978;61665096;82684518;98710736;107080881;121224847;124584945;130899505;138107514;155232404;161349602;178376984;215935604;262904979,116;
PB;25;Paraíba;2,19E-10;8,73E-10;1,08E-09;1,24E-09;1,51E-09;1,73E-09;1,84E-09;1,81E-09;2,69E-09;3,24E-09;4,33E-09;4,96E-09;5,45E-09;1,04E-08;1,64E-08;2,25E-08;4,18E-08;6,78E-08;1,33E-07;2,22E-07;2,42E-07;5,03E-07;2,65E-06;2,98E-05;0,003413761;0,009733083;0,029438225;0,201774503;2,963916327;97,62114576;509,8428547;4754,62722;106898,9397;2835824,428;5182868,081;6434187,13;7205361,826;7646868,386;8397432,445;9337554,266;10848553,1;12747021;14737920;15757832;17557226;20838016;22909811;26889573;30230406;33522492;37109137;42488349;46377299;52936483;56141890;59104781;62396776;64373595;67986074;70292034;77470331,033;
PE;26;Pernambuco;7,5E-10;2,63E-09;3,06E-09;3,37E-09;3,95E-09;4,97E-09;5,13E-09;5,94E-09;8,19E-09;9,41E-09;1,3E-08;1,63E-08;2,04E-08;2,95E-08;4,02E-08;5,94E-08;9,88E-08;1,89E-07;3,6E-07;5,8E-07;8,02E-07;2,06E-06;1,03E-05;0,000115425;0,012459969;0,035999888;0,111684991;0,767055875;10,75133568;307,093528;1742,172821;17090,33945;363539,7189;9038806,661;16211814,71;19997450,7;21989185,26;23270814,37;24878853,99;26959112,38;30245003,46;36056032;38815845;44982684;50240325;55485293;62459325;70413939;79760958;97189760;110161559;127989043;141150252;155142648;156963668;167345031;181609501;186351975;197853378;193307317;220813522,472;
PI;22;Piauí;1,44E-10;4,48E-10;3,72E-10;3,96E-10;4,38E-10;5,26E-10;6,57E-10;6,79E-10;8,72E-10;1,07E-09;1,49E-09;1,85E-09;2,01E-09;3,54E-09;4,74E-09;7,77E-09;1,47E-08;2,09E-08;4,7E-08;7,59E-08;1,08E-07;2,6E-07;1,37E-06;1,72E-05;0,00187371;0,005435315;0,016071616;0,109400059;1,59104821;51,7282078;274,7138444;2644,460326;63230,96908;1614582,586;3584474,723;4359145,971;4732517,482;4950422,223;5381138,667;6062725,667;6472664,103;7122635;8414901;9406461;10711834;13360478;13736085;16203340;18946449;22269149;25941362;28637685;31283593;37723497;39149686;41416937;45365541;50378418;52780785;56391257;64028302,817;
PR;41;Paraná;4,89E-10;2,49E-09;3,12E-09;3,78E-09;5,01E-09;6,06E-09;7,81E-09;9,57E-09;1,12E-08;1,68E-08;1,69E-08;2,3E-08;3,29E-08;5,43E-08;7,42E-08;1,03E-07;1,76E-07;2,7E-07;5,39E-07;1,01E-06;1,39E-06;3,84E-06;2,5E-05;0,000262678;0,028145873;0,075873944;0,240970837;1,733755065;26,68072567;732,789965;3541,521187;37570,8332;834458,8691;21303823,91;40193724,65;48199433,68;53014378,37;57100728;63389042,27;69130749,09;76413389,96;88235715;110039414;123451530;127464507;137648311;165208891;185683859;196675612;225205255;257122269;285620202;333481152;348084191;376962822;401814164;421497870;440029403;466377036;487930594;549973061,873;
RJ;33;Rio de Janeiro;3,54E-09;1,22E-08;1,41E-08;1,7E-08;1,94E-08;2,37E-08;2,76E-08;3,23E-08;4,41E-08;5,32E-08;7,03E-08;8,17E-08;1,03E-07;1,46E-07;1,97E-07;2,91E-07;4,31E-07;8,49E-07;1,61E-06;2,52E-06;3,7E-06;1,18E-05;5,84E-05;0,00062643;0,060376435;0,147673413;0,449748867;3,231270282;43,90352554;1253,944054;7401,138508;77384,96344;1659391,978;39611125,26;78944953,66;94684066,67;104424109;114177719,9;127218907,8;139754794,7;152099027,8;184310915;202640789;241206738;269830061;299738183;323698286;378285800;391650854;449858101;512767905;574884973;628226069;671076844;659138952;640401206;671605668;758859047;779927917;753823711;949300770,395;
RN;24;Rio Grande do Norte;1,41E-10;5,99E-10;6,67E-10;7,85E-10;9,23E-10;1,2E-09;1,24E-09;1,13E-09;1,59E-09;2,01E-09;2,9E-09;3,24E-09;3,24E-09;7,13E-09;1,03E-08;1,43E-08;2,51E-08;4,56E-08;8,55E-08;1,41E-07;2E-07;3,79E-07;2,23E-06;2,89E-05;0,003711496;0,009329405;0,029056743;0,200112699;3,208654314;82,94909177;473,2399021;4599,257024;109454,5822;2613305,378;4943648,552;6279544,042;7101548,363;7320394,214;8117166,748;9119808,497;10343403,58;13566803;14865441;17252398;19966918;22890124;26318259;28898860;30941054;36184502;40992925;46412208;51518457;54022584;57250867;59677389;64305995;66969562;71336780;71577107;80180733,093;
RO;11;Rondônia;;;;;;;;;;;;;;;;;;;;;;7,34E-08;4,46E-07;1,23E-05;0,002258789;0,006894281;0,020282726;0,139643727;2,266060783;56,56858923;254,0620181;2550,129812;62153,62827;1523778,863;3136548,484;3845128,157;4488220,008;4798717,019;5399619,044;5946137,705;6548811,407;7467630;9425010;11004641;12511821;13054713;14438376;17285542;19725010;23907887;27574714;30112720;31121413;34030982;36563333;39460359;43516147;44913978;47091336;51598741;58170095,726;
RR;14;Roraima;;;;;;;;;;;;;;;;;;;;;;2,33E-08;1,23E-07;1,89E-06;0,000322511;0,001053997;0,003424649;0,025948098;0,447835142;12,95052766;56,54765116;545,7809317;9591,466569;238458,854;1004243,607;1187585,231;1284108,22;1347030,097;1569596,587;1776655,569;2033141,428;2392033;2594081;2822757;3193430;3802452;4203302;4841862;5671975;6639150;7303719;7711467;9010725;9744122;10242905;11013237;12104709;13369988;14292227;16024276;18202579,49;
RS;43;Rio Grande do Sul;1,72E-09;6,44E-09;6,9E-09;8,15E-09;9,19E-09;1,12E-08;1,33E-08;1,73E-08;2,3E-08;2,84E-08;3,77E-08;4,36E-08;5,23E-08;7,53E-08;1,02E-07;1,47E-07;2,45E-07;4,39E-07;8,67E-07;1,39E-06;2,03E-06;6,08E-06;3,25E-05;0,000361308;0,037454841;0,103710718;0,321088658;2,376082544;34,82903391;939,3634047;4666,959019;54964,96058;1260808,219;31129217,22;49879354,7;58807374,76;64991308,69;67673124,64;74015781,63;81814713,67;92310147,15;98847211;119325399;131192206;136362769;147622599;168009752;190229822;204344940;241249164;265056416;287587019;332292726;357816424;381992601;408789528;423270047;457293958;482464177;470941846;581283677,312;
SC;42;Santa Catarina;3,79E-10;1,92E-09;2,06E-09;2,28E-09;2,48E-09;3E-09;3,56E-09;4,64E-09;5,65E-09;7,81E-09;9,98E-09;1,14E-08;1,47E-08;2,15E-08;3E-08;4,27E-08;6,28E-08;1,11E-07;2,21E-07;3,43E-07;5,83E-07;1,89E-06;1,08E-05;0,000149573;0,01571585;0,044793972;0,138242522;1,03243392;17,83700257;431,2081162;2105,983555;24784,5575;501168,5879;12780147,26;24231134,85;29891812,92;33194430,11;33818977,84;37151230,05;43311914,37;48748284,57;54481893;64098475;73618966;81549244;91063449;103728092;121477258;129098535;153726007;174068322;191794652;214512242;242553371;249079642;256754669;277270237;298227090;323263857;349275016;428570888,752;
SE;28;Sergipe;1,04E-10;3,71E-10;4,2E-10;4,9E-10;4,95E-10;7,42E-10;8,39E-10;9,58E-10;1,14E-09;1,28E-09;1,83E-09;2,23E-09;2,88E-09;4,38E-09;5,66E-09;8,73E-09;1,6E-08;2,65E-08;4,82E-08;8,03E-08;1,22E-07;3,05E-07;1,52E-06;1,78E-05;0,004371479;0,01081108;0,02696665;0,183640799;2,308751561;66,39839063;385,3315946;4056,692304;92531,71543;2042038,91;3833370,885;4720442,255;5422379,069;5597441,18;5942400,086;6539803,215;8018927,573;10332494;11749574;13336258;14430118;16419798;18218450;21418378;21707243;26404893;29108272;32853181;35335986;37472432;38556530;38877438;40711486;42017981;44689483;45409657;51861396,886;
SP;35;São Paulo;5,26E-09;2,11E-08;2,53E-08;3,02E-08;3,56E-08;4,44E-08;5,43E-08;6,25E-08;8,91E-08;1,06E-07;1,29E-07;1,58E-07;2E-07;2,95E-07;4,02E-07;5,97E-07;9,38E-07;1,74E-06;3,26E-06;5,3E-06;8,09E-06;2,79E-05;0,000152983;0,001714231;0,171782902;0,455027841;1,523230927;11,20341559;160,7372301;4275,247452;21251,50101;227461,6773;4916925,143;119252732,5;263298461,8;307924113,2;344890877,3;353085089,7;383249570,9;424161313,5;463478076,1;518878815;591454032;652955558;743042944;824529299;935653180;1042510168;1127093826;1294695988;1436672709;1559033444;1715238417;1858196055;1939901907;2038757382;2120761635;2210561949;2348338000;2377638980;2719751231,375;
TO;17;Tocantins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,622647505;18,26216825;109,515708;1069,520619;24925,04919;662907,3973;1840341,806;2165596,516;2467997,68;2786155,149;3015695,225;3671728,026;4843263,94;5322563;6612339;7251580;7707340;8655613;10192844;12116393;13689804;16404816;18345688;20684430;23796656;26189323;28930291;31584816;34108132;35666183;39355941;43649803;51780764,389;
