,Unidade Territorial,Referência,TAC
144,CEARÁ,2015-09-01,78.32
145,RIO GRANDE DO NORTE,2015-09-01,75.05
146,PARAÍBA,2015-09-01,77.64
147,PERNAMBUCO,2015-09-01,76.85
148,ALAGOAS,2015-09-01,71.34
149,SERGIPE,2015-09-01,76.64
150,BAHIA,2015-09-01,77.21
151,MINAS GERAIS,2015-09-01,70.43
152,ESPÍRITO SANTO,2015-09-01,67.38
153,RIO DE JANEIRO,2015-09-01,66.25
154,SÃO PAULO,2015-09-01,65.81
155,PARANÁ,2015-09-01,68.83
156,SANTA CATARINA,2015-09-01,60.3
157,RIO GRANDE DO SUL,2015-09-01,66.89
158,MATO GROSSO DO SUL,2015-09-01,70.35
159,MATO GROSSO,2015-09-01,68.85
160,GOIÁS,2015-09-01,69.07
161,DISTRITO FEDERAL,2015-09-01,48.01
162,RONDÔNIA,2015-10-01,65.99
163,ACRE,2015-10-01,80.3
164,AMAZONAS,2015-10-01,76.75
165,RORAIMA,2015-10-01,79.35
166,PARÁ,2015-10-01,78.3
167,AMAPÁ,2015-10-01,82.16
168,TOCANTINS,2015-10-01,74.51
169,MARANHÃO,2015-10-01,74.42
170,PIAUÍ,2015-10-01,74.14
171,CEARÁ,2015-10-01,78.65
172,RIO GRANDE DO NORTE,2015-10-01,75.36
173,PARAÍBA,2015-10-01,77.36
174,PERNAMBUCO,2015-10-01,77.2
175,ALAGOAS,2015-10-01,71.69
176,SERGIPE,2015-10-01,76.89
177,BAHIA,2015-10-01,77.49
178,MINAS GERAIS,2015-10-01,70.52
179,ESPÍRITO SANTO,2015-10-01,67.27
180,RIO DE JANEIRO,2015-10-01,66.51
181,SÃO PAULO,2015-10-01,65.78
182,PARANÁ,2015-10-01,68.78
183,SANTA CATARINA,2015-10-01,60.21
184,RIO GRANDE DO SUL,2015-10-01,66.78
185,MATO GROSSO DO SUL,2015-10-01,70.02
186,MATO GROSSO,2015-10-01,68.7
187,GOIÁS,2015-10-01,68.85
188,DISTRITO FEDERAL,2015-10-01,48.13
189,RONDÔNIA,2015-11-01,66.99
190,ACRE,2015-11-01,81.05
191,AMAZONAS,2015-11-01,77.74
192,RORAIMA,2015-11-01,80.57
193,PARÁ,2015-11-01,79.66
194,AMAPÁ,2015-11-01,83.11
195,TOCANTINS,2015-11-01,75.58
196,MARANHÃO,2015-11-01,75.91
197,PIAUÍ,2015-11-01,75.27
198,CEARÁ,2015-11-01,79.93
199,RIO GRANDE DO NORTE,2015-11-01,76.56
200,PARAÍBA,2015-11-01,78.38
201,PERNAMBUCO,2015-11-01,78.48
202,ALAGOAS,2015-11-01,73.02
203,SERGIPE,2015-11-01,77.98
204,BAHIA,2015-11-01,78.76
205,MINAS GERAIS,2015-11-01,71.62
206,ESPÍRITO SANTO,2015-11-01,68.46
207,RIO DE JANEIRO,2015-11-01,67.94
208,SÃO PAULO,2015-11-01,67.11
209,PARANÁ,2015-11-01,69.98
210,SANTA CATARINA,2015-11-01,61.41
211,RIO GRANDE DO SUL,2015-11-01,67.85
212,MATO GROSSO DO SUL,2015-11-01,70.86
213,MATO GROSSO,2015-11-01,69.68
214,GOIÁS,2015-11-01,69.93
215,DISTRITO FEDERAL,2015-11-01,48.94
216,RONDÔNIA,2015-12-01,65.07
217,ACRE,2015-12-01,78.91
218,AMAZONAS,2015-12-01,75.7
219,RORAIMA,2015-12-01,78.65
220,PARÁ,2015-12-01,77.02
221,AMAPÁ,2015-12-01,81.49
222,TOCANTINS,2015-12-01,74.43
223,MARANHÃO,2015-12-01,73.7
224,PIAUÍ,2015-12-01,73.32
225,CEARÁ,2015-12-01,78.04
226,RIO GRANDE DO NORTE,2015-12-01,74.78
227,PARAÍBA,2015-12-01,75.97
228,PERNAMBUCO,2015-12-01,76.94
229,ALAGOAS,2015-12-01,71.27
230,SERGIPE,2015-12-01,76.08
231,BAHIA,2015-12-01,77.0
232,MINAS GERAIS,2015-12-01,69.83
233,ESPÍRITO SANTO,2015-12-01,66.88
234,RIO DE JANEIRO,2015-12-01,66.61
235,SÃO PAULO,2015-12-01,65.39
236,PARANÁ,2015-12-01,68.5
237,SANTA CATARINA,2015-12-01,60.25
238,RIO GRANDE DO SUL,2015-12-01,65.04
239,MATO GROSSO DO SUL,2015-12-01,68.59
240,MATO GROSSO,2015-12-01,67.73
241,GOIÁS,2015-12-01,68.0
242,DISTRITO FEDERAL,2015-12-01,47.67
243,RONDÔNIA,2016-01-01,67.57
244,ACRE,2016-01-01,80.55
