,Unidade Territorial,Referência,TAC
627,TOCANTINS,2017-03-01,75.71
628,MARANHÃO,2017-03-01,75.36
629,PIAUÍ,2017-03-01,73.89
630,CEARÁ,2017-03-01,75.34
631,RIO GRANDE DO NORTE,2017-03-01,73.95
632,PARAÍBA,2017-03-01,77.32
633,PERNAMBUCO,2017-03-01,76.18
634,ALAGOAS,2017-03-01,75.58
635,SERGIPE,2017-03-01,75.8
636,BAHIA,2017-03-01,76.45
637,MINAS GERAIS,2017-03-01,72.41
638,ESPÍRITO SANTO,2017-03-01,65.68
639,RIO DE JANEIRO,2017-03-01,68.98
640,SÃO PAULO,2017-03-01,70.09
641,PARANÁ,2017-03-01,72.01
642,SANTA CATARINA,2017-03-01,64.38
643,RIO GRANDE DO SUL,2017-03-01,65.51
644,MATO GROSSO DO SUL,2017-03-01,67.08
645,MATO GROSSO,2017-03-01,68.35
646,GOIÁS,2017-03-01,70.45
647,DISTRITO FEDERAL,2017-03-01,58.76
648,RONDÔNIA,2017-04-01,64.0
649,ACRE,2017-04-01,77.48
650,AMAZONAS,2017-04-01,72.47
651,RORAIMA,2017-04-01,72.7
652,PARÁ,2017-04-01,73.82
653,AMAPÁ,2017-04-01,75.78
654,TOCANTINS,2017-04-01,75.78
655,MARANHÃO,2017-04-01,74.95
656,PIAUÍ,2017-04-01,73.48
657,CEARÁ,2017-04-01,74.96
658,RIO GRANDE DO NORTE,2017-04-01,73.54
659,PARAÍBA,2017-04-01,76.72
660,PERNAMBUCO,2017-04-01,75.61
661,ALAGOAS,2017-04-01,74.91
662,SERGIPE,2017-04-01,75.61
663,BAHIA,2017-04-01,76.04
664,MINAS GERAIS,2017-04-01,71.97
665,ESPÍRITO SANTO,2017-04-01,64.91
666,RIO DE JANEIRO,2017-04-01,68.1
667,SÃO PAULO,2017-04-01,69.95
668,PARANÁ,2017-04-01,71.48
669,SANTA CATARINA,2017-04-01,64.08
670,RIO GRANDE DO SUL,2017-04-01,64.72
671,MATO GROSSO DO SUL,2017-04-01,66.19
672,MATO GROSSO,2017-04-01,68.19
673,GOIÁS,2017-04-01,70.64
674,DISTRITO FEDERAL,2017-04-01,58.47
675,RONDÔNIA,2017-05-01,63.71
676,ACRE,2017-05-01,76.86
677,AMAZONAS,2017-05-01,72.45
678,RORAIMA,2017-05-01,70.97
679,PARÁ,2017-05-01,73.67
680,AMAPÁ,2017-05-01,75.52
681,TOCANTINS,2017-05-01,76.02
682,MARANHÃO,2017-05-01,74.95
683,PIAUÍ,2017-05-01,73.93
684,CEARÁ,2017-05-01,74.73
685,RIO GRANDE DO NORTE,2017-05-01,73.35
686,PARAÍBA,2017-05-01,76.51
687,PERNAMBUCO,2017-05-01,75.42
688,ALAGOAS,2017-05-01,74.82
689,SERGIPE,2017-05-01,75.53
690,BAHIA,2017-05-01,75.98
691,MINAS GERAIS,2017-05-01,71.78
692,ESPÍRITO SANTO,2017-05-01,64.44
693,RIO DE JANEIRO,2017-05-01,67.72
694,SÃO PAULO,2017-05-01,69.74
695,PARANÁ,2017-05-01,71.07
696,SANTA CATARINA,2017-05-01,63.85
697,RIO GRANDE DO SUL,2017-05-01,64.22
698,MATO GROSSO DO SUL,2017-05-01,65.68
699,MATO GROSSO,2017-05-01,68.11
700,GOIÁS,2017-05-01,70.82
701,DISTRITO FEDERAL,2017-05-01,58.19
702,RONDÔNIA,2017-06-01,63.34
703,ACRE,2017-06-01,76.95
704,AMAZONAS,2017-06-01,72.45
705,RORAIMA,2017-06-01,69.6
706,PARÁ,2017-06-01,73.77
707,AMAPÁ,2017-06-01,75.66
708,TOCANTINS,2017-06-01,76.0
709,MARANHÃO,2017-06-01,75.01
710,PIAUÍ,2017-06-01,73.85
711,CEARÁ,2017-06-01,74.57
712,RIO GRANDE DO NORTE,2017-06-01,73.46
713,PARAÍBA,2017-06-01,76.27
714,PERNAMBUCO,2017-06-01,75.17
715,ALAGOAS,2017-06-01,74.54
716,SERGIPE,2017-06-01,75.32
717,BAHIA,2017-06-01,75.85
718,MINAS GERAIS,2017-06-01,71.55
719,ESPÍRITO SANTO,2017-06-01,64.09
720,RIO DE JANEIRO,2017-06-01,67.37
721,SÃO PAULO,2017-06-01,69.55
722,PARANÁ,2017-06-01,70.68
723,SANTA CATARINA,2017-06-01,63.58
724,RIO GRANDE DO SUL,2017-06-01,63.96
725,MATO GROSSO DO SUL,2017-06-01,65.33
726,MATO GROSSO,2017-06-01,67.87
727,GOIÁS,2017-06-01,70.8
728,DISTRITO FEDERAL,2017-06-01,58.57
729,RONDÔNIA,2017-07-01,62.9
730,ACRE,2017-07-01,76.62
731,AMAZONAS,2017-07-01,71.9
732,RORAIMA,2017-07-01,68.01
733,PARÁ,2017-07-01,73.65
734,AMAPÁ,2017-07-01,75.43
735,TOCANTINS,2017-07-01,75.64
736,MARANHÃO,2017-07-01,75.03
737,PIAUÍ,2017-07-01,73.66
738,CEARÁ,2017-07-01,74.16
739,RIO GRANDE DO NORTE,2017-07-01,73.19
740,PARAÍBA,2017-07-01,75.79
741,PERNAMBUCO,2017-07-01,74.87
742,ALAGOAS,2017-07-01,74.12
743,SERGIPE,2017-07-01,74.99
744,BAHIA,2017-07-01,75.8
745,MINAS GERAIS,2017-07-01,70.68
746,ESPÍRITO SANTO,2017-07-01,63.51
747,RIO DE JANEIRO,2017-07-01,66.28
748,SÃO PAULO,2017-07-01,69.21
749,PARANÁ,2017-07-01,70.08
750,SANTA CATARINA,2017-07-01,62.88
751,RIO GRANDE DO SUL,2017-07-01,63.14
752,MATO GROSSO DO SUL,2017-07-01,64.46
753,MATO GROSSO,2017-07-01,67.41
754,GOIÁS,2017-07-01,70.14
755,DISTRITO FEDERAL,2017-07-01,58.57
756,RONDÔNIA,2017-08-01,63.62
757,ACRE,2017-08-01,76.53
758,AMAZONAS,2017-08-01,73.73
759,RORAIMA,2017-08-01,67.33
760,PARÁ,2017-08-01,75.44
761,AMAPÁ,2017-08-01,76.52
762,TOCANTINS,2017-08-01,76.26
763,MARANHÃO,2017-08-01,76.9
764,PIAUÍ,2017-08-01,74.6
765,CEARÁ,2017-08-01,75.01
766,RIO GRANDE DO NORTE,2017-08-01,74.53
767,PARAÍBA,2017-08-01,77.23
768,PERNAMBUCO,2017-08-01,76.29
769,ALAGOAS,2017-08-01,75.14
770,SERGIPE,2017-08-01,76.35
771,BAHIA,2017-08-01,76.86
772,MINAS GERAIS,2017-08-01,71.19
773,ESPÍRITO SANTO,2017-08-01,64.0
774,RIO DE JANEIRO,2017-08-01,66.97
775,SÃO PAULO,2017-08-01,69.62
776,PARANÁ,2017-08-01,70.11
777,SANTA CATARINA,2017-08-01,63.22
778,RIO GRANDE DO SUL,2017-08-01,63.62
779,MATO GROSSO DO SUL,2017-08-01,64.91
780,MATO GROSSO,2017-08-01,67.94
781,GOIÁS,2017-08-01,70.91
782,DISTRITO FEDERAL,2017-08-01,58.97
783,RONDÔNIA,2017-09-01,72.41
784,ACRE,2017-09-01,82.06
785,AMAZONAS,2017-09-01,80.03
786,RORAIMA,2017-09-01,72.34
787,PARÁ,2017-09-01,80.45
788,AMAPÁ,2017-09-01,81.22
789,TOCANTINS,2017-09-01,82.17
790,MARANHÃO,2017-09-01,81.61
791,PIAUÍ,2017-09-01,79.63
792,CEARÁ,2017-09-01,80.11
793,RIO GRANDE DO NORTE,2017-09-01,80.09
794,PARAÍBA,2017-09-01,82.39
795,PERNAMBUCO,2017-09-01,81.1
796,ALAGOAS,2017-09-01,81.44
797,SERGIPE,2017-09-01,81.43
798,BAHIA,2017-09-01,81.81
799,MINAS GERAIS,2017-09-01,78.27
800,ESPÍRITO SANTO,2017-09-01,73.34
801,RIO DE JANEIRO,2017-09-01,75.41
802,SÃO PAULO,2017-09-01,77.81
803,PARANÁ,2017-09-01,78.33
804,SANTA CATARINA,2017-09-01,74.9
805,RIO GRANDE DO SUL,2017-09-01,73.43
806,MATO GROSSO DO SUL,2017-09-01,74.03
807,MATO GROSSO,2017-09-01,76.73
808,GOIÁS,2017-09-01,78.75
809,DISTRITO FEDERAL,2017-09-01,69.19
810,RONDÔNIA,2017-10-01,72.26
811,ACRE,2017-10-01,82.88
812,AMAZONAS,2017-10-01,80.61
813,RORAIMA,2017-10-01,71.63
814,PARÁ,2017-10-01,80.85
815,AMAPÁ,2017-10-01,82.35
816,TOCANTINS,2017-10-01,82.21
817,MARANHÃO,2017-10-01,81.75
818,PIAUÍ,2017-10-01,80.4
819,CEARÁ,2017-10-01,80.56
820,RIO GRANDE DO NORTE,2017-10-01,80.5
821,PARAÍBA,2017-10-01,82.95
822,PERNAMBUCO,2017-10-01,81.4
823,ALAGOAS,2017-10-01,81.63
824,SERGIPE,2017-10-01,81.62
825,BAHIA,2017-10-01,82.09
826,MINAS GERAIS,2017-10-01,78.55
827,ESPÍRITO SANTO,2017-10-01,73.47
828,RIO DE JANEIRO,2017-10-01,75.69
829,SÃO PAULO,2017-10-01,77.93
830,PARANÁ,2017-10-01,78.36
831,SANTA CATARINA,2017-10-01,74.86
832,RIO GRANDE DO SUL,2017-10-01,73.7
833,MATO GROSSO DO SUL,2017-10-01,74.01
834,MATO GROSSO,2017-10-01,76.55
835,GOIÁS,2017-10-01,78.78
836,DISTRITO FEDERAL,2017-10-01,69.7
837,RONDÔNIA,2017-11-01,72.14
838,ACRE,2017-11-01,83.54
839,AMAZONAS,2017-11-01,80.73
840,RORAIMA,2017-11-01,70.81
841,PARÁ,2017-11-01,80.83
842,AMAPÁ,2017-11-01,82.89
843,TOCANTINS,2017-11-01,82.36
844,MARANHÃO,2017-11-01,81.54
845,PIAUÍ,2017-11-01,80.57
846,CEARÁ,2017-11-01,80.92
847,RIO GRANDE DO NORTE,2017-11-01,80.82
848,PARAÍBA,2017-11-01,82.98
849,PERNAMBUCO,2017-11-01,81.5
850,ALAGOAS,2017-11-01,81.54
851,SERGIPE,2017-11-01,81.71
852,BAHIA,2017-11-01,82.22
853,MINAS GERAIS,2017-11-01,78.71
854,ESPÍRITO SANTO,2017-11-01,73.65
855,RIO DE JANEIRO,2017-11-01,75.88
856,SÃO PAULO,2017-11-01,77.76
857,PARANÁ,2017-11-01,78.47
858,SANTA CATARINA,2017-11-01,74.9
859,RIO GRANDE DO SUL,2017-11-01,74.06
860,MATO GROSSO DO SUL,2017-11-01,74.17
861,MATO GROSSO,2017-11-01,76.6
862,GOIÁS,2017-11-01,78.77
863,DISTRITO FEDERAL,2017-11-01,70.53
864,RONDÔNIA,2017-12-01,72.19
865,ACRE,2017-12-01,83.75
866,AMAZONAS,2017-12-01,81.06
867,RORAIMA,2017-12-01,71.32
868,PARÁ,2017-12-01,80.86
869,AMAPÁ,2017-12-01,83.67
870,TOCANTINS,2017-12-01,82.5
871,MARANHÃO,2017-12-01,81.17
872,PIAUÍ,2017-12-01,80.93
873,CEARÁ,2017-12-01,81.35
874,RIO GRANDE DO NORTE,2017-12-01,81.12
875,PARAÍBA,2017-12-01,83.04
876,PERNAMBUCO,2017-12-01,81.65
877,ALAGOAS,2017-12-01,81.77
878,SERGIPE,2017-12-01,81.89
879,BAHIA,2017-12-01,82.56
880,MINAS GERAIS,2017-12-01,78.94
881,ESPÍRITO SANTO,2017-12-01,74.31
882,RIO DE JANEIRO,2017-12-01,75.9
883,SÃO PAULO,2017-12-01,77.66
884,PARANÁ,2017-12-01,78.65
885,SANTA CATARINA,2017-12-01,74.87
886,RIO GRANDE DO SUL,2017-12-01,74.42
887,MATO GROSSO DO SUL,2017-12-01,74.59
888,MATO GROSSO,2017-12-01,76.79
889,GOIÁS,2017-12-01,78.94
890,DISTRITO FEDERAL,2017-12-01,70.44
891,RONDÔNIA,2018-01-01,72.12
892,ACRE,2018-01-01,83.8
893,AMAZONAS,2018-01-01,81.16
894,RORAIMA,2018-01-01,71.11
895,PARÁ,2018-01-01,80.83
896,AMAPÁ,2018-01-01,83.87
897,TOCANTINS,2018-01-01,82.5
898,MARANHÃO,2018-01-01,81.06
899,PIAUÍ,2018-01-01,80.95
900,CEARÁ,2018-01-01,81.52
901,RIO GRANDE DO NORTE,2018-01-01,81.34
902,PARAÍBA,2018-01-01,83.03
903,PERNAMBUCO,2018-01-01,81.96
904,ALAGOAS,2018-01-01,81.86
905,SERGIPE,2018-01-01,82.12
906,BAHIA,2018-01-01,82.68
907,MINAS GERAIS,2018-01-01,78.98
908,ESPÍRITO SANTO,2018-01-01,74.75
909,RIO DE JANEIRO,2018-01-01,75.82
910,SÃO PAULO,2018-01-01,77.43
911,PARANÁ,2018-01-01,78.59
912,SANTA CATARINA,2018-01-01,74.61
913,RIO GRANDE DO SUL,2018-01-01,74.43
914,MATO GROSSO DO SUL,2018-01-01,74.64
915,MATO GROSSO,2018-01-01,76.63
916,GOIÁS,2018-01-01,78.99
917,DISTRITO FEDERAL,2018-01-01,69.66
918,RONDÔNIA,2018-02-01,72.06
919,ACRE,2018-02-01,83.53
920,AMAZONAS,2018-02-01,81.08
921,RORAIMA,2018-02-01,71.23
922,PARÁ,2018-02-01,80.63
923,AMAPÁ,2018-02-01,84.08
924,TOCANTINS,2018-02-01,82.16
925,MARANHÃO,2018-02-01,80.53
926,PIAUÍ,2018-02-01,80.54
927,CEARÁ,2018-02-01,81.39
928,RIO GRANDE DO NORTE,2018-02-01,81.18
929,PARAÍBA,2018-02-01,82.69
930,PERNAMBUCO,2018-02-01,81.82
931,ALAGOAS,2018-02-01,81.58
932,SERGIPE,2018-02-01,81.8
933,BAHIA,2018-02-01,82.43
934,MINAS GERAIS,2018-02-01,78.82
935,ESPÍRITO SANTO,2018-02-01,74.82
936,RIO DE JANEIRO,2018-02-01,75.71
937,SÃO PAULO,2018-02-01,77.11
938,PARANÁ,2018-02-01,78.34
939,SANTA CATARINA,2018-02-01,74.37
940,RIO GRANDE DO SUL,2018-02-01,74.46
941,MATO GROSSO DO SUL,2018-02-01,74.37
942,MATO GROSSO,2018-02-01,76.34
943,GOIÁS,2018-02-01,78.73
944,DISTRITO FEDERAL,2018-02-01,68.81
945,RONDÔNIA,2018-03-01,76.81
946,ACRE,2018-03-01,86.05
947,AMAZONAS,2018-03-01,83.78
948,RORAIMA,2018-03-01,74.02
949,PARÁ,2018-03-01,82.76
950,AMAPÁ,2018-03-01,86.78
951,TOCANTINS,2018-03-01,84.63
952,MARANHÃO,2018-03-01,82.4
953,PIAUÍ,2018-03-01,82.77
954,CEARÁ,2018-03-01,83.4
955,RIO GRANDE DO NORTE,2018-03-01,83.63
956,PARAÍBA,2018-03-01,84.74
957,PERNAMBUCO,2018-03-01,83.5
958,ALAGOAS,2018-03-01,83.5
959,SERGIPE,2018-03-01,84.14
960,BAHIA,2018-03-01,84.33
961,MINAS GERAIS,2018-03-01,81.96
962,ESPÍRITO SANTO,2018-03-01,79.09
963,RIO DE JANEIRO,2018-03-01,79.2
964,SÃO PAULO,2018-03-01,80.38
965,PARANÁ,2018-03-01,81.79
966,SANTA CATARINA,2018-03-01,78.96
967,RIO GRANDE DO SUL,2018-03-01,79.28
968,MATO GROSSO DO SUL,2018-03-01,78.85
969,MATO GROSSO,2018-03-01,80.63
970,GOIÁS,2018-03-01,82.02
971,DISTRITO FEDERAL,2018-03-01,72.43
972,RONDÔNIA,2018-04-01,76.38
973,ACRE,2018-04-01,85.78
974,AMAZONAS,2018-04-01,83.34
975,RORAIMA,2018-04-01,75.2
976,PARÁ,2018-04-01,82.31
977,AMAPÁ,2018-04-01,86.57
978,TOCANTINS,2018-04-01,84.12
979,MARANHÃO,2018-04-01,81.86
980,PIAUÍ,2018-04-01,82.41
981,CEARÁ,2018-04-01,83.32
982,RIO GRANDE DO NORTE,2018-04-01,83.53
983,PARAÍBA,2018-04-01,84.31
984,PERNAMBUCO,2018-04-01,83.08
985,ALAGOAS,2018-04-01,82.71
986,SERGIPE,2018-04-01,83.85
987,BAHIA,2018-04-01,83.88
988,MINAS GERAIS,2018-04-01,81.54
989,ESPÍRITO SANTO,2018-04-01,79.01
990,RIO DE JANEIRO,2018-04-01,78.8
991,SÃO PAULO,2018-04-01,79.8
992,PARANÁ,2018-04-01,81.26
993,SANTA CATARINA,2018-04-01,78.38
994,RIO GRANDE DO SUL,2018-04-01,78.87
995,MATO GROSSO DO SUL,2018-04-01,78.26
996,MATO GROSSO,2018-04-01,80.12
997,GOIÁS,2018-04-01,81.55
998,DISTRITO FEDERAL,2018-04-01,70.94
999,RONDÔNIA,2018-05-01,75.89
1000,ACRE,2018-05-01,85.0
1001,AMAZONAS,2018-05-01,82.78
1002,RORAIMA,2018-05-01,75.11
1003,PARÁ,2018-05-01,81.75
1004,AMAPÁ,2018-05-01,86.32
1005,TOCANTINS,2018-05-01,83.76
1006,MARANHÃO,2018-05-01,81.07
1007,PIAUÍ,2018-05-01,81.88
1008,CEARÁ,2018-05-01,83.22
1009,RIO GRANDE DO NORTE,2018-05-01,83.2
1010,PARAÍBA,2018-05-01,83.76
1011,PERNAMBUCO,2018-05-01,82.56
1012,ALAGOAS,2018-05-01,81.66
1013,SERGIPE,2018-05-01,83.33
1014,BAHIA,2018-05-01,83.34
1015,MINAS GERAIS,2018-05-01,81.08
1016,ESPÍRITO SANTO,2018-05-01,78.7
1017,RIO DE JANEIRO,2018-05-01,78.3
1018,SÃO PAULO,2018-05-01,79.07
1019,PARANÁ,2018-05-01,80.94
1020,SANTA CATARINA,2018-05-01,77.48
1021,RIO GRANDE DO SUL,2018-05-01,78.43
1022,MATO GROSSO DO SUL,2018-05-01,77.95
1023,MATO GROSSO,2018-05-01,79.69
1024,GOIÁS,2018-05-01,81.04
1025,DISTRITO FEDERAL,2018-05-01,69.16
1026,RONDÔNIA,2018-06-01,75.69
1027,ACRE,2018-06-01,84.58
1028,AMAZONAS,2018-06-01,82.38
1029,RORAIMA,2018-06-01,75.25
1030,PARÁ,2018-06-01,81.67
1031,AMAPÁ,2018-06-01,85.84
1032,TOCANTINS,2018-06-01,83.53
1033,MARANHÃO,2018-06-01,80.57
1034,PIAUÍ,2018-06-01,81.67
1035,CEARÁ,2018-06-01,83.04
1036,RIO GRANDE DO NORTE,2018-06-01,82.95
1037,PARAÍBA,2018-06-01,83.19
1038,PERNAMBUCO,2018-06-01,82.12
1039,ALAGOAS,2018-06-01,81.06
1040,SERGIPE,2018-06-01,82.8
1041,BAHIA,2018-06-01,83.0
1042,MINAS GERAIS,2018-06-01,80.55
1043,ESPÍRITO SANTO,2018-06-01,78.7
1044,RIO DE JANEIRO,2018-06-01,77.86
1045,SÃO PAULO,2018-06-01,78.55
1046,PARANÁ,2018-06-01,80.62
1047,SANTA CATARINA,2018-06-01,76.88
1048,RIO GRANDE DO SUL,2018-06-01,77.99
1049,MATO GROSSO DO SUL,2018-06-01,77.74
1050,MATO GROSSO,2018-06-01,79.29
1051,GOIÁS,2018-06-01,80.42
1052,DISTRITO FEDERAL,2018-06-01,68.13
1053,RONDÔNIA,2018-07-01,74.86
1054,ACRE,2018-07-01,84.15
1055,AMAZONAS,2018-07-01,81.38
1056,RORAIMA,2018-07-01,74.73
1057,PARÁ,2018-07-01,80.97
1058,AMAPÁ,2018-07-01,84.98
1059,TOCANTINS,2018-07-01,82.92
1060,MARANHÃO,2018-07-01,79.37
1061,PIAUÍ,2018-07-01,81.03
1062,CEARÁ,2018-07-01,82.34
1063,RIO GRANDE DO NORTE,2018-07-01,82.31
1064,PARAÍBA,2018-07-01,82.56
1065,PERNAMBUCO,2018-07-01,81.51
1066,ALAGOAS,2018-07-01,80.52
1067,SERGIPE,2018-07-01,82.23
1068,BAHIA,2018-07-01,82.43
1069,MINAS GERAIS,2018-07-01,79.81
1070,ESPÍRITO SANTO,2018-07-01,78.06
1071,RIO DE JANEIRO,2018-07-01,76.8
1072,SÃO PAULO,2018-07-01,77.49
1073,PARANÁ,2018-07-01,79.84
1074,SANTA CATARINA,2018-07-01,75.95
1075,RIO GRANDE DO SUL,2018-07-01,77.2
1076,MATO GROSSO DO SUL,2018-07-01,77.06
1077,MATO GROSSO,2018-07-01,78.57
1078,GOIÁS,2018-07-01,79.6
1079,DISTRITO FEDERAL,2018-07-01,66.93
1080,RONDÔNIA,2018-08-01,79.32
1081,ACRE,2018-08-01,87.13
1082,AMAZONAS,2018-08-01,83.87
1083,RORAIMA,2018-08-01,77.81
1084,PARÁ,2018-08-01,82.97
1085,AMAPÁ,2018-08-01,86.23
1086,TOCANTINS,2018-08-01,85.96
1087,MARANHÃO,2018-08-01,81.22
1088,PIAUÍ,2018-08-01,83.33
1089,CEARÁ,2018-08-01,84.88
1090,RIO GRANDE DO NORTE,2018-08-01,85.31
1091,PARAÍBA,2018-08-01,85.56
1092,PERNAMBUCO,2018-08-01,83.9
1093,ALAGOAS,2018-08-01,83.29
1094,SERGIPE,2018-08-01,84.93
1095,BAHIA,2018-08-01,84.89
1096,MINAS GERAIS,2018-08-01,83.89
1097,ESPÍRITO SANTO,2018-08-01,82.09
1098,RIO DE JANEIRO,2018-08-01,80.53
1099,SÃO PAULO,2018-08-01,81.43
1100,PARANÁ,2018-08-01,84.72
1101,SANTA CATARINA,2018-08-01,81.65
1102,RIO GRANDE DO SUL,2018-08-01,82.11
1103,MATO GROSSO DO SUL,2018-08-01,82.32
1104,MATO GROSSO,2018-08-01,83.47
1105,GOIÁS,2018-08-01,83.76
1106,DISTRITO FEDERAL,2018-08-01,71.15
1107,RONDÔNIA,2018-09-01,79.74
1108,ACRE,2018-09-01,87.96
1109,AMAZONAS,2018-09-01,84.78
1110,RORAIMA,2018-09-01,78.02
1111,PARÁ,2018-09-01,84.08
1112,AMAPÁ,2018-09-01,86.09
1113,TOCANTINS,2018-09-01,86.44
1114,MARANHÃO,2018-09-01,82.45
1115,PIAUÍ,2018-09-01,84.56
1116,CEARÁ,2018-09-01,85.63
1117,RIO GRANDE DO NORTE,2018-09-01,86.15
1118,PARAÍBA,2018-09-01,86.6
1119,PERNAMBUCO,2018-09-01,85.22
1120,ALAGOAS,2018-09-01,83.99
1121,SERGIPE,2018-09-01,86.05
1122,BAHIA,2018-09-01,85.76
1123,MINAS GERAIS,2018-09-01,84.41
1124,ESPÍRITO SANTO,2018-09-01,82.49
1125,RIO DE JANEIRO,2018-09-01,81.5
1126,SÃO PAULO,2018-09-01,81.66
1127,PARANÁ,2018-09-01,84.8
1128,SANTA CATARINA,2018-09-01,81.56
1129,RIO GRANDE DO SUL,2018-09-01,82.52
1130,MATO GROSSO DO SUL,2018-09-01,82.74
1131,MATO GROSSO,2018-09-01,83.62
1132,GOIÁS,2018-09-01,83.94
1133,DISTRITO FEDERAL,2018-09-01,70.61
1134,RONDÔNIA,2018-10-01,79.36
1135,ACRE,2018-10-01,88.19
1136,AMAZONAS,2018-10-01,84.68
1137,RORAIMA,2018-10-01,78.17
1138,PARÁ,2018-10-01,84.35
1139,AMAPÁ,2018-10-01,86.65
1140,TOCANTINS,2018-10-01,86.24
1141,MARANHÃO,2018-10-01,82.47
1142,PIAUÍ,2018-10-01,84.64
1143,CEARÁ,2018-10-01,85.57
1144,RIO GRANDE DO NORTE,2018-10-01,86.06
1145,PARAÍBA,2018-10-01,86.54
1146,PERNAMBUCO,2018-10-01,85.36
1147,ALAGOAS,2018-10-01,83.87
1148,SERGIPE,2018-10-01,85.88
1149,BAHIA,2018-10-01,85.7
1150,MINAS GERAIS,2018-10-01,84.13
1151,ESPÍRITO SANTO,2018-10-01,82.48
1152,RIO DE JANEIRO,2018-10-01,81.44
1153,SÃO PAULO,2018-10-01,81.31
1154,PARANÁ,2018-10-01,84.56
1155,SANTA CATARINA,2018-10-01,81.1
1156,RIO GRANDE DO SUL,2018-10-01,82.42
1157,MATO GROSSO DO SUL,2018-10-01,82.63
1158,MATO GROSSO,2018-10-01,83.36
1159,GOIÁS,2018-10-01,83.54
1160,DISTRITO FEDERAL,2018-10-01,69.85
1161,RONDÔNIA,2018-11-01,79.1
1162,ACRE,2018-11-01,88.21
1163,AMAZONAS,2018-11-01,85.03
1164,RORAIMA,2018-11-01,78.53
1165,PARÁ,2018-11-01,84.37
1166,AMAPÁ,2018-11-01,87.19
1167,TOCANTINS,2018-11-01,86.09
1168,MARANHÃO,2018-11-01,82.74
1169,PIAUÍ,2018-11-01,84.67
1170,CEARÁ,2018-11-01,85.37
1171,RIO GRANDE DO NORTE,2018-11-01,85.99
1172,PARAÍBA,2018-11-01,86.41
1173,PERNAMBUCO,2018-11-01,85.43
1174,ALAGOAS,2018-11-01,83.79
1175,SERGIPE,2018-11-01,85.92
1176,BAHIA,2018-11-01,85.69
1177,MINAS GERAIS,2018-11-01,83.94
1178,ESPÍRITO SANTO,2018-11-01,82.44
1179,RIO DE JANEIRO,2018-11-01,81.59
1180,SÃO PAULO,2018-11-01,81.17
1181,PARANÁ,2018-11-01,84.5
1182,SANTA CATARINA,2018-11-01,80.81
1183,RIO GRANDE DO SUL,2018-11-01,82.37
1184,MATO GROSSO DO SUL,2018-11-01,82.68
1185,MATO GROSSO,2018-11-01,83.37
1186,GOIÁS,2018-11-01,83.3
1187,DISTRITO FEDERAL,2018-11-01,70.37
1188,RONDÔNIA,2018-12-01,82.12
1189,ACRE,2018-12-01,90.33
1190,AMAZONAS,2018-12-01,87.14
1191,RORAIMA,2018-12-01,81.32
1192,PARÁ,2018-12-01,86.05
1193,AMAPÁ,2018-12-01,89.19
1194,TOCANTINS,2018-12-01,87.73
1195,MARANHÃO,2018-12-01,84.1
1196,PIAUÍ,2018-12-01,86.16
1197,CEARÁ,2018-12-01,86.88
1198,RIO GRANDE DO NORTE,2018-12-01,87.73
1199,PARAÍBA,2018-12-01,87.73
1200,PERNAMBUCO,2018-12-01,87.33
1201,ALAGOAS,2018-12-01,85.59
1202,SERGIPE,2018-12-01,87.54
1203,BAHIA,2018-12-01,87.49
1204,MINAS GERAIS,2018-12-01,86.4
1205,ESPÍRITO SANTO,2018-12-01,86.02
1206,RIO DE JANEIRO,2018-12-01,84.5
1207,SÃO PAULO,2018-12-01,84.0
1208,PARANÁ,2018-12-01,87.74
1209,SANTA CATARINA,2018-12-01,84.9
1210,RIO GRANDE DO SUL,2018-12-01,85.7
1211,MATO GROSSO DO SUL,2018-12-01,86.02
1212,MATO GROSSO,2018-12-01,86.73
1213,GOIÁS,2018-12-01,86.06
1214,DISTRITO FEDERAL,2018-12-01,78.31
1215,RONDÔNIA,2019-01-01,82.24
1216,ACRE,2019-01-01,90.16
1217,AMAZONAS,2019-01-01,86.93
1218,RORAIMA,2019-01-01,81.48
1219,PARÁ,2019-01-01,85.77
1220,AMAPÁ,2019-01-01,89.16
1221,TOCANTINS,2019-01-01,87.65
1222,MARANHÃO,2019-01-01,84.29
1223,PIAUÍ,2019-01-01,85.98
1224,CEARÁ,2019-01-01,86.77
1225,RIO GRANDE DO NORTE,2019-01-01,87.65
1226,PARAÍBA,2019-01-01,87.52
1227,PERNAMBUCO,2019-01-01,87.33
1228,ALAGOAS,2019-01-01,85.05
1229,SERGIPE,2019-01-01,87.62
1230,BAHIA,2019-01-01,87.49
1231,MINAS GERAIS,2019-01-01,86.31
1232,ESPÍRITO SANTO,2019-01-01,85.88
1233,RIO DE JANEIRO,2019-01-01,84.31
1234,SÃO PAULO,2019-01-01,83.61
1235,PARANÁ,2019-01-01,87.61
1236,SANTA CATARINA,2019-01-01,84.65
1237,RIO GRANDE DO SUL,2019-01-01,85.37
1238,MATO GROSSO DO SUL,2019-01-01,85.91
1239,MATO GROSSO,2019-01-01,86.56
1240,GOIÁS,2019-01-01,85.84
1241,DISTRITO FEDERAL,2019-01-01,77.59
1242,RONDÔNIA,2019-02-01,82.11
1243,ACRE,2019-02-01,89.76
1244,AMAZONAS,2019-02-01,86.62
1245,RORAIMA,2019-02-01,81.38
1246,PARÁ,2019-02-01,85.47
1247,AMAPÁ,2019-02-01,89.03
