"Código","Unidade Territorial","Referência","Quantidade total de famílias com cadastro atualizado","Média geral de atualização de todo o cadastro","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, com cadastro atualizado","Quantidade de famílias de baixa renda** com cadastro atualizado","Quantidade de famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda) com cadastro atualizado","Quantidade de famílias com renda per capita mensal maior que meio salário-mínimo*** com cadastro atualizado","Quantidade de famílias com renda zero com cadastro atualizado","TAC - Taxa de atualização cadastral das famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda)"
"25","PARAÍBA","06/2015","606031","74,43","488652","74324","562976","43055","101806","76,08"
"26","PERNAMBUCO","06/2015","1353075","72,68","1045841","205570","1251411","101664","115474","73,49"
"27","ALAGOAS","06/2015","456019","67,91","356865","67488","424353","31666","31173","69,02"
"28","SERGIPE","06/2015","330333","74,09","253443","49774","303217","27116","12936","75,27"
"29","BAHIA","06/2015","2245445","72,85","1687861","334696","2022557","222888","204040","74,44"
"31","MINAS GERAIS","06/2015","1753583","65,20","960769","486556","1447325","306258","135193","66,15"
"32","ESPÍRITO SANTO","06/2015","302594","65,26","161732","86757","248489","54105","21014","65,30"
"33","RIO DE JANEIRO","06/2015","1018638","63,12","694899","205060","899959","118679","118536","63,71"
"35","SÃO PAULO","06/2015","2268689","63,72","1228504","622759","1851263","417426","199182","63,29"
"41","PARANÁ","06/2015","819525","66,04","335733","290226","625959","193566","45956","66,40"
"42","SANTA CATARINA","06/2015","275101","57,72","107089","83219","190308","84793","18205","56,88"
"43","RIO GRANDE DO SUL","06/2015","723022","64,20","367400","188165","555565","167457","68435","64,02"
"50","MATO GROSSO DO SUL","06/2015","293172","68,65","129913","83514","213427","79745","20224","69,24"
"51","MATO GROSSO","06/2015","327734","66,94","162479","89755","252234","75500","19720","66,95"
"52","GOIÁS","06/2015","545544","64,47","303268","143711","446979","98565","22633","66,21"
"53","DISTRITO FEDERAL","06/2015","109907","45,54","70806","27335","98141","11766","6170","45,81"
"11","RONDÔNIA","07/2015","159946","67,33","91748","39914","131662","28284","5572","68,11"
"12","ACRE","07/2015","97912","80,13","80088","13123","93211","4701","18250","80,88"
"13","AMAZONAS","07/2015","432055","76,89","342526","61940","404466","27589","33556","78,26"
"14","RORAIMA","07/2015","70141","79,61","48052","13557","61609","8532","4826","79,90"
"15","PARÁ","07/2015","1050201","78,09","833393","136537","969930","80271","65943","78,88"
"16","AMAPÁ","07/2015","75763","83,32","60406","9942","70348","5415","8109","84,07"
"17","TOCANTINS","07/2015","205597","74,25","122628","49800","172428","33169","11248","75,38"
"21","MARANHÃO","07/2015","1061396","74,17","868331","110193","978524","82872","91549","75,37"
"22","PIAUÍ","07/2015","513517","73,56","408402","64220","472622","40895","57908","74,59"
"23","CEARÁ","07/2015","1352619","76,93","948007","280130","1228137","124482","68538","77,93"
"24","RIO GRANDE DO NORTE","07/2015","457373","73,66","316642","92939","409581","47792","41073","74,73"
"25","PARAÍBA","07/2015","607181","77,31","483338","80232","563570","43611","101045","78,57"
"26","PERNAMBUCO","07/2015","1361430","75,75","1035179","221290","1256469","104961","114663","76,50"
"27","ALAGOAS","07/2015","457064","70,17","352932","71367","424299","32765","30766","71,21"
"28","SERGIPE","07/2015","330312","75,84","249261","53497","302758","27554","12462","76,93"
"29","BAHIA","07/2015","2248670","75,66","1672454","351124","2023578","225092","201795","77,20"
"31","MINAS GERAIS","07/2015","1765895","69,32","946530","507728","1454258","311637","133826","70,52"
"32","ESPÍRITO SANTO","07/2015","302190","67,88","159828","87989","247817","54373","21110","68,14"
"33","RIO DE JANEIRO","07/2015","1019868","66,04","683752","213751","897503","122365","116522","66,76"
"35","SÃO PAULO","07/2015","2277785","66,52","1211517","637797","1849314","428471","195950","66,39"
"41","PARANÁ","07/2015","821574","68,56","329866","295958","625824","195750","45457","69,39"
"42","SANTA CATARINA","07/2015","274328","61,12","104667","84776","189443","84885","17855","60,99"
"43","RIO GRANDE DO SUL","07/2015","723603","67,01","361200","194083","555283","168320","67070","67,47"
"50","MATO GROSSO DO SUL","07/2015","291692","70,28","127271","84677","211948","79744","19796","71,50"
"51","MATO GROSSO","07/2015","326398","68,75","158936","91589","250525","75873","19044","69,19"
"52","GOIÁS","07/2015","544477","67,45","297276","148151","445427","99050","21928","69,68"
"53","DISTRITO FEDERAL","07/2015","109606","48,04","69365","28089","97454","12152","6008","48,37"
"11","RONDÔNIA","08/2015","157695","65,92","89083","40195","129278","28417","5235","66,80"
"12","ACRE","08/2015","98187","79,86","79742","13663","93405","4782","18218","80,67"
"13","AMAZONAS","08/2015","428874","75,81","337711","62964","400675","28199","32936","77,21"
"14","RORAIMA","08/2015","70807","79,47","47913","14037","61950","8857","4811","79,90"
"15","PARÁ","08/2015","1053433","77,82","828690","142529","971219","82214","64859","78,65"
"16","AMAPÁ","08/2015","75807","82,65","60156","10266","70422","5385","7915","83,56"
"17","TOCANTINS","08/2015","204905","73,47","121178","50246","171424","33481","10926","74,69"
"21","MARANHÃO","08/2015","1052154","73,24","855517","114059","969576","82578","88486","74,55"
"22","PIAUÍ","08/2015","512930","73,15","404497","66618","471115","41815","56918","74,24"
"23","CEARÁ","08/2015","1358168","76,81","940979","290490","1231469","126699","67753","77,92"
