"Código","Unidade Territorial","Referência","Quantidade total de famílias com cadastro atualizado","Média geral de atualização de todo o cadastro","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, com cadastro atualizado","Quantidade de famílias de baixa renda** com cadastro atualizado","Quantidade de famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda) com cadastro atualizado","Quantidade de famílias com renda per capita mensal maior que meio salário-mínimo*** com cadastro atualizado","Quantidade de famílias com renda zero com cadastro atualizado","TAC - Taxa de atualização cadastral das famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda)"
"53","DISTRITO FEDERAL","09/2016","113391","49,78","67765","31864","99629","13762","7496","51,48"
"11","RONDÔNIA","10/2016","148741","59,77","72985","44979","117964","30777","3161","63,11"
"12","ACRE","10/2016","93582","73,69","77025","13236","90261","3321","21255","76,37"
"13","AMAZONAS","10/2016","411633","69,30","321655","61398","383053","28580","36674","72,01"
"14","RORAIMA","10/2016","69728","74,35","44688","15711","60399","9329","4487","77,21"
"15","PARÁ","10/2016","1002164","69,57","762175","157513","919688","82476","55757","72,01"
"16","AMAPÁ","10/2016","71355","71,62","56735","10349","67084","4271","7567","75,06"
"17","TOCANTINS","10/2016","202559","70,33","114685","54910","169595","32964","8745","75,88"
"21","MARANHÃO","10/2016","1037715","68,27","818571","149256","967827","69888","82072","72,28"
"22","PIAUÍ","10/2016","492418","69,07","383609","68579","452188","40230","56753","72,00"
"23","CEARÁ","10/2016","1302224","71,20","885165","300354","1185519","116705","69975","75,17"
"24","RIO GRANDE DO NORTE","10/2016","429740","67,55","293648","94923","388571","41169","38805","71,62"
"25","PARAÍBA","10/2016","586494","71,68","452593","88916","541509","44985","104315","75,13"
"26","PERNAMBUCO","10/2016","1348250","71,80","984590","256321","1240911","107339","124760","74,76"
"27","ALAGOAS","10/2016","465907","69,54","342728","83689","426417","39490","33351","72,32"
"28","SERGIPE","10/2016","323870","70,14","238002","58421","296423","27447","11061","73,78"
"29","BAHIA","10/2016","2197967","70,56","1582317","398642","1980959","217008","207296","74,58"
"31","MINAS GERAIS","10/2016","1723454","65,69","893601","538846","1432447","291007","157038","71,24"
"32","ESPÍRITO SANTO","10/2016","281105","60,82","146098","89816","235914","45191","25873","65,67"
"33","RIO DE JANEIRO","10/2016","1035566","62,75","653723","238304","892027","143539","130756","65,48"
"35","SÃO PAULO","10/2016","2471555","64,50","1231902","737450","1969352","502203","246712","67,83"
"41","PARANÁ","10/2016","838223","66,54","319190","330720","649910","188313","58792","74,30"
"42","SANTA CATARINA","10/2016","258163","56,90","102397","86746","189143","69020","22303","64,50"
"43","RIO GRANDE DO SUL","10/2016","647857","59,01","315491","194276","509767","138090","62621","64,76"
"50","MATO GROSSO DO SUL","10/2016","268191","60,43","114860","83873","198733","69458","18637","67,82"
"51","MATO GROSSO","10/2016","318843","63,34","140156","100014","240170","78673","14540","68,85"
"52","GOIÁS","10/2016","530894","63,31","269736","162425","432161","98733","18011","69,06"
"53","DISTRITO FEDERAL","10/2016","112685","48,97","67371","31552","98923","13762","7503","50,75"
"11","RONDÔNIA","11/2016","150025","60,00","73251","45519","118770","31255","3166","63,52"
"12","ACRE","11/2016","94134","73,89","77546","13319","90865","3269","21390","76,70"
"13","AMAZONAS","11/2016","417391","69,93","325575","62500","388075","29316","37158","72,76"
"14","RORAIMA","11/2016","69393","73,96","44438","15693","60131","9262","4503","76,99"
"15","PARÁ","11/2016","1011773","69,95","770466","159028","929494","82279","56221","72,63"
"16","AMAPÁ","11/2016","71006","70,95","56965","10091","67056","3950","7597","74,75"
"17","TOCANTINS","11/2016","204333","70,58","115313","55598","170911","33422","8830","76,45"
"21","MARANHÃO","11/2016","1057832","69,27","834118","153900","988018","69814","83856","73,65"
"22","PIAUÍ","11/2016","500748","70,05","389273","70197","459470","41278","57664","73,24"
"23","CEARÁ","11/2016","1316518","71,75","894647","303608","1198255","118263","71329","76,02"
"24","RIO GRANDE DO NORTE","11/2016","434868","68,17","296986","96120","393106","41762","39476","72,48"
"25","PARAÍBA","11/2016","597275","72,79","459232","92153","551385","45890","105634","76,57"
"26","PERNAMBUCO","11/2016","1356747","72,05","992028","258761","1250789","105958","126036","75,33"
"27","ALAGOAS","11/2016","473803","70,44","348118","85315","433433","40370","34065","73,43"
"28","SERGIPE","11/2016","327664","70,71","241033","59057","300090","27574","11142","74,63"
"29","BAHIA","11/2016","2214839","70,89","1594566","402440","1997006","217833","209651","75,16"
"31","MINAS GERAIS","11/2016","1742950","66,17","903174","544105","1447279","295671","159861","72,02"
"32","ESPÍRITO SANTO","11/2016","280869","60,50","146046","89736","235782","45087","26173","65,53"
"33","RIO DE JANEIRO","11/2016","1048410","63,24","663235","240390","903625","144785","133225","66,20"
"35","SÃO PAULO","11/2016","2502382","64,84","1245875","744611","1990486","511896","251985","68,36"
"41","PARANÁ","11/2016","840837","66,39","319753","330768","650521","190316","59674","74,35"
"42","SANTA CATARINA","11/2016","259437","56,92","102903","86966","189869","69568","22766","64,77"
"43","RIO GRANDE DO SUL","11/2016","649883","59,00","315962","194729","510691","139192","62868","64,93"
"50","MATO GROSSO DO SUL","11/2016","270011","60,57","115297","84436","199733","70278","18598","68,29"
"51","MATO GROSSO","11/2016","320083","63,23","140417","100307","240724","79359","14521","69,03"
"52","GOIÁS","11/2016","538368","63,93","272039","164973","437012","101356","18097","69,86"
"53","DISTRITO FEDERAL","11/2016","110400","47,82","66219","30730","96949","13451","7411","49,64"
"11","RONDÔNIA","12/2016","150998","64,88","73280","46205","119485","31513","3067","69,31"
"12","ACRE","12/2016","94534","76,79","77658","13635","91293","3241","21502","79,69"
"13","AMAZONAS","12/2016","424811","72,81","329313","65047","394360","30451","37672","75,42"
"14","RORAIMA","12/2016","68944","75,16","44269","15584","59853","9091","4572","78,56"
"15","PARÁ","12/2016","1024044","73,39","779227","162692","941919","82125","56548","76,24"
"16","AMAPÁ","12/2016","71662","72,94","57705","10087","67792","3870","7857","76,86"
"17","TOCANTINS","12/2016","206975","74,88","116068","56980","173048","33927","8988","81,38"
"21","MARANHÃO","12/2016","1083042","74,15","849799","162551","1012350","70692","85222","78,60"
"22","PIAUÍ","12/2016","504885","74,60","391560","71781","463341","41544","57986","77,86"
"23","CEARÁ","12/2016","1328276","75,51","901655","307548","1209203","119073","72588","79,80"
"24","RIO GRANDE DO NORTE","12/2016","438917","72,96","299740","97771","397511","41406","39979","77,65"
"25","PARAÍBA","12/2016","606031","77,65","463194","96240","559434","46597","106493","81,56"
"26","PERNAMBUCO","12/2016","1360774","75,91","995724","261838","1257562","103212","127448","79,51"
"27","ALAGOAS","12/2016","481020","74,97","352521","87504","440025","40995","34591","78,01"
"28","SERGIPE","12/2016","331786","75,10","243119","60879","303998","27788","11157","79,16"
"29","BAHIA","12/2016","2229982","75,29","1603777","409546","2013323","216659","211619","79,52"
"31","MINAS GERAIS","12/2016","1754409","71,56","908509","551548","1460057","294352","161922","78,17"
"32","ESPÍRITO SANTO","12/2016","280979","65,26","146289","90038","236327","44652","26549","70,85"
"33","RIO DE JANEIRO","12/2016","1068120","69,29","675827","244529","920356","147764","135379","72,43"
"35","SÃO PAULO","12/2016","2546160","70,09","1263938","758988","2022926","523234","256986","74,48"
"41","PARANÁ","12/2016","844464","71,12","320390","332197","652587","191877","60457","80,12"
"42","SANTA CATARINA","12/2016","261956","62,09","103115","88173","191288","70668","22990","70,62"
"43","RIO GRANDE DO SUL","12/2016","653692","64,34","318292","196710","515002","138690","63773","71,01"
"50","MATO GROSSO DO SUL","12/2016","271361","65,62","115329","85193","200522","70839","18529","74,42"
"51","MATO GROSSO","12/2016","320885","67,88","140655","100898","241553","79332","14484","74,85"
"52","GOIÁS","12/2016","547378","69,44","273705","169561","443266","104112","18058","75,67"
"53","DISTRITO FEDERAL","12/2016","107769","58,51","64786","29922","94708","13061","7274","60,89"
"11","RONDÔNIA","01/2017","150907","64,61","77478","43171","120649","30258","3075","65,89"
"12","ACRE","01/2017","94487","76,54","79569","11970","91539","2948","21716","78,27"
"13","AMAZONAS","01/2017","427332","72,90","337927","59842","397769","29563","38238","74,11"
"14","RORAIMA","01/2017","68619","74,48","45694","14403","60097","8522","4616","75,98"
"15","PARÁ","01/2017","1031765","73,56","800645","152348","952993","78772","56873","74,99"
"16","AMAPÁ","01/2017","72500","73,34","59558","9271","68829","3671","7943","75,88"
"17","TOCANTINS","01/2017","207542","74,67","121207","53759","174966","32576","9072","77,54"
"21","MARANHÃO","01/2017","1088775","74,03","863108","157986","1021094","67681","85612","76,35"
"22","PIAUÍ","01/2017","503199","74,16","395663","68670","464333","38866","58056","75,93"
"23","CEARÁ","01/2017","1327198","75,20","924893","291027","1215920","111278","73154","77,06"
"24","RIO GRANDE DO NORTE","01/2017","438760","72,70","307515","92390","399905","38855","39921","75,10"
"25","PARAÍBA","01/2017","605851","77,30","469478","91412","560890","44961","106901","79,24"
"26","PERNAMBUCO","01/2017","1363598","75,81","1018883","247357","1266240","97358","129014","77,46"
"27","ALAGOAS","01/2017","484611","75,17","363006","81758","444764","39847","34907","76,62"
"28","SERGIPE","01/2017","331728","74,86","247741","57435","305176","26552","11173","76,85"
"29","BAHIA","01/2017","2230309","75,03","1634305","389882","2024187","206122","212155","77,26"
"31","MINAS GERAIS","01/2017","1755365","71,25","952483","524727","1477210","278155","164335","73,99"
"32","ESPÍRITO SANTO","01/2017","281766","65,10","154885","85143","240028","41738","27158","67,32"
"33","RIO DE JANEIRO","01/2017","1071918","69,16","699765","233548","933313","138605","137446","70,02"
"35","SÃO PAULO","01/2017","2571918","70,19","1337585","738693","2076278","495640","263237","70,84"
"41","PARANÁ","01/2017","846662","70,95","344013","322342","666355","180307","61456","73,51"
"42","SANTA CATARINA","01/2017","262542","62,04","110264","85185","195449","67093","23214","65,49"
"43","RIO GRANDE DO SUL","01/2017","654252","64,07","334474","188740","523214","131038","64540","67,00"
"50","MATO GROSSO DO SUL","01/2017","270710","65,12","121594","81680","203274","67436","18681","68,85"
"51","MATO GROSSO","01/2017","320993","67,55","149044","96218","245262","75731","14532","69,85"
"52","GOIÁS","01/2017","549175","69,37","288740","160292","449032","100143","18024","71,55"
"53","DISTRITO FEDERAL","01/2017","108893","58,73","68479","28260","96739","12154","7398","59,22"
"11","RONDÔNIA","02/2017","150279","63,97","77226","42933","120159","30120","3157","65,35"
"12","ACRE","02/2017","94617","76,21","79821","11853","91674","2943","21855","77,98"
"13","AMAZONAS","02/2017","428198","72,64","338989","59443","398432","29766","38851","73,89"
"14","RORAIMA","02/2017","68399","73,63","45621","14232","59853","8546","4734","75,22"
"15","PARÁ","02/2017","1033940","73,22","802587","152986","955573","78367","57154","74,76"
"16","AMAPÁ","02/2017","73548","74,01","60337","9436","69773","3775","8012","76,56"
"17","TOCANTINS","02/2017","206006","73,59","120855","52946","173801","32205","9215","76,62"
"21","MARANHÃO","02/2017","1090145","73,70","863976","159548","1023524","66621","86592","76,14"
"22","PIAUÍ","02/2017","497985","73,08","393115","67073","460188","37797","57898","75,00"
"23","CEARÁ","02/2017","1316723","74,30","921269","286657","1207926","108797","73331","76,30"
"24","RIO GRANDE DO NORTE","02/2017","436991","72,04","308009","90893","398902","38089","40323","74,63"
"25","PARAÍBA","02/2017","603883","76,65","469195","90020","559215","44668","108067","78,67"
"26","PERNAMBUCO","02/2017","1359157","75,19","1021807","242884","1264691","94466","130387","77,04"
"27","ALAGOAS","02/2017","485702","74,86","365888","80560","446448","39254","35724","76,52"
"28","SERGIPE","02/2017","331277","74,37","248130","56809","304939","26338","11464","76,46"
"29","BAHIA","02/2017","2228126","74,58","1642091","385570","2027661","200465","215549","77,07"
"31","MINAS GERAIS","02/2017","1747088","70,40","956178","516920","1473098","273990","168629","73,34"
"32","ESPÍRITO SANTO","02/2017","278580","64,16","154265","83624","237889","40691","27257","66,56"
"33","RIO DE JANEIRO","02/2017","1073881","68,83","704142","231941","936083","137798","140131","69,82"
"35","SÃO PAULO","02/2017","2587409","69,77","1355089","735817","2090906","496503","272083","70,59"
"41","PARANÁ","02/2017","844539","70,14","345738","318653","664391","180148","63280","72,78"
"42","SANTA CATARINA","02/2017","262451","61,64","110838","84676","195514","66937","23811","65,17"
"43","RIO GRANDE DO SUL","02/2017","651834","63,49","334752","186836","521588","130246","65065","66,54"
"50","MATO GROSSO DO SUL","02/2017","269385","64,21","121556","80574","202130","67255","18967","68,08"
"51","MATO GROSSO","02/2017","319816","66,74","149330","94766","244096","75720","14669","69,08"
"52","GOIÁS","02/2017","548700","68,76","288971","159050","448021","100679","18148","70,98"
"53","DISTRITO FEDERAL","02/2017","109127","58,56","68843","28015","96858","12269","7529","59,06"
"11","RONDÔNIA","03/2017","149511","63,19","76599","42801","119400","30111","3160","64,56"
"12","ACRE","03/2017","94958","76,12","80105","11831","91936","3022","21744","77,89"
"13","AMAZONAS","03/2017","425504","71,74","336675","58745","395420","30084","39176","72,94"
"14","RORAIMA","03/2017","67572","72,45","45144","13950","59094","8478","4835","74,06"
"15","PARÁ","03/2017","1033908","72,68","802125","152907","955032","78876","56925","74,25"
"16","AMAPÁ","03/2017","73566","73,68","60313","9447","69760","3806","7910","76,21"
"17","TOCANTINS","03/2017","204703","72,68","119860","52496","172356","32347","9387","75,71"
"21","MARANHÃO","03/2017","1084259","72,90","859260","158942","1018202","66057","87344","75,36"
"22","PIAUÍ","03/2017","492653","71,93","389518","65760","455278","37375","57916","73,89"
"23","CEARÁ","03/2017","1303960","73,26","914622","282245","1196867","107093","73551","75,34"
"24","RIO GRANDE DO NORTE","03/2017","434869","71,33","306797","90040","396837","38032","40252","73,95"
"25","PARAÍBA","03/2017","597090","75,35","463438","88770","552208","44882","106995","77,32"
"26","PERNAMBUCO","03/2017","1350023","74,26","1017424","239270","1256694","93329","131794","76,18"
"27","ALAGOAS","03/2017","482432","73,87","364241","79101","443342","39090","35864","75,58"
"28","SERGIPE","03/2017","330511","73,69","247761","56391","304152","26359","11969","75,80"
"29","BAHIA","03/2017","2218370","73,78","1641664","380326","2021990","196380","218045","76,45"
"31","MINAS GERAIS","03/2017","1736461","69,40","954576","510206","1464782","271679","172481","72,41"
"32","ESPÍRITO SANTO","03/2017","275919","63,19","153801","82029","235830","40089","27821","65,68"
"33","RIO DE JANEIRO","03/2017","1067414","67,95","701542","229090","930632","136782","141732","68,98"
"35","SÃO PAULO","03/2017","2601257","69,19","1367958","732556","2100514","500743","280330","70,09"
"41","PARANÁ","03/2017","843673","69,33","347369","315640","663009","180664","65334","72,01"
"42","SANTA CATARINA","03/2017","261185","60,83","110935","83586","194521","66664","24328","64,38"
"43","RIO GRANDE DO SUL","03/2017","645605","62,48","332107","183850","515957","129648","64955","65,51"
"50","MATO GROSSO DO SUL","03/2017","267815","63,28","120788","79604","200392","67423","19122","67,08"
"51","MATO GROSSO","03/2017","319278","65,99","149511","93955","243466","75812","14708","68,35"
"52","GOIÁS","03/2017","550233","68,20","289408","159319","448727","101506","18433","70,45"
"53","DISTRITO FEDERAL","03/2017","109085","58,25","69034","27732","96766","12319","7656","58,76"
"11","RONDÔNIA","04/2017","149566","62,63","76355","42868","119223","30343","3233","64,00"
"12","ACRE","04/2017","95082","75,70","80212","11787","91999","3083","21527","77,48"
"13","AMAZONAS","04/2017","427119","71,31","337418","58684","396102","31017","39620","72,47"
"14","RORAIMA","04/2017","66630","71,02","44557","13703","58260","8370","4911","72,70"
"15","PARÁ","04/2017","1038481","72,22","804168","153904","958072","80409","56515","73,82"
"16","AMAPÁ","04/2017","73891","73,41","60258","9625","69883","4008","7850","75,78"
"17","TOCANTINS","04/2017","206948","72,74","120291","53410","173701","33247","9591","75,78"
"21","MARANHÃO","04/2017","1085297","72,46","860066","158525","1018591","66706","87797","74,95"
"22","PIAUÍ","04/2017","492990","71,52","389521","65592","455113","37877","59020","73,48"
"23","CEARÁ","04/2017","1303965","72,83","916211","280268","1196479","107486","75321","74,96"
"24","RIO GRANDE DO NORTE","04/2017","435617","70,90","307191","89824","397015","38602","40591","73,54"
"25","PARAÍBA","04/2017","596396","74,72","462458","88620","551078","45318","107933","76,72"
"26","PERNAMBUCO","04/2017","1348945","73,66","1018067","237199","1255266","93679","134661","75,61"
"27","ALAGOAS","04/2017","482027","73,19","364170","78344","442514","39513","36361","74,91"
"28","SERGIPE","04/2017","332678","73,47","249699","56237","305936","26742","12722","75,61"
"29","BAHIA","04/2017","2220219","73,20","1647669","377868","2025537","194682","221352","76,04"
"31","MINAS GERAIS","04/2017","1744163","68,92","960383","509212","1469595","274568","178940","71,97"
"32","ESPÍRITO SANTO","04/2017","274607","62,36","153879","80906","234785","39822","28633","64,91"
"33","RIO DE JANEIRO","04/2017","1064718","67,04","702247","226009","928256","136462","145594","68,10"
"35","SÃO PAULO","04/2017","2644436","69,02","1392581","737264","2129845","514591","292628","69,95"
"41","PARANÁ","04/2017","848487","68,80","349839","314748","664587","183900","67871","71,48"
"42","SANTA CATARINA","04/2017","262065","60,45","111838","83322","195160","66905","25203","64,08"
"43","RIO GRANDE DO SUL","04/2017","643557","61,70","331515","181851","513366","130191","65641","64,72"
"50","MATO GROSSO DO SUL","04/2017","266664","62,39","120270","78779","199049","67615","19423","66,19"
"51","MATO GROSSO","04/2017","322295","65,79","150922","94368","245290","77005","15057","68,19"
"52","GOIÁS","04/2017","561247","68,46","292413","163156","455569","105678","18915","70,64"
"53","DISTRITO FEDERAL","04/2017","109423","57,93","69439","27574","97013","12410","7856","58,47"
"11","RONDÔNIA","05/2017","150300","62,31","76335","43230","119565","30735","3298","63,71"
"12","ACRE","05/2017","94958","75,09","79802","11997","91799","3159","21399","76,86"
"13","AMAZONAS","05/2017","430941","71,29","339430","59746","399176","31765","40117","72,45"
"14","RORAIMA","05/2017","65362","69,30","43711","13361","57072","8290","4980","70,97"
"15","PARÁ","05/2017","1045312","72,04","807681","155827","963508","81804","56274","73,67"
"16","AMAPÁ","05/2017","74308","73,20","60427","9787","70214","4094","7917","75,52"
"17","TOCANTINS","05/2017","209921","72,99","120825","54660","175485","34436","9663","76,02"
"21","MARANHÃO","05/2017","1091556","72,43","863494","160296","1023790","67766","88942","74,95"
"22","PIAUÍ","05/2017","495481","71,94","390690","66289","456979","38502","59518","73,93"
"23","CEARÁ","05/2017","1306508","72,55","918025","280297","1198322","108186","77312","74,73"
"24","RIO GRANDE DO NORTE","05/2017","437023","70,66","307495","90454","397949","39074","41105","73,35"
"25","PARAÍBA","05/2017","597908","74,49","462511","89357","551868","46040","109415","76,51"
"26","PERNAMBUCO","05/2017","1354159","73,40","1021337","238539","1259876","94283","138184","75,42"
"27","ALAGOAS","05/2017","484433","73,05","365480","78972","444452","39981","36824","74,82"
"28","SERGIPE","05/2017","334791","73,37","250781","56793","307574","27217","12880","75,53"
"29","BAHIA","05/2017","2232994","73,03","1656421","380463","2036884","196110","224630","75,98"
"31","MINAS GERAIS","05/2017","1753677","68,68","964221","512112","1476333","277344","184240","71,78"
"32","ESPÍRITO SANTO","05/2017","274706","61,84","153976","80755","234731","39975","29324","64,44"
"33","RIO DE JANEIRO","05/2017","1068213","66,63","704812","226032","930844","137369","148812","67,72"
"35","SÃO PAULO","05/2017","2669847","68,77","1404762","742611","2147373","522474","300710","69,74"
"41","PARANÁ","05/2017","852632","68,42","350942","314588","665530","187102","69442","71,07"
"42","SANTA CATARINA","05/2017","262914","60,11","112607","83306","195913","67001","25841","63,85"
"43","RIO GRANDE DO SUL","05/2017","643513","61,18","332112","180620","512732","130781","66828","64,22"
"50","MATO GROSSO DO SUL","05/2017","266791","61,84","120102","78756","198858","67933","19739","65,68"
"51","MATO GROSSO","05/2017","324740","65,65","152008","94879","246887","77853","15420","68,11"
"52","GOIÁS","05/2017","569453","68,58","294226","166951","461177","108276","19253","70,82"
"53","DISTRITO FEDERAL","05/2017","109651","57,55","69992","27348","97340","12311","8064","58,19"
"11","RONDÔNIA","06/2017","150590","61,91","76133","43431","119564","31026","3400","63,34"
"12","ACRE","06/2017","95629","75,16","79944","12429","92373","3256","21593","76,95"
"13","AMAZONAS","06/2017","434207","71,23","341112","60805","401917","32290","40116","72,45"
"14","RORAIMA","06/2017","64390","67,85","43136","13082","56218","8172","4939","69,60"
"15","PARÁ","06/2017","1055525","72,10","812619","159020","971639","83886","55790","73,77"
"16","AMAPÁ","06/2017","75039","73,35","60788","10056","70844","4195","8016","75,66"
"17","TOCANTINS","06/2017","211594","72,92","120953","55487","176440","35154","9661","76,00"
"21","MARANHÃO","06/2017","1097661","72,43","866098","162735","1028833","68828","89576","75,01"
"22","PIAUÍ","06/2017","496314","71,70","391463","66375","457838","38476","59670","73,85"
"23","CEARÁ","06/2017","1309107","72,32","919420","280703","1200123","108984","79229","74,57"
"24","RIO GRANDE DO NORTE","06/2017","439960","70,70","308172","92042","400214","39746","41386","73,46"
"25","PARAÍBA","06/2017","598817","74,20","461500","90366","551866","46951","109872","76,27"
"26","PERNAMBUCO","06/2017","1357627","73,06","1022193","240840","1263033","94594","140891","75,17"
"27","ALAGOAS","06/2017","484525","72,72","365232","79138","444370","40155","37200","74,54"
"28","SERGIPE","06/2017","335391","73,11","250706","57283","307989","27402","13007","75,32"
"29","BAHIA","06/2017","2240106","72,81","1659726","382846","2042572","197534","227272","75,85"
"31","MINAS GERAIS","06/2017","1759777","68,37","963770","516273","1480043","279734","188751","71,55"
"32","ESPÍRITO SANTO","06/2017","274814","61,45","153642","80875","234517","40297","29843","64,09"
"33","RIO DE JANEIRO","06/2017","1071202","66,22","705541","227476","933017","138185","151541","67,37"
"35","SÃO PAULO","06/2017","2687024","68,51","1405431","752771","2158202","528822","305191","69,55"
"41","PARANÁ","06/2017","855173","68,06","350489","315049","665538","189635","70395","70,68"
"42","SANTA CATARINA","06/2017","263210","59,78","112623","83405","196028","67182","26165","63,58"
"43","RIO GRANDE DO SUL","06/2017","645390","60,93","332527","180575","513102","132288","67949","63,96"
"50","MATO GROSSO DO SUL","06/2017","267384","61,43","120057","78943","199000","68384","19872","65,33"
"51","MATO GROSSO","06/2017","327084","65,47","152684","95090","247774","79310","15655","67,87"
"52","GOIÁS","06/2017","574476","68,50","294651","169749","464400","110076","19076","70,80"
"53","DISTRITO FEDERAL","06/2017","111242","57,85","71158","27648","98806","12436","8297","58,57"
"11","RONDÔNIA","07/2017","151272","61,56","76424","43145","119569","31703","3551","62,90"
"12","ACRE","07/2017","95976","74,76","80396","12268","92664","3312","21942","76,62"
"13","AMAZONAS","07/2017","433797","70,62","343239","58032","401271","32526","40543","71,90"
"14","RORAIMA","07/2017","63274","66,30","42533","12609","55142","8132","4998","68,01"
"15","PARÁ","07/2017","1063123","71,94","819939","157055","976994","86129","55364","73,65"
"16","AMAPÁ","07/2017","75659","73,12","61489","9888","71377","4282","7830","75,43"
"17","TOCANTINS","07/2017","212129","72,56","120965","55331","176296","35833","9713","75,64"
"21","MARANHÃO","07/2017","1102736","72,34","875755","158090","1033845","68891","90719","75,03"
"22","PIAUÍ","07/2017","496660","71,40","394296","63628","457924","38736","60460","73,66"
"23","CEARÁ","07/2017","1310507","71,89","926980","272046","1199026","111481","81766","74,16"
"24","RIO GRANDE DO NORTE","07/2017","440710","70,37","310345","90127","400472","40238","42003","73,19"
"25","PARAÍBA","07/2017","598104","73,69","463135","87174","550309","47795","111395","75,79"
"26","PERNAMBUCO","07/2017","1362723","72,67","1032767","234002","1266769","95954","145280","74,87"
"27","ALAGOAS","07/2017","483571","72,17","367547","76234","443781","39790","38027","74,12"
"28","SERGIPE","07/2017","335485","72,74","252920","54917","307837","27648","13030","74,99"
"29","BAHIA","07/2017","2252073","72,71","1674753","375697","2050450","201623","232748","75,80"
"31","MINAS GERAIS","07/2017","1758034","67,64","966763","504018","1470781","287253","194780","70,68"
"32","ESPÍRITO SANTO","07/2017","274505","60,93","153666","79833","233499","41006","30506","63,51"
"33","RIO DE JANEIRO","07/2017","1070785","65,25","706555","220326","926881","143904","156636","66,28"
"35","SÃO PAULO","07/2017","2711932","68,22","1417785","751033","2168818","543114","313847","69,21"
"41","PARANÁ","07/2017","857724","67,62","351609","312268","663877","193847","72210","70,08"
"42","SANTA CATARINA","07/2017","263405","59,14","113384","82195","195579","67826","26900","62,88"
"43","RIO GRANDE DO SUL","07/2017","645123","60,30","333630","176309","509939","135184","69721","63,14"
"50","MATO GROSSO DO SUL","07/2017","266736","60,71","119908","77583","197491","69245","20067","64,46"
"51","MATO GROSSO","07/2017","329385","65,18","153657","94447","248104","81281","15863","67,41"
"52","GOIÁS","07/2017","576066","67,98","294661","168820","463481","112585","19306","70,14"
"53","DISTRITO FEDERAL","07/2017","112074","57,76","72276","27335","99611","12463","8591","58,57"
"11","RONDÔNIA","08/2017","154102","62,11","78164","43513","121677","32425","3746","63,62"
"12","ACRE","08/2017","96568","74,67","80944","12162","93106","3462","22125","76,53"
"13","AMAZONAS","08/2017","447657","72,25","355474","58747","414221","33436","41363","73,73"
"14","RORAIMA","08/2017","62869","65,58","42220","12442","54662","8207","5004","67,33"
"15","PARÁ","08/2017","1094138","73,52","847921","158466","1006387","87751","55541","75,44"
"16","AMAPÁ","08/2017","77536","74,12","63313","9855","73168","4368","8104","76,52"
"17","TOCANTINS","08/2017","215395","73,10","122589","55884","178473","36922","9905","76,26"
"21","MARANHÃO","08/2017","1135139","74,01","906082","158329","1064411","70728","94136","76,90"
"22","PIAUÍ","08/2017","505308","72,20","402317","63142","465459","39849","61621","74,60"
"23","CEARÁ","08/2017","1334686","72,66","948235","270480","1218715","115971","85071","75,01"
"24","RIO GRANDE DO NORTE","08/2017","450916","71,51","318185","91332","409517","41399","42991","74,53"
"25","PARAÍBA","08/2017","612492","74,95","475532","87724","563256","49236","115212","77,23"
"26","PERNAMBUCO","08/2017","1398656","73,94","1065569","233931","1299500","99156","151290","76,29"
"27","ALAGOAS","08/2017","492735","73,03","376675","75553","452228","40507","39367","75,14"
"28","SERGIPE","08/2017","343475","73,91","260209","55107","315316","28159","13286","76,35"
"29","BAHIA","08/2017","2299998","73,66","1714462","376203","2090665","209333","242039","76,86"
"31","MINAS GERAIS","08/2017","1784696","68,06","985614","503319","1488933","295763","202808","71,19"
"32","ESPÍRITO SANTO","08/2017","279219","61,38","156793","80092","236885","42334","31764","64,00"
"33","RIO DE JANEIRO","08/2017","1095820","65,84","725840","219922","945762","150058","164067","66,97"
"35","SÃO PAULO","08/2017","2756098","68,55","1446125","753850","2199975","556123","323563","69,62"
"41","PARANÁ","08/2017","867524","67,68","356363","312164","668527","198997","74465","70,11"
"42","SANTA CATARINA","08/2017","266812","59,44","115344","82189","197533","69279","27817","63,22"
"43","RIO GRANDE DO SUL","08/2017","655395","60,74","340150","176264","516414","138981","72609","63,62"
"50","MATO GROSSO DO SUL","08/2017","270378","61,04","121971","77921","199892","70486","20652","64,91"
"51","MATO GROSSO","08/2017","336134","65,71","156739","95249","251988","84146","16114","67,94"
"52","GOIÁS","08/2017","587787","68,64","300664","171402","472066","115721","19926","70,91"
"53","DISTRITO FEDERAL","08/2017","113356","58,03","73719","27163","100882","12474","8770","58,97"
"11","RONDÔNIA","09/2017","152910","70,81","77078","42971","120049","32861","3811","72,41"
"12","ACRE","09/2017","96289","80,59","80748","11755","92503","3786","22181","82,06"
"13","AMAZONAS","09/2017","447138","78,57","356239","57060","413299","33839","41404","80,03"
"14","RORAIMA","09/2017","61166","70,52","41580","11682","53262","7904","5123","72,34"
"15","PARÁ","09/2017","1101026","78,71","855889","156114","1012003","89023","55166","80,45"
"16","AMAPÁ","09/2017","78737","78,84","64539","9702","74241","4496","8381","81,22"
"17","TOCANTINS","09/2017","213813","79,17","121778","54711","176489","37324","9867","82,17"
"21","MARANHÃO","09/2017","1130695","79,23","905227","154401","1059628","71067","94828","81,61"
