,Unidade Territorial,Referência,Percentual fam unip pbf
629,PIAUÍ,2018-10-01,14.32
630,CEARÁ,2018-10-01,11.39
631,RIO GRANDE DO NORTE,2018-10-01,12.28
632,PARAÍBA,2018-10-01,15.51
633,PERNAMBUCO,2018-10-01,18.13
634,ALAGOAS,2018-10-01,14.03
635,SERGIPE,2018-10-01,18.54
636,BAHIA,2018-10-01,15.78
637,MINAS GERAIS,2018-10-01,12.18
638,ESPÍRITO SANTO,2018-10-01,11.12
639,RIO DE JANEIRO,2018-10-01,16.19
640,SÃO PAULO,2018-10-01,16.07
641,PARANÁ,2018-10-01,12.53
642,SANTA CATARINA,2018-10-01,11.9
643,RIO GRANDE DO SUL,2018-10-01,13.64
644,MATO GROSSO DO SUL,2018-10-01,11.18
645,MATO GROSSO,2018-10-01,9.9
646,GOIÁS,2018-10-01,8.58
647,DISTRITO FEDERAL,2018-10-01,11.8
648,RONDÔNIA,2018-12-01,4.68
649,ACRE,2018-12-01,4.05
650,AMAZONAS,2018-12-01,6.19
651,RORAIMA,2018-12-01,12.45
652,PARÁ,2018-12-01,7.83
653,AMAPÁ,2018-12-01,6.35
654,TOCANTINS,2018-12-01,7.91
655,MARANHÃO,2018-12-01,9.55
656,PIAUÍ,2018-12-01,14.38
657,CEARÁ,2018-12-01,11.51
658,RIO GRANDE DO NORTE,2018-12-01,12.44
659,PARAÍBA,2018-12-01,15.62
660,PERNAMBUCO,2018-12-01,18.31
661,ALAGOAS,2018-12-01,14.1
662,SERGIPE,2018-12-01,18.8
663,BAHIA,2018-12-01,15.85
664,MINAS GERAIS,2018-12-01,12.31
665,ESPÍRITO SANTO,2018-12-01,11.27
666,RIO DE JANEIRO,2018-12-01,16.31
667,SÃO PAULO,2018-12-01,16.21
668,PARANÁ,2018-12-01,12.83
669,SANTA CATARINA,2018-12-01,12.3
670,RIO GRANDE DO SUL,2018-12-01,13.88
671,MATO GROSSO DO SUL,2018-12-01,11.14
672,MATO GROSSO,2018-12-01,10.2
673,GOIÁS,2018-12-01,8.72
674,DISTRITO FEDERAL,2018-12-01,12.38
675,RONDÔNIA,2019-01-01,4.76
676,ACRE,2019-01-01,4.16
677,AMAZONAS,2019-01-01,6.32
678,RORAIMA,2019-01-01,12.4
679,PARÁ,2019-01-01,8.02
680,AMAPÁ,2019-01-01,6.53
681,TOCANTINS,2019-01-01,7.96
682,MARANHÃO,2019-01-01,9.61
683,PIAUÍ,2019-01-01,14.49
684,CEARÁ,2019-01-01,11.62
685,RIO GRANDE DO NORTE,2019-01-01,12.59
686,PARAÍBA,2019-01-01,15.75
687,PERNAMBUCO,2019-01-01,18.48
688,ALAGOAS,2019-01-01,14.24
689,SERGIPE,2019-01-01,18.94
690,BAHIA,2019-01-01,15.98
691,MINAS GERAIS,2019-01-01,12.49
692,ESPÍRITO SANTO,2019-01-01,11.45
693,RIO DE JANEIRO,2019-01-01,16.62
694,SÃO PAULO,2019-01-01,16.42
695,PARANÁ,2019-01-01,13.0
696,SANTA CATARINA,2019-01-01,12.49
697,RIO GRANDE DO SUL,2019-01-01,14.12
698,MATO GROSSO DO SUL,2019-01-01,11.25
699,MATO GROSSO,2019-01-01,10.36
700,GOIÁS,2019-01-01,8.85
701,DISTRITO FEDERAL,2019-01-01,12.5
702,RONDÔNIA,2019-02-01,4.83
703,ACRE,2019-02-01,4.32
704,AMAZONAS,2019-02-01,6.42
705,RORAIMA,2019-02-01,12.71
706,PARÁ,2019-02-01,8.22
707,AMAPÁ,2019-02-01,6.67
708,TOCANTINS,2019-02-01,8.07
709,MARANHÃO,2019-02-01,9.66
710,PIAUÍ,2019-02-01,14.62
711,CEARÁ,2019-02-01,11.77
712,RIO GRANDE DO NORTE,2019-02-01,12.74
713,PARAÍBA,2019-02-01,15.91
714,PERNAMBUCO,2019-02-01,18.66
715,ALAGOAS,2019-02-01,14.41
716,SERGIPE,2019-02-01,19.11
717,BAHIA,2019-02-01,16.12
718,MINAS GERAIS,2019-02-01,12.67
719,ESPÍRITO SANTO,2019-02-01,11.67
720,RIO DE JANEIRO,2019-02-01,16.95
721,SÃO PAULO,2019-02-01,16.62
722,PARANÁ,2019-02-01,13.22
723,SANTA CATARINA,2019-02-01,12.7
724,RIO GRANDE DO SUL,2019-02-01,14.35
725,MATO GROSSO DO SUL,2019-02-01,11.44
726,MATO GROSSO,2019-02-01,10.57
727,GOIÁS,2019-02-01,8.98
728,DISTRITO FEDERAL,2019-02-01,12.68
729,RONDÔNIA,2019-03-01,4.85
730,ACRE,2019-03-01,4.41
731,AMAZONAS,2019-03-01,6.45
732,RORAIMA,2019-03-01,12.87
733,PARÁ,2019-03-01,8.29
734,AMAPÁ,2019-03-01,6.69
735,TOCANTINS,2019-03-01,8.11
736,MARANHÃO,2019-03-01,9.66
737,PIAUÍ,2019-03-01,14.72
738,CEARÁ,2019-03-01,11.89
739,RIO GRANDE DO NORTE,2019-03-01,12.84
740,PARAÍBA,2019-03-01,16.02
741,PERNAMBUCO,2019-03-01,18.78
742,ALAGOAS,2019-03-01,14.5
743,SERGIPE,2019-03-01,19.22
744,BAHIA,2019-03-01,16.2
745,MINAS GERAIS,2019-03-01,12.85
746,ESPÍRITO SANTO,2019-03-01,11.85
747,RIO DE JANEIRO,2019-03-01,17.14
748,SÃO PAULO,2019-03-01,16.74
749,PARANÁ,2019-03-01,13.38
750,SANTA CATARINA,2019-03-01,12.88
751,RIO GRANDE DO SUL,2019-03-01,14.51
752,MATO GROSSO DO SUL,2019-03-01,11.54
753,MATO GROSSO,2019-03-01,10.55
754,GOIÁS,2019-03-01,9.06
755,DISTRITO FEDERAL,2019-03-01,12.8
756,RONDÔNIA,2019-04-01,4.94
757,ACRE,2019-04-01,4.59
758,AMAZONAS,2019-04-01,6.55
759,RORAIMA,2019-04-01,13.2
760,PARÁ,2019-04-01,8.54
761,AMAPÁ,2019-04-01,6.77
762,TOCANTINS,2019-04-01,8.21
763,MARANHÃO,2019-04-01,9.74
764,PIAUÍ,2019-04-01,14.92
765,CEARÁ,2019-04-01,12.07
766,RIO GRANDE DO NORTE,2019-04-01,13.0
767,PARAÍBA,2019-04-01,16.22
768,PERNAMBUCO,2019-04-01,18.99
769,ALAGOAS,2019-04-01,14.69
770,SERGIPE,2019-04-01,19.5
771,BAHIA,2019-04-01,16.38
772,MINAS GERAIS,2019-04-01,13.05
773,ESPÍRITO SANTO,2019-04-01,12.07
774,RIO DE JANEIRO,2019-04-01,17.43
775,SÃO PAULO,2019-04-01,16.92
776,PARANÁ,2019-04-01,13.61
777,SANTA CATARINA,2019-04-01,13.08
778,RIO GRANDE DO SUL,2019-04-01,14.75
779,MATO GROSSO DO SUL,2019-04-01,11.75
780,MATO GROSSO,2019-04-01,10.68
781,GOIÁS,2019-04-01,9.21
782,DISTRITO FEDERAL,2019-04-01,13.01
783,RONDÔNIA,2019-05-01,4.91
784,ACRE,2019-05-01,4.58
785,AMAZONAS,2019-05-01,6.53
786,RORAIMA,2019-05-01,13.15
787,PARÁ,2019-05-01,8.51
788,AMAPÁ,2019-05-01,6.72
789,TOCANTINS,2019-05-01,8.26
790,MARANHÃO,2019-05-01,9.74
791,PIAUÍ,2019-05-01,15.01
792,CEARÁ,2019-05-01,12.19
793,RIO GRANDE DO NORTE,2019-05-01,13.11
794,PARAÍBA,2019-05-01,16.32
795,PERNAMBUCO,2019-05-01,19.09
796,ALAGOAS,2019-05-01,14.79
797,SERGIPE,2019-05-01,19.6
798,BAHIA,2019-05-01,16.5
799,MINAS GERAIS,2019-05-01,13.24
800,ESPÍRITO SANTO,2019-05-01,12.24
801,RIO DE JANEIRO,2019-05-01,17.53
802,SÃO PAULO,2019-05-01,17.15
803,PARANÁ,2019-05-01,13.79
804,SANTA CATARINA,2019-05-01,13.33
805,RIO GRANDE DO SUL,2019-05-01,14.91
806,MATO GROSSO DO SUL,2019-05-01,11.81
807,MATO GROSSO,2019-05-01,10.72
808,GOIÁS,2019-05-01,9.3
809,DISTRITO FEDERAL,2019-05-01,13.08
810,RONDÔNIA,2019-06-01,4.72
811,ACRE,2019-06-01,4.41
812,AMAZONAS,2019-06-01,6.29
813,RORAIMA,2019-06-01,12.63
814,PARÁ,2019-06-01,8.28
815,AMAPÁ,2019-06-01,6.41
816,TOCANTINS,2019-06-01,8.0
817,MARANHÃO,2019-06-01,9.48
818,PIAUÍ,2019-06-01,14.72
819,CEARÁ,2019-06-01,11.89
820,RIO GRANDE DO NORTE,2019-06-01,12.88
821,PARAÍBA,2019-06-01,16.03
822,PERNAMBUCO,2019-06-01,18.78
823,ALAGOAS,2019-06-01,14.48
824,SERGIPE,2019-06-01,19.18
825,BAHIA,2019-06-01,16.2
826,MINAS GERAIS,2019-06-01,12.91
827,ESPÍRITO SANTO,2019-06-01,11.93
828,RIO DE JANEIRO,2019-06-01,17.09
829,SÃO PAULO,2019-06-01,16.68
830,PARANÁ,2019-06-01,13.42
831,SANTA CATARINA,2019-06-01,12.9
832,RIO GRANDE DO SUL,2019-06-01,14.43
833,MATO GROSSO DO SUL,2019-06-01,11.27
834,MATO GROSSO,2019-06-01,10.27
835,GOIÁS,2019-06-01,9.03
836,DISTRITO FEDERAL,2019-06-01,12.68
837,RONDÔNIA,2019-07-01,4.69
838,ACRE,2019-07-01,4.49
839,AMAZONAS,2019-07-01,6.32
840,RORAIMA,2019-07-01,12.5
841,PARÁ,2019-07-01,8.26
842,AMAPÁ,2019-07-01,6.36
843,TOCANTINS,2019-07-01,7.99
844,MARANHÃO,2019-07-01,9.48
845,PIAUÍ,2019-07-01,14.69
846,CEARÁ,2019-07-01,11.89
847,RIO GRANDE DO NORTE,2019-07-01,12.87
848,PARAÍBA,2019-07-01,16.04
849,PERNAMBUCO,2019-07-01,18.78
850,ALAGOAS,2019-07-01,14.5
851,SERGIPE,2019-07-01,19.18
852,BAHIA,2019-07-01,16.2
853,MINAS GERAIS,2019-07-01,12.92
854,ESPÍRITO SANTO,2019-07-01,11.86
855,RIO DE JANEIRO,2019-07-01,17.05
856,SÃO PAULO,2019-07-01,16.63
857,PARANÁ,2019-07-01,13.4
858,SANTA CATARINA,2019-07-01,12.86
859,RIO GRANDE DO SUL,2019-07-01,14.39
860,MATO GROSSO DO SUL,2019-07-01,11.23
861,MATO GROSSO,2019-07-01,10.22
862,GOIÁS,2019-07-01,9.03
863,DISTRITO FEDERAL,2019-07-01,12.62
864,RONDÔNIA,2019-08-01,4.73
865,ACRE,2019-08-01,4.46
866,AMAZONAS,2019-08-01,6.34
867,RORAIMA,2019-08-01,12.55
868,PARÁ,2019-08-01,8.29
869,AMAPÁ,2019-08-01,6.26
870,TOCANTINS,2019-08-01,8.09
871,MARANHÃO,2019-08-01,9.52
872,PIAUÍ,2019-08-01,14.79
873,CEARÁ,2019-08-01,12.05
874,RIO GRANDE DO NORTE,2019-08-01,13.02
875,PARAÍBA,2019-08-01,16.18
876,PERNAMBUCO,2019-08-01,18.94
877,ALAGOAS,2019-08-01,14.69
878,SERGIPE,2019-08-01,19.31
879,BAHIA,2019-08-01,16.36
880,MINAS GERAIS,2019-08-01,13.15
881,ESPÍRITO SANTO,2019-08-01,12.08
882,RIO DE JANEIRO,2019-08-01,17.25
883,SÃO PAULO,2019-08-01,17.02
884,PARANÁ,2019-08-01,13.76
885,SANTA CATARINA,2019-08-01,13.3
886,RIO GRANDE DO SUL,2019-08-01,14.67
887,MATO GROSSO DO SUL,2019-08-01,11.45
888,MATO GROSSO,2019-08-01,10.31
889,GOIÁS,2019-08-01,9.21
890,DISTRITO FEDERAL,2019-08-01,12.91
891,RONDÔNIA,2019-09-01,4.71
892,ACRE,2019-09-01,4.39
893,AMAZONAS,2019-09-01,6.26
894,RORAIMA,2019-09-01,12.15
895,PARÁ,2019-09-01,8.21
896,AMAPÁ,2019-09-01,6.12
897,TOCANTINS,2019-09-01,8.0
898,MARANHÃO,2019-09-01,9.45
899,PIAUÍ,2019-09-01,14.7
900,CEARÁ,2019-09-01,11.98
901,RIO GRANDE DO NORTE,2019-09-01,12.96
902,PARAÍBA,2019-09-01,16.1
903,PERNAMBUCO,2019-09-01,18.82
904,ALAGOAS,2019-09-01,14.6
905,SERGIPE,2019-09-01,19.22
906,BAHIA,2019-09-01,16.28
907,MINAS GERAIS,2019-09-01,13.05
908,ESPÍRITO SANTO,2019-09-01,11.98
909,RIO DE JANEIRO,2019-09-01,17.12
910,SÃO PAULO,2019-09-01,16.88
911,PARANÁ,2019-09-01,13.64
912,SANTA CATARINA,2019-09-01,13.11
913,RIO GRANDE DO SUL,2019-09-01,14.57
914,MATO GROSSO DO SUL,2019-09-01,11.36
915,MATO GROSSO,2019-09-01,10.13
916,GOIÁS,2019-09-01,9.1
917,DISTRITO FEDERAL,2019-09-01,12.79
918,RONDÔNIA,2019-10-01,4.7
919,ACRE,2019-10-01,4.35
920,AMAZONAS,2019-10-01,6.17
921,RORAIMA,2019-10-01,11.93
922,PARÁ,2019-10-01,8.12
923,AMAPÁ,2019-10-01,6.01
924,TOCANTINS,2019-10-01,7.95
925,MARANHÃO,2019-10-01,9.31
926,PIAUÍ,2019-10-01,14.56
927,CEARÁ,2019-10-01,11.92
928,RIO GRANDE DO NORTE,2019-10-01,12.89
929,PARAÍBA,2019-10-01,15.98
930,PERNAMBUCO,2019-10-01,18.75
931,ALAGOAS,2019-10-01,14.55
932,SERGIPE,2019-10-01,19.13
933,BAHIA,2019-10-01,16.19
934,MINAS GERAIS,2019-10-01,13.0
935,ESPÍRITO SANTO,2019-10-01,11.97
936,RIO DE JANEIRO,2019-10-01,17.17
937,SÃO PAULO,2019-10-01,16.8
938,PARANÁ,2019-10-01,13.61
939,SANTA CATARINA,2019-10-01,13.09
940,RIO GRANDE DO SUL,2019-10-01,14.54
941,MATO GROSSO DO SUL,2019-10-01,11.26
942,MATO GROSSO,2019-10-01,10.05
943,GOIÁS,2019-10-01,9.03
944,DISTRITO FEDERAL,2019-10-01,12.75
945,RONDÔNIA,2019-11-01,4.66
946,ACRE,2019-11-01,4.32
947,AMAZONAS,2019-11-01,6.09
948,RORAIMA,2019-11-01,11.69
949,PARÁ,2019-11-01,8.01
950,AMAPÁ,2019-11-01,5.9
951,TOCANTINS,2019-11-01,7.89
952,MARANHÃO,2019-11-01,9.23
953,PIAUÍ,2019-11-01,14.5
954,CEARÁ,2019-11-01,11.87
955,RIO GRANDE DO NORTE,2019-11-01,12.83
956,PARAÍBA,2019-11-01,15.92
957,PERNAMBUCO,2019-11-01,18.67
958,ALAGOAS,2019-11-01,14.49
959,SERGIPE,2019-11-01,19.05
960,BAHIA,2019-11-01,16.13
961,MINAS GERAIS,2019-11-01,12.92
962,ESPÍRITO SANTO,2019-11-01,11.88
963,RIO DE JANEIRO,2019-11-01,17.03
964,SÃO PAULO,2019-11-01,16.69
965,PARANÁ,2019-11-01,13.51
966,SANTA CATARINA,2019-11-01,12.99
967,RIO GRANDE DO SUL,2019-11-01,14.44
968,MATO GROSSO DO SUL,2019-11-01,11.16
969,MATO GROSSO,2019-11-01,9.84
970,GOIÁS,2019-11-01,8.96
971,DISTRITO FEDERAL,2019-11-01,12.67
972,RONDÔNIA,2019-12-01,5.09
973,ACRE,2019-12-01,4.28
974,AMAZONAS,2019-12-01,6.06
975,RORAIMA,2019-12-01,11.69
976,PARÁ,2019-12-01,7.99
977,AMAPÁ,2019-12-01,5.86
978,TOCANTINS,2019-12-01,7.93
979,MARANHÃO,2019-12-01,9.21
980,PIAUÍ,2019-12-01,14.48
981,CEARÁ,2019-12-01,11.87
982,RIO GRANDE DO NORTE,2019-12-01,12.84
983,PARAÍBA,2019-12-01,15.9
984,PERNAMBUCO,2019-12-01,18.67
985,ALAGOAS,2019-12-01,14.48
986,SERGIPE,2019-12-01,19.05
987,BAHIA,2019-12-01,16.13
988,MINAS GERAIS,2019-12-01,13.06
989,ESPÍRITO SANTO,2019-12-01,12.0
990,RIO DE JANEIRO,2019-12-01,17.08
991,SÃO PAULO,2019-12-01,16.84
992,PARANÁ,2019-12-01,13.84
993,SANTA CATARINA,2019-12-01,13.33
994,RIO GRANDE DO SUL,2019-12-01,14.82
995,MATO GROSSO DO SUL,2019-12-01,11.26
996,MATO GROSSO,2019-12-01,10.06
997,GOIÁS,2019-12-01,9.28
998,DISTRITO FEDERAL,2019-12-01,12.68
999,RONDÔNIA,2020-01-01,5.07
1000,ACRE,2020-01-01,4.27
1001,AMAZONAS,2020-01-01,6.05
1002,RORAIMA,2020-01-01,11.69
1003,PARÁ,2020-01-01,7.97
1004,AMAPÁ,2020-01-01,5.87
1005,TOCANTINS,2020-01-01,7.91
1006,MARANHÃO,2020-01-01,9.19
1007,PIAUÍ,2020-01-01,14.45
1008,CEARÁ,2020-01-01,11.85
1009,RIO GRANDE DO NORTE,2020-01-01,12.83
1010,PARAÍBA,2020-01-01,15.87
1011,PERNAMBUCO,2020-01-01,18.65
1012,ALAGOAS,2020-01-01,14.45
1013,SERGIPE,2020-01-01,19.02
1014,BAHIA,2020-01-01,16.11
1015,MINAS GERAIS,2020-01-01,13.03
1016,ESPÍRITO SANTO,2020-01-01,11.97
1017,RIO DE JANEIRO,2020-01-01,17.03
1018,SÃO PAULO,2020-01-01,16.79
1019,PARANÁ,2020-01-01,13.79
1020,SANTA CATARINA,2020-01-01,13.28
1021,RIO GRANDE DO SUL,2020-01-01,14.77
1022,MATO GROSSO DO SUL,2020-01-01,11.23
1023,MATO GROSSO,2020-01-01,10.0
1024,GOIÁS,2020-01-01,9.25
1025,DISTRITO FEDERAL,2020-01-01,12.6
1026,RONDÔNIA,2020-02-01,4.9
1027,ACRE,2020-02-01,4.05
1028,AMAZONAS,2020-02-01,5.76
1029,RORAIMA,2020-02-01,11.02
1030,PARÁ,2020-02-01,7.77
1031,AMAPÁ,2020-02-01,5.5
1032,TOCANTINS,2020-02-01,7.67
1033,MARANHÃO,2020-02-01,8.93
1034,PIAUÍ,2020-02-01,13.97
1035,CEARÁ,2020-02-01,11.44
1036,RIO GRANDE DO NORTE,2020-02-01,12.47
1037,PARAÍBA,2020-02-01,15.33
1038,PERNAMBUCO,2020-02-01,18.09
1039,ALAGOAS,2020-02-01,14.28
1040,SERGIPE,2020-02-01,18.45
1041,BAHIA,2020-02-01,15.66
1042,MINAS GERAIS,2020-02-01,13.16
1043,ESPÍRITO SANTO,2020-02-01,12.0
1044,RIO DE JANEIRO,2020-02-01,16.26
1045,SÃO PAULO,2020-02-01,16.32
1046,PARANÁ,2020-02-01,13.91
1047,SANTA CATARINA,2020-02-01,13.44
1048,RIO GRANDE DO SUL,2020-02-01,14.39
1049,MATO GROSSO DO SUL,2020-02-01,10.71
1050,MATO GROSSO,2020-02-01,9.72
1051,GOIÁS,2020-02-01,9.02
1052,DISTRITO FEDERAL,2020-02-01,14.48
1053,RONDÔNIA,2020-03-01,5.61
1054,ACRE,2020-03-01,4.72
1055,AMAZONAS,2020-03-01,6.28
1056,RORAIMA,2020-03-01,13.43
1057,PARÁ,2020-03-01,8.33
1058,AMAPÁ,2020-03-01,5.95
1059,TOCANTINS,2020-03-01,8.74
1060,MARANHÃO,2020-03-01,9.47
1061,PIAUÍ,2020-03-01,14.7
1062,CEARÁ,2020-03-01,12.85
1063,RIO GRANDE DO NORTE,2020-03-01,13.7
1064,PARAÍBA,2020-03-01,16.28
1065,PERNAMBUCO,2020-03-01,18.96
1066,ALAGOAS,2020-03-01,15.0
1067,SERGIPE,2020-03-01,19.09
1068,BAHIA,2020-03-01,16.59
1069,MINAS GERAIS,2020-03-01,14.23
1070,ESPÍRITO SANTO,2020-03-01,13.56
1071,RIO DE JANEIRO,2020-03-01,19.05
1072,SÃO PAULO,2020-03-01,17.99
1073,PARANÁ,2020-03-01,14.78
1074,SANTA CATARINA,2020-03-01,14.74
1075,RIO GRANDE DO SUL,2020-03-01,16.16
1076,MATO GROSSO DO SUL,2020-03-01,12.75
1077,MATO GROSSO,2020-03-01,11.74
1078,GOIÁS,2020-03-01,9.69
1079,DISTRITO FEDERAL,2020-03-01,14.53
1080,RONDÔNIA,2020-04-01,5.61
1081,ACRE,2020-04-01,4.73
1082,AMAZONAS,2020-04-01,6.3
1083,RORAIMA,2020-04-01,13.45
1084,PARÁ,2020-04-01,8.34
1085,AMAPÁ,2020-04-01,5.96
1086,TOCANTINS,2020-04-01,8.76
1087,MARANHÃO,2020-04-01,9.5
1088,PIAUÍ,2020-04-01,14.73
1089,CEARÁ,2020-04-01,12.85
1090,RIO GRANDE DO NORTE,2020-04-01,13.71
1091,PARAÍBA,2020-04-01,16.3
1092,PERNAMBUCO,2020-04-01,18.98
1093,ALAGOAS,2020-04-01,15.02
1094,SERGIPE,2020-04-01,19.11
1095,BAHIA,2020-04-01,16.62
1096,MINAS GERAIS,2020-04-01,14.24
1097,ESPÍRITO SANTO,2020-04-01,13.56
1098,RIO DE JANEIRO,2020-04-01,19.05
1099,SÃO PAULO,2020-04-01,17.99
1100,PARANÁ,2020-04-01,14.79
1101,SANTA CATARINA,2020-04-01,14.74
1102,RIO GRANDE DO SUL,2020-04-01,16.17
1103,MATO GROSSO DO SUL,2020-04-01,12.76
1104,MATO GROSSO,2020-04-01,11.73
1105,GOIÁS,2020-04-01,9.7
1106,DISTRITO FEDERAL,2020-04-01,14.52
1107,RONDÔNIA,2020-05-01,5.66
1108,ACRE,2020-05-01,4.75
1109,AMAZONAS,2020-05-01,6.31
1110,RORAIMA,2020-05-01,13.44
1111,PARÁ,2020-05-01,8.35
1112,AMAPÁ,2020-05-01,5.98
1113,TOCANTINS,2020-05-01,8.76
1114,MARANHÃO,2020-05-01,9.5
1115,PIAUÍ,2020-05-01,14.74
1116,CEARÁ,2020-05-01,12.85
1117,RIO GRANDE DO NORTE,2020-05-01,13.7
1118,PARAÍBA,2020-05-01,16.3
1119,PERNAMBUCO,2020-05-01,18.98
1120,ALAGOAS,2020-05-01,15.02
1121,SERGIPE,2020-05-01,19.1
1122,BAHIA,2020-05-01,16.62
1123,MINAS GERAIS,2020-05-01,14.24
1124,ESPÍRITO SANTO,2020-05-01,13.58
1125,RIO DE JANEIRO,2020-05-01,19.05
1126,SÃO PAULO,2020-05-01,17.99
1127,PARANÁ,2020-05-01,14.81
1128,SANTA CATARINA,2020-05-01,14.74
1129,RIO GRANDE DO SUL,2020-05-01,16.18
1130,MATO GROSSO DO SUL,2020-05-01,12.78
1131,MATO GROSSO,2020-05-01,11.72
1132,GOIÁS,2020-05-01,9.71
1133,DISTRITO FEDERAL,2020-05-01,14.52
1134,RONDÔNIA,2020-06-01,5.69
1135,ACRE,2020-06-01,4.75
1136,AMAZONAS,2020-06-01,6.32
1137,RORAIMA,2020-06-01,13.44
1138,PARÁ,2020-06-01,8.36
1139,AMAPÁ,2020-06-01,5.98
1140,TOCANTINS,2020-06-01,8.77
1141,MARANHÃO,2020-06-01,9.5
1142,PIAUÍ,2020-06-01,14.73
1143,CEARÁ,2020-06-01,12.85
1144,RIO GRANDE DO NORTE,2020-06-01,13.71
1145,PARAÍBA,2020-06-01,16.31
1146,PERNAMBUCO,2020-06-01,18.97
1147,ALAGOAS,2020-06-01,15.02
1148,SERGIPE,2020-06-01,19.09
1149,BAHIA,2020-06-01,16.62
1150,MINAS GERAIS,2020-06-01,14.25
1151,ESPÍRITO SANTO,2020-06-01,13.6
1152,RIO DE JANEIRO,2020-06-01,19.06
1153,SÃO PAULO,2020-06-01,18.0
1154,PARANÁ,2020-06-01,14.84
1155,SANTA CATARINA,2020-06-01,14.74
1156,RIO GRANDE DO SUL,2020-06-01,16.19
1157,MATO GROSSO DO SUL,2020-06-01,12.83
1158,MATO GROSSO,2020-06-01,11.74
1159,GOIÁS,2020-06-01,9.72
1160,DISTRITO FEDERAL,2020-06-01,14.53
1161,RONDÔNIA,2020-07-01,5.74
1162,ACRE,2020-07-01,4.76
1163,AMAZONAS,2020-07-01,6.34
1164,RORAIMA,2020-07-01,13.45
1165,PARÁ,2020-07-01,8.36
1166,AMAPÁ,2020-07-01,5.99
1167,TOCANTINS,2020-07-01,8.79
1168,MARANHÃO,2020-07-01,9.51
1169,PIAUÍ,2020-07-01,14.74
1170,CEARÁ,2020-07-01,12.86
1171,RIO GRANDE DO NORTE,2020-07-01,13.71
1172,PARAÍBA,2020-07-01,16.31
1173,PERNAMBUCO,2020-07-01,18.97
1174,ALAGOAS,2020-07-01,15.02
1175,SERGIPE,2020-07-01,19.09
1176,BAHIA,2020-07-01,16.62
1177,MINAS GERAIS,2020-07-01,14.25
1178,ESPÍRITO SANTO,2020-07-01,13.62
1179,RIO DE JANEIRO,2020-07-01,19.06
1180,SÃO PAULO,2020-07-01,18.01
1181,PARANÁ,2020-07-01,14.87
1182,SANTA CATARINA,2020-07-01,14.75
1183,RIO GRANDE DO SUL,2020-07-01,16.21
1184,MATO GROSSO DO SUL,2020-07-01,12.88
1185,MATO GROSSO,2020-07-01,11.75
1186,GOIÁS,2020-07-01,9.74
1187,DISTRITO FEDERAL,2020-07-01,14.54
1188,RONDÔNIA,2020-08-01,5.68
1189,ACRE,2020-08-01,4.77
1190,AMAZONAS,2020-08-01,6.35
1191,RORAIMA,2020-08-01,13.45
1192,PARÁ,2020-08-01,8.36
1193,AMAPÁ,2020-08-01,6.0
1194,TOCANTINS,2020-08-01,8.78
1195,MARANHÃO,2020-08-01,9.48
1196,PIAUÍ,2020-08-01,14.72
1197,CEARÁ,2020-08-01,12.84
1198,RIO GRANDE DO NORTE,2020-08-01,13.69
1199,PARAÍBA,2020-08-01,16.28
1200,PERNAMBUCO,2020-08-01,18.97
1201,ALAGOAS,2020-08-01,15.01
1202,SERGIPE,2020-08-01,19.09
1203,BAHIA,2020-08-01,16.62
1204,MINAS GERAIS,2020-08-01,14.2
1205,ESPÍRITO SANTO,2020-08-01,13.57
1206,RIO DE JANEIRO,2020-08-01,19.02
1207,SÃO PAULO,2020-08-01,17.96
1208,PARANÁ,2020-08-01,14.78
1209,SANTA CATARINA,2020-08-01,14.67
1210,RIO GRANDE DO SUL,2020-08-01,16.19
1211,MATO GROSSO DO SUL,2020-08-01,12.87
1212,MATO GROSSO,2020-08-01,11.72
1213,GOIÁS,2020-08-01,9.7
1214,DISTRITO FEDERAL,2020-08-01,14.54
1215,RONDÔNIA,2020-09-01,5.73
1216,ACRE,2020-09-01,4.78
1217,AMAZONAS,2020-09-01,6.4
1218,RORAIMA,2020-09-01,13.45
1219,PARÁ,2020-09-01,8.4
1220,AMAPÁ,2020-09-01,6.02
1221,TOCANTINS,2020-09-01,8.83
1222,MARANHÃO,2020-09-01,9.52
1223,PIAUÍ,2020-09-01,14.77
1224,CEARÁ,2020-09-01,12.87
1225,RIO GRANDE DO NORTE,2020-09-01,13.72
1226,PARAÍBA,2020-09-01,16.33
1227,PERNAMBUCO,2020-09-01,19.0
1228,ALAGOAS,2020-09-01,15.03
1229,SERGIPE,2020-09-01,19.12
1230,BAHIA,2020-09-01,16.65
1231,MINAS GERAIS,2020-09-01,14.23
1232,ESPÍRITO SANTO,2020-09-01,13.62
1233,RIO DE JANEIRO,2020-09-01,19.04
1234,SÃO PAULO,2020-09-01,21.36
1235,PARANÁ,2020-09-01,
1236,SANTA CATARINA,2020-09-01,
1237,RIO GRANDE DO SUL,2020-09-01,
1238,MATO GROSSO DO SUL,2020-09-01,
1239,MATO GROSSO,2020-09-01,
1240,GOIÁS,2020-09-01,
1241,DISTRITO FEDERAL,2020-09-01,
1242,RONDÔNIA,2020-11-01,5.86
1243,ACRE,2020-11-01,4.83
1244,AMAZONAS,2020-11-01,6.43
1245,RORAIMA,2020-11-01,13.44
1246,PARÁ,2020-11-01,8.44
1247,AMAPÁ,2020-11-01,6.07
1248,TOCANTINS,2020-11-01,8.9
1249,MARANHÃO,2020-11-01,9.56
