time,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Paraná,Paraíba,Pará,Pernambuco,Piauí,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondônia,Roraima,Santa Catarina,Sergipe,São Paulo,Tocantins,Acre_taxa_evolucao,Alagoas_taxa_evolucao,Amapá_taxa_evolucao,Amazonas_taxa_evolucao,Bahia_taxa_evolucao,Ceará_taxa_evolucao,Distrito Federal_taxa_evolucao,Espírito Santo_taxa_evolucao,Goiás_taxa_evolucao,Maranhão_taxa_evolucao,Mato Grosso_taxa_evolucao,Mato Grosso do Sul_taxa_evolucao,Minas Gerais_taxa_evolucao,Paraná_taxa_evolucao,Paraíba_taxa_evolucao,Pará_taxa_evolucao,Pernambuco_taxa_evolucao,Piauí_taxa_evolucao,Rio Grande do Norte_taxa_evolucao,Rio Grande do Sul_taxa_evolucao,Rio de Janeiro_taxa_evolucao,Rondônia_taxa_evolucao,Roraima_taxa_evolucao,Santa Catarina_taxa_evolucao,Sergipe_taxa_evolucao,São Paulo_taxa_evolucao,Tocantins_taxa_evolucao
1989,0.547704719,2.458330276,0.764695186,7.521878607,19.2211499,6.55462169,6.552041576,7.234426238,6.185994032,3.307274326,3.579948446,3.979650229,40.74379624,26.68072567,2.963916327,8.796031579,10.75133568,1.59104821,3.208654314,34.82903391,43.90352554,2.266060783,0.447835142,17.83700257,2.308751561,160.7372301,0.622647505,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,15.99639309,81.60226627,18.59140125,210.0455169,518.9828251,187.0200214,186.0507524,191.5141207,202.4104274,92.15262193,96.41123377,110.8383314,1073.399121,732.789965,97.62114576,237.6548727,307.093528,51.7282078,82.94909177,939.3634047,1253.944054,56.56858923,12.95052766,431.2081162,66.39839063,4275.247452,18.26216825,2820.6235650491085,3219.4183493837427,2331.2172471293684,2692.4608714706956,2600.061275210179,2753.2542417409904,2739.584429401368,2547.2606727820507,3172.0760212980435,2686.3616031348224,2593.090004626284,2685.1274615118946,2534.5093488028892,2646.5143716984967,3193.653902126502,2601.841967773136,2756.329084499387,3151.2030417984633,2485.1676015105936,2597.0699420700644,2756.1352159692647,2396.340330073132,2791.8069274697514,2317.4920338086827,2775.9435078082015,2559.774247285601,2832.9866583180155
1991,80.80820123,428.9000432,96.91090206,1015.38191,2652.432271,1103.797982,1396.036917,998.6262934,1135.898599,490.4672007,550.6545555,596.0696087,5739.658633,3541.521187,509.8428547,1227.826487,1742.172821,274.7138444,473.2399021,4666.959019,7401.138508,254.0620181,56.54765116,2105.983555,385.3315946,21251.50101,109.515708,405.1651380117466,425.5982006441891,421.2673362100664,383.4104174112939,411.08286107327683,490.2031096655623,650.352739234609,421.43742182035345,461.1858112207119,432.233582103137,471.15186059505197,437.78291424188654,434.7180299209506,383.29280641827563,422.26682111828546,416.64267307067934,467.3101717076891,431.07164559449524,470.51848549733677,396.8214639456243,490.2287653417112,349.122068551187,336.6436074620916,388.3914462368832,480.3327323808662,397.0823618655887,499.6862283863802
1992,928.0680459,4630.854661,1125.864717,10138.26866,28114.11123,11750.97675,12978.01217,10802.93283,11199.89492,5166.841776,6108.859026,6042.367324,61167.6043,37570.8332,4754.62722,11326.31156,17090.33945,2644.460326,4599.257024,54964.96058,77384.96344,2550.129812,545.7809317,24784.5575,4056.692304,227461.6773,1069.520619,1048.4824953082302,979.7048716641397,1061.7523860245865,898.4685131922431,959.9370071530848,964.5948752966644,829.6324482513669,981.779330405922,885.9942542283212,953.4530685488916,1009.3813653195137,913.7016274287364,965.701084526502,960.8671024731611,832.5671971607215,822.4684171518445,880.9784221171706,862.623609951563,871.8658556877424,1077.7468016373855,945.5818838730481,903.7430352915866,865.1699416404196,1076.863771854097,952.7795698172941,970.3322894367169,876.5910649091543
1993,20105.63289,93464.35972,23048.07566,266842.2454,611119.1179,256992.4611,272431.2859,232453.8199,257273.9551,109844.6715,149987.3114,136570.9227,1329216.374,834458.8691,106898.9397,332685.0818,363539.7189,63230.96908,109454.5822,1260808.219,1659391.978,62153.62827,9591.466569,501168.5879,92531.71543,4916925.143,24925.04919,2066.3964166013743,1918.2961151239635,1947.144324889613,2532.0297315932444,2073.7095400258895,2086.988082501312,1999.1757622924158,2051.7658543101393,2197.1104366397035,2025.9538468979042,2355.242636335802,2160.222117870039,2073.0724771903488,2121.0283829957757,2148.313795250598,2837.276447302673,2027.1649984693547,2291.072706151841,2279.8318212885333,2193.839940383343,2044.333865695498,2337.2731136088532,1657.383963401666,1922.1002045326006,2180.964601105226,2061.6499101582945,2230.487953874595
1994,548356.3313,2386299.951,624582.2361,5878452.277,14972456.45,6583971.088,6778008.796,6369394.966,6810241.493,2861414.609,3860943.495,3847512.684,34750782.04,21303823.91,2835824.428,8285513.324,9038806.661,1614582.586,2613305.378,31129217.22,39611125.26,1523778.863,238458.854,12780147.26,2042038.91,119252732.5,662907.3973,2627.376622760966,2453.1656752893446,2609.9105596219656,2102.9691243933744,2350.0062281556716,2461.9316067945156,2387.970048523711,2640.0689602520056,2547.0776998600277,2504.9644192344826,2474.180081609223,2717.226835650573,2514.381128591183,2453.0106634227636,2552.808751853317,2390.4974034817096,2386.3326319197417,2453.468038671407,2287.5705570963296,2368.9890778702165,2287.08670315146,2351.633002631143,2386.1563378712954,2450.0694912966233,2106.8529698282714,2325.351800805319,2559.603165661796
1995,1237096.725,4656515.994,1506572.834,10069421.18,26427274.23,13740241.69,31133118.64,14059095.24,14461405.84,6390133.836,7319242.991,6427630.907,60929910.78,40193724.65,5182868.081,10998290.68,16211814.71,3584474.723,4943648.552,49879354.7,78944953.66,3136548.484,1004243.607,24231134.85,3833370.885,263298461.8,1840341.806,125.60088292719966,95.13540165177669,141.21288549724093,71.29374715514085,76.50593486949165,108.69231511424886,359.3254387390736,120.7288967798013,112.34791533992376,123.32079440361869,89.57135737621046,67.05938186323598,75.33392690232535,88.6690615722424,82.76406782542888,32.741210470835995,79.35790993239833,122.00627915108706,89.17224881630348,60.2332443745272,99.29995207614054,105.84013600403908,321.1391567788043,89.59980943130385,87.72271508773551,120.79029660808823,177.6167249748082
1996,1459645.547,5369180.034,1819439.914,12495041.42,32430856.07,17149445.2,38656726.6,16007846.84,17722630.22,8482394.18,8647560.732,7721995.845,74151755.85,48199433.68,6434187.13,13355231.68,19997450.7,4359145.971,6279544.042,58807374.76,94684066.67,3845128.157,1187585.231,29891812.92,4720442.255,307924113.2,2165596.516,17.98960562279396,15.304662131908916,20.766807481144326,24.088973900682547,22.717370651812395,24.811816174101082,24.165930972085874,13.861145164274452,22.551226458077185,32.74204261908982,18.148294060374095,20.137511887783948,21.700089333365657,19.917808313890614,24.14337060955188,21.430066440106128,23.351093370595265,21.61184853750745,27.0224607584524,17.899229277719574,19.93681961963673,22.591063923117087,18.25668819019925,23.361176044959365,23.140765571917786,16.948694304905345,17.673603291496367
1997,1555306.521,6214731.155,2030049.846,12572250.22,36528096.93,18537642.82,43800561.47,17733917.02,19825070.24,9249485.071,10068521.72,8711204.989,82801477.67,53014378.37,7205361.826,14311879.81,21989185.26,4732517.482,7101548.363,64991308.69,104424109.0,4488220.008,1284108.22,33194430.11,5422379.069,344890877.3,2467997.68,6.553712591156895,15.748235589896412,11.575536536239788,0.6179155186826163,12.633773376676698,8.094708626492483,13.306441911716336,10.782650516663738,11.86302481009503,9.04332992221308,16.431928401980255,12.810278117936495,11.66489143898001,9.989629176904465,11.98558077996094,7.16309647726007,9.959942344050896,8.565244510826682,13.090191190667971,10.515575563842768,10.28688635010442,16.724848294828895,8.127668354272425,11.048567709288331,14.870149364850144,12.005154034815622,13.963873776383576
1998,1694328.657,6676333.165,2038322.541,13198509.85,37838126.0,19219949.45,47286595.8,18394274.69,21120127.89,9380513.109,10566971.1,9272270.475,83924488.19,57100728.0,7646868.386,15091455.23,23270814.37,4950422.223,7320394.214,67673124.64,114177719.9,4798717.019,1347030.097,33818977.84,5597441.18,353085089.7,2786155.149,8.938568322250347,7.4275459144941856,0.407511914857684,4.9812851243108565,3.586360035428214,3.6806547446467572,7.9588804640955635,3.723698883079593,6.53242401828687,1.416598188917697,4.950571631681388,6.440733362473735,1.3562686942323452,7.708002537501041,6.127472438744945,5.447051193479802,5.828452008776242,4.604414919306586,3.081663882488155,4.126422446410354,9.340382210012447,6.918043465929843,4.900044717414868,1.8814835137412282,3.2285111161047007,2.375885516064932,12.891319614206445
